COMPETENCIA;TOTAL;DE 50 A 249 TRABAJADORES;DE 250 A 499 TRABAJADORES;AÑO
De dirección;39,9;46,4;43,7;2020
De trabajo en equipo;58,9;52,5;48,0;2020
De atención al público/ trato a clientes;49,7;35,0;33,4;2020
Administrativas de oficina;17,7;14,9;14,2;2020
Técnicas específicas del puesto de trabajo;23,9;35,0;38,9;2020
De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones);34,0;36,2;34,7;2020
En lenguas extranjeras;10,0;16,5;20,4;2020
Generales de tecnologías de la información;12,5;20,8;25,5;2020
Profesionales de tecnologías de la información;5,8;10,3;13,4;2020
De cálculo o lingüísticas;0,7;0,7;0,4;2020
De comunicación oral o escrita;2,3;3,7;3,4;2020
Otras;5,4;4,9;6,1;2020
No sabe;1,3;2,2;3,7;2020
