anio,actividad_economica,total_%,Numero_empresas,dan_formacion_%,no_dan_formacion_%,empresas_dan_formacion,empresas_no_dan_formacion
2019,Comercio y reparación de vehículos,100.0,76604,77.0,23.0,58985,17619
2019,Transporte y almacenamiento,100.0,18980,83.5,16.5,15848,3132
2019,Hostelería,100.0,58460,62.1,37.9,36304,22156
2019,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100.0,15066,83.8,16.2,12625,2441
2019,"Actividades profesionales, científicas y técnicas",100.0,23232,85.8,14.2,19933,3299
2019,Actividades administrativas y servicios auxiliares,100.0,17571,77.5,22.5,13618,3953
2019,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,19677,76.1,23.9,14974,4703
2020,Comercio y reparación de vehículos,100.0,74902,57.6,42.4,43144,31758
2020,Transporte y almacenamiento,100.0,18517,68.2,31.8,12629,5888
2020,Hostelería,100.0,52690,47.1,52.9,24817,27873
2020,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100.0,15129,69.9,30.1,10575,4554
2020,"Actividades profesionales, científicas y técnicas",100.0,23223,75.7,24.3,17580,5643
2020,Actividades administrativas y servicios auxiliares,100.0,17205,67.5,32.5,11613,5592
2020,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,18484,51.3,48.7,9482,9002
2021,Comercio y reparación de vehículos,100.0,75845,68.7,31.3,52106,23739
2021,Transporte y almacenamiento,100.0,18797,73.0,27.0,13722,5075
2021,Hostelería,100.0,55600,51.5,48.5,28634,26966
2021,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100.0,15802,79.0,21.0,12484,3318
2021,"Actividades profesionales, científicas y técnicas",100.0,24377,74.7,25.3,18210,6167
2021,Actividades administrativas y servicios auxiliares,100.0,17548,69.1,30.9,12126,5422
2021,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,18694,61.7,38.3,11534,7160
2022,Comercio y reparación de vehículos,100.0,78417,68.0,32.0,53324,25093
2022,Transporte y almacenamiento,100.0,19308,76.6,23.4,14790,4518
2022,Hostelería,100.0,59671,58.0,42.0,34609,25062
2022,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100.0,16991,79.6,20.4,13525,3466
2022,"Actividades profesionales, científicas y técnicas",100.0,25982,84.9,15.1,22059,3923
2022,Actividades administrativas y servicios auxiliares,100.0,18647,75.6,24.4,14097,4550
2022,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,21057,70.6,29.4,14866,6191
2023,Comercio y reparación de vehículos,100.0,81250,70.7,29.3,57444,23806
2023,Transporte y almacenamiento,100.0,19688,79.5,20.5,15652,4036
2023,Hostelería,100.0,62597,58.4,41.6,36557,26040
2023,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100.0,18200,81.3,18.7,14797,3403
2023,"Actividades profesionales, científicas y técnicas",100.0,26843,82.8,17.2,22226,4617
2023,Actividades administrativas y servicios auxiliares,100.0,19242,72.7,27.3,13989,5253
2023,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,21482,71.8,28.2,15424,6058
