anio,tamaño,total_%,Numero_empresas,dan_formacion_%,no_dan_formacion_%,empresas_dan_formacion,empresas_no_dan_formacion
2019,De 50 a 249 trabajadores,100.0,19636,96.2,3.8,18890,746
2019,De 250 a 499 trabajadores,100.0,2084,99.3,0.7,2069,15
2020,De 50 a 249 trabajadores,100.0,18760,90.5,9.5,16978,1782
2020,De 250 a 499 trabajadores,100.0,2033,96.1,3.9,1954,79
2021,De 50 a 249 trabajadores,100.0,19066,91.8,8.2,17503,1563
2021,De 250 a 499 trabajadores,100.0,2070,96.0,4.0,1987,83
2022,De 50 a 249 trabajadores,100.0,20534,94.3,5.7,19364,1170
2022,De 250 a 499 trabajadores,100.0,2213,96.4,3.6,2133,80
2023,De 50 a 249 trabajadores,100.0,21700,94.1,5.9,20420,1280
2023,De 250 a 499 trabajadores,100.0,2491,98.3,1.7,2449,42
