;TOTAL;NADA;POCO;BASTANTE;MUCHO;AÑO
De dirección;100,0;9,0;20,1;40,7;30,3;2023
De trabajo en equipo;100,0;1,8;5,6;47,7;44,8;2023
De atención al público/ trato a clientes;100,0;2,4;10,3;39,2;48,1;2023
Administrativas de oficina;100,0;8,0;26,6;40,9;24,6;2023
De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones);100,0;3,7;12,9;47,8;35,5;2023
En lenguas extranjeras;100,0;13,8;39,8;31,6;14,7;2023
Básicas de cálculo y/o comunicación oral o escrita;100,0;15,9;36,2;35,1;12,8;2023
Generales de tecnologías de la información;100,0;8,8;28,5;44,6;18,1;2023
Profesionales de tecnologías de la información;100,0;21,8;39,8;27,0;11,4;2023
Competencias técnicas, prácticas y otras específicas del puesto de trabajo;100,0;18,2;28,0;35,8;18,1;2023
De dirección;100,0;9,3;20,4;41,7;28,6;2022
De trabajo en equipo;100,0;2,4;6,4;47,2;44,0;2022
De atención al público/ trato a clientes;100,0;2,8;11,0;38,7;47,6;2022
Administrativas de oficina;100,0;8,8;24,9;42,4;23,9;2022
De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones);100,0;4,7;14,8;48,3;32,2;2022
En lenguas extranjeras;100,0;15,8;39,4;28,6;16,3;2022
Básicas de cálculo y/o comunicación oral o escrita;100,0;17,4;37,8;33,8;11,1;2022
Generales de tecnologías de la información;100,0;10,5;28,1;43,6;17,8;2022
Profesionales de tecnologías de la información;100,0;23,0;40,0;25,7;11,3;2022
Competencias técnicas, prácticas y otras específicas del puesto de trabajo;100,0;19,7;29,7;33,1;17,6;2022
De dirección;100,0;11,6;23,5;40,2;24,7;2021
De trabajo en equipo;100,0;3,1;10,3;47,2;39,4;2021
De atención al público/ trato a clientes;100,0;4,4;14,9;38,5;42,2;2021
Administrativas en oficina;100,0;10,9;27,3;39,5;22,3;2021
Técnicas específicas del puesto de trabajo;100,0;19,0;31,0;33,9;16,1;2021
De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones);100,0;5,8;18,1;46,7;29,4;2021
En lenguas extranjeras;100,0;18,1;39,5;30,0;12,4;2021
Básicas de cálculo y/o comunicación oral o escrita;100,0;18,0;39,0;31,3;11,8;2021
Generales de tecnologías de la información;100,0;10,2;31,2;40,9;17,7;2021
Profesionales de tecnologías de la información;100,0;22,9;41,0;25,0;11,1;2021
De dirección;100,0;11,6;18,5;41,5;28,5;2019
De trabajo en equipo;100,0;2,6;6,5;45,1;45,7;2019
De atención al público/ trato a clientes;100,0;3,2;9,5;35,5;51,7;2019
Administrativas en oficina;100,0;12,5;25,5;38,8;23,2;2019
Técnicas específicas del puesto de trabajo;100,0;24,7;29,2;30,9;15,3;2019
De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones);100,0;6,1;14,6;45,4;33,8;2019
En lenguas extranjeras;100,0;17,4;39,5;28,0;15,1;2019
Básicas de cálculo y/o comunicación oral o escrita;100,0;21,4;37,7;31,3;9,6;2019
Generales de tecnologías de la información;100,0;13,6;29,7;39,9;16,7;2019
Profesionales de tecnologías de la información;100,0;27,1;39,8;23,6;9,6;2019
