;TOTAL;INDUSTRIA;CONSTRUCCIÓN;COMERCIO Y REPARACIÓN VEHÍCULOS;TRANSPORTE Y ALMACENAMIENTO;HOSTELERÍA;INFORMACIÓN, COMUNIC., ACT.FINANCIERAS, DE SEGUROS E INMOBILIARIAS;ACT. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS;ACT. ADM. Y SERVICIOS AUXILIARES;ACT. ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO Y OTROS SERVICIOS;AÑO
De dirección;39,9;42,0;44,9;36,6;48,1;34,0;36,4;43,3;42,0;42,8;2020
De trabajo en equipo;58,9;53,2;60,7;56,2;47,4;71,8;53,3;59,2;55,6;63,5;2020
De atención al público/ trato a clientes;49,7;29,7;23,1;66,5;36,2;78,1;40,0;39,8;42,0;52,1;2020
Administrativas de oficina;17,7;16,8;22,8;20,2;27,9;4,1;13,8;28,5;22,4;13,3;2020
Técnicas específicas del puesto de trabajo;23,9;42,9;40,0;17,2;30,2;7,2;16,0;17,5;21,0;23,5;2020
De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones);34,0;38,6;37,5;33,3;36,3;30,2;34,2;29,5;39,1;26,5;2020
En lenguas extranjeras;10,0;7,8;2,9;7,8;7,7;18,6;17,4;12,6;7,5;10,1;2020
Generales de tecnologías de la información;12,5;11,7;8,3;15,2;12,1;5,2;20,5;27,1;13,5;8,4;2020
Profesionales de tecnologías de la información;5,8;6,0;2,1;6,2;5,1;0,7;28,1;8,7;7,4;3,0;2020
De cálculo o lingüísticas;0,7;0,4;0,7;0,9;1,0;0,7;0,3;1,1;0,6;0,8;2020
De comunicación oral o escrita;2,3;1,3;1,0;1,9;2,1;0,8;7,7;6,0;3,4;4,3;2020
Otras;5,4;6,2;8,1;4,5;6,1;4,1;5,5;3,9;3,8;7,2;2020
No sabe;1,3;1,1;1,5;0,9;2,0;0,6;2,1;2,3;0,9;2,6;2020
