anio,motivo,nada,poco,bastante,mucho,total%,total_cias,formacion
2019,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,10.1,17.6,40.1,32.2,100.0,57303,FALSE
2019,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",23.7,13.0,43.1,20.2,100.0,57303,FALSE
2019,Dificultad para evaluar la necesidades de formación de la empresa,41.4,42.1,13.2,3.3,100.0,57303,FALSE
2019,La falta de cursos de formación adecuados en el mercado,38.8,36.7,17.6,6.9,100.0,57303,FALSE
2019,El alto coste de los cursos de formación,37.2,31.6,22.6,8.6,100.0,57303,FALSE
2019,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,41.3,36.9,17.7,4.1,100.0,57303,FALSE
2019,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,25.0,26.6,30.3,18.1,100.0,57303,FALSE
2019,Dificultad para acceder a ayudas o subvenciones públicas,33.9,32.3,19.0,14.9,100.0,57303,FALSE
2020,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,11.6,7.6,47.9,32.9,100.0,90310,FALSE
2020,"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",35.7,12.1,34.6,17.6,100.0,90310,FALSE
2020,Dificultad para evaluar la necesidades de formación de la empresa,47.1,37.5,12.8,2.6,100.0,90310,FALSE
2020,La falta de cursos de formación adecuados en el mercado,41.5,30.5,20.6,7.4,100.0,90310,FALSE
2020,El alto coste de los cursos de formación,40.7,27.3,23.8,8.2,100.0,90310,FALSE
2020,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,53.4,24.4,19.0,3.2,100.0,90310,FALSE
2020,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,35.5,22.6,28.8,13.0,100.0,90310,FALSE
2020,Dificultad para acceder a ayudas o subvenciones públicas,41.8,27.2,21.5,9.5,100.0,90310,FALSE
2021,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,9.3,20.0,44.1,26.6,100.0,77847,FALSE
