ID,Reason_absence,Month_absence,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_load_Average_day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_hours,Month_absence_order,Day_week_order
14,11,Noviembre,Lunes,Primavera,155,12,14,34,284.031,97,0,High school,2,1,0,0,95,196,25,120,11,2
36,13,Abril,Miercoles,Verano,118,13,18,50,239.409,98,0,High school,1,1,0,0,98,178,31,120,4,4
9,6,Julio,Martes,Invierno,228,14,16,58,264.604,93,0,High school,2,0,0,1,65,172,22,120,7,3
28,9,Julio,Martes,Invierno,225,26,9,28,230.29,92,0,High school,1,0,0,2,69,169,24,112,7,3
9,12,Marzo,Martes,Otono,228,14,16,58,222.196,99,0,High school,2,0,0,1,65,172,22,112,3,3
11,19,Marzo,Lunes,Verano,289,36,13,33,222.196,99,0,High school,2,1,0,1,90,172,30,104,3,2
36,13,Junio,Miercoles,Verano,118,13,18,50,377.55,94,0,High school,1,1,0,0,98,178,31,80,6,4
14,18,Diciembre,Martes,Otono,155,12,14,34,280.549,98,0,High school,2,1,0,0,95,196,25,80,12,3
13,13,Julio,Lunes,Invierno,369,17,12,31,264.604,93,0,High school,3,1,0,0,70,169,25,80,7,2
34,19,Diciembre,Martes,Primavera,118,10,10,37,261.306,97,0,High school,0,0,0,0,83,172,28,64,12,3
22,1,Octubre,Miercoles,Primavera,179,26,9,30,265.017,88,0,Postgraduate,0,0,0,0,56,171,19,64,10,4
26,19,Mayo,Viernes,Verano,300,26,13,43,237.656,99,0,High school,2,1,1,1,77,175,25,64,5,6
34,19,Diciembre,Martes,Primavera,118,10,10,37,261.306,97,0,High school,0,0,0,0,83,172,28,56,12,3
20,19,Abril,Viernes,Verano,260,50,11,36,326.452,96,0,High school,4,1,0,0,65,168,23,56,4,6
14,10,Mayo,Lunes,Verano,155,12,14,34,237.656,99,0,High school,2,1,0,0,95,196,25,48,5,2
14,19,Julio,Lunes,Invierno,155,12,14,34,239.554,97,0,High school,2,1,0,0,95,196,25,40,7,2
10,13,Agosto,Lunes,Invierno,361,52,3,28,205.917,92,0,High school,1,1,0,4,80,172,27,40,8,2
15,14,Noviembre,Lunes,Primavera,291,31,12,40,306.345,93,0,High school,1,1,0,1,73,171,25,40,11,2
20,13,Marzo,Viernes,Otono,260,50,11,36,343.253,95,0,High school,4,1,0,0,65,168,23,40,3,6
17,11,Marzo,Lunes,Otono,179,22,17,40,343.253,95,0,Graduate,2,0,1,0,63,170,22,40,3,2
15,7,Septiembre,Lunes,Primavera,291,31,12,40,294.217,81,0,High school,1,1,0,1,73,171,25,40,9,2
15,13,Junio,Lunes,Verano,291,31,12,40,253.957,95,0,High school,1,1,0,1,73,171,25,40,6,2
15,14,Septiembre,Lunes,Primavera,291,31,12,40,241.476,92,0,High school,1,1,0,1,73,171,25,32,9,2
14,10,Noviembre,Lunes,Primavera,155,12,14,34,306.345,93,0,High school,2,1,0,0,95,196,25,32,11,2
11,19,Julio,Lunes,Invierno,289,36,13,33,275.312,98,0,High school,2,1,0,1,90,172,30,32,7,2
24,9,Septiembre,Miercoles,Invierno,246,25,16,41,294.217,81,0,High school,0,1,0,0,67,170,23,32,9,4
34,19,Enero,Lunes,Otono,118,10,10,37,330.061,100,0,High school,0,0,0,0,83,172,28,32,1,2
3,13,Diciembre,Martes,Primavera,179,51,18,38,280.549,98,0,High school,0,1,0,0,89,170,31,32,12,3
11,7,Noviembre,Miercoles,Primavera,289,36,13,33,306.345,93,0,High school,2,1,0,1,90,172,30,24,11,4
3,13,Marzo,Martes,Otono,179,51,18,38,343.253,95,0,High school,0,1,0,0,89,170,31,24,3,3
24,13,Abril,Miercoles,Verano,246,25,16,41,326.452,96,0,High school,0,1,0,0,67,170,23,24,4,4
3,13,Abril,Miercoles,Verano,179,51,18,38,326.452,96,0,High school,0,1,0,0,89,170,31,24,4,4
14,12,Abril,Miercoles,Verano,155,12,14,34,326.452,96,0,High school,2,1,0,0,95,196,25,24,4,4
11,13,Mayo,Miercoles,Verano,289,36,13,33,378.884,92,0,High school,2,1,0,1,90,172,30,24,5,4
36,13,Mayo,Miercoles,Verano,118,13,18,50,378.884,92,0,High school,1,1,0,0,98,178,31,24,5,4
24,10,Junio,Martes,Verano,246,25,16,41,377.55,94,0,High school,0,1,0,0,67,170,23,24,6,3
11,19,Septiembre,Miercoles,Invierno,289,36,13,33,294.217,81,0,High school,2,1,0,1,90,172,30,24,9,4
24,10,Febrero,Viernes,Otono,246,25,16,41,251.818,96,0,High school,0,1,0,0,67,170,23,24,2,6
3,28,Junio,Lunes,Verano,179,51,18,38,253.957,95,0,High school,0,1,0,0,89,170,31,24,6,2
18,2,Noviembre,Miercoles,Primavera,330,16,4,28,268.519,93,0,Graduate,0,0,0,0,84,182,25,24,11,4
22,12,Enero,Lunes,Otono,179,26,9,30,313.532,96,0,Postgraduate,0,0,0,0,56,171,19,24,1,2
14,13,Marzo,Miercoles,Verano,155,12,14,34,222.196,99,0,High school,2,1,0,0,95,196,25,24,3,4
13,7,Abril,Lunes,Verano,369,17,12,31,246.288,91,0,High school,3,1,0,0,70,169,25,24,4,2
36,19,Junio,Jueves,Verano,118,13,18,50,275.089,96,0,High school,1,1,0,0,98,178,31,24,6,5
20,19,Octubre,Jueves,Primavera,260,50,11,36,253.465,93,0,High school,4,1,0,0,65,168,23,16,10,5
14,1,Marzo,Lunes,Otono,155,12,14,34,343.253,95,0,High school,2,1,0,0,95,196,25,16,3,2
20,26,Marzo,Lunes,Otono,260,50,11,36,343.253,95,0,High school,4,1,0,0,65,168,23,16,3,2
28,11,Marzo,Miercoles,Verano,225,26,9,28,343.253,95,0,High school,1,0,0,2,69,169,24,16,3,4
7,14,Marzo,Jueves,Verano,279,5,14,39,343.253,95,0,High school,2,1,1,0,68,168,24,16,3,5
11,13,Abril,Jueves,Verano,289,36,13,33,326.452,96,0,High school,2,1,0,1,90,172,30,16,4,5
1,13,Junio,Viernes,Verano,235,11,14,37,377.55,94,0,Postgraduate,1,0,0,1,88,172,29,16,6,6
14,19,Julio,Martes,Invierno,155,12,14,34,275.312,98,0,High school,2,1,0,0,95,196,25,16,7,3
24,9,Septiembre,Lunes,Invierno,246,25,16,41,294.217,81,0,High school,0,1,0,0,67,170,23,16,9,2
11,19,Octubre,Jueves,Primavera,289,36,13,33,265.017,88,0,High school,2,1,0,1,90,172,30,16,10,5
22,23,Octubre,Jueves,Primavera,179,26,9,30,265.017,88,0,Postgraduate,0,0,0,0,56,171,19,16,10,5
30,11,Febrero,Miercoles,Otono,157,27,6,29,251.818,96,0,High school,0,1,1,0,75,185,22,16,2,4
24,19,Marzo,Miercoles,Otono,246,25,16,41,244.387,98,0,High school,0,1,0,0,67,170,23,16,3,4
