ID,Transportation_expense,Distance_Residence_Work,Service_time,Age,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index
6,189,29,13,33,1,2,True,True,2,69,167,25
16,118,15,24,46,1,2,True,True,0,75,175,25
25,235,16,8,32,3,0,True,True,0,75,178,25
12,233,51,1,31,2,1,True,True,8,68,178,21
27,184,42,7,27,1,0,True,True,0,58,167,21
14,155,12,14,34,1,2,True,True,0,95,196,25
26,300,26,13,43,1,2,True,True,1,77,175,25
10,361,52,3,28,1,1,True,True,4,80,172,27
32,289,48,29,49,1,0,True,True,2,108,172,36
9,228,14,16,58,1,2,True,True,1,65,172,22
22,179,26,9,30,3,0,True,True,0,56,171,19
17,179,22,17,40,2,2,True,True,0,63,170,22
29,225,26,9,28,1,1,True,True,2,69,169,24
34,118,10,10,37,1,0,True,True,0,83,172,28
31,388,15,9,50,1,0,True,True,0,76,178,24
19,291,50,12,32,1,0,True,True,0,65,169,23
33,248,25,14,47,1,2,True,True,1,86,165,32
20,260,50,11,36,1,4,True,True,0,65,168,23
30,157,27,6,29,1,0,True,True,0,75,185,22
18,330,16,4,28,2,0,True,True,0,84,182,25
7,279,5,14,39,1,2,True,True,0,68,168,24
13,369,17,12,31,1,3,True,True,0,70,169,25
1,235,11,14,37,3,1,True,True,1,88,172,29
24,246,25,16,41,1,0,True,True,0,67,170,23
3,179,51,18,38,1,0,True,True,0,89,170,31
28,225,26,9,28,1,1,True,True,2,69,169,24
15,291,31,12,40,1,1,True,True,1,73,171,25
11,289,36,13,33,1,2,True,True,1,90,172,30
5,235,20,13,43,1,1,True,True,0,106,167,38
36,118,13,18,50,1,1,True,True,0,98,178,31
23,378,49,11,36,1,2,True,True,4,65,174,21
2,235,29,12,48,1,1,True,True,5,88,163,33
21,268,11,8,33,2,0,True,True,0,79,178,25
4,118,14,13,40,1,1,True,True,8,98,170,34
8,231,35,14,39,1,2,True,True,2,100,170,35
35,179,45,14,53,1,1,True,True,1,77,175,25
