ID,Reason_absence,Month_absence,Day_week,Seasons,Work_load_Average_day,Hit_target,Disciplinary_failure,Absenteeism_hours,Month_absence_order,Day_week_order
14,11,Noviembre,Lunes,Primavera,284.031,97,0,120,11,2
36,13,Abril,Miercoles,Verano,239.409,98,0,120,4,4
9,6,Julio,Martes,Invierno,264.604,93,0,120,7,3
28,9,Julio,Martes,Invierno,230.29,92,0,112,7,3
9,12,Marzo,Martes,Otono,222.196,99,0,112,3,3
11,19,Marzo,Lunes,Verano,222.196,99,0,104,3,2
36,13,Junio,Miercoles,Verano,377.55,94,0,80,6,4
14,18,Diciembre,Martes,Otono,280.549,98,0,80,12,3
13,13,Julio,Lunes,Invierno,264.604,93,0,80,7,2
34,19,Diciembre,Martes,Primavera,261.306,97,0,64,12,3
22,1,Octubre,Miercoles,Primavera,265.017,88,0,64,10,4
26,19,Mayo,Viernes,Verano,237.656,99,0,64,5,6
34,19,Diciembre,Martes,Primavera,261.306,97,0,56,12,3
20,19,Abril,Viernes,Verano,326.452,96,0,56,4,6
14,10,Mayo,Lunes,Verano,237.656,99,0,48,5,2
14,19,Julio,Lunes,Invierno,239.554,97,0,40,7,2
10,13,Agosto,Lunes,Invierno,205.917,92,0,40,8,2
15,14,Noviembre,Lunes,Primavera,306.345,93,0,40,11,2
20,13,Marzo,Viernes,Otono,343.253,95,0,40,3,6
17,11,Marzo,Lunes,Otono,343.253,95,0,40,3,2
15,7,Septiembre,Lunes,Primavera,294.217,81,0,40,9,2
15,13,Junio,Lunes,Verano,253.957,95,0,40,6,2
15,14,Septiembre,Lunes,Primavera,241.476,92,0,32,9,2
14,10,Noviembre,Lunes,Primavera,306.345,93,0,32,11,2
11,19,Julio,Lunes,Invierno,275.312,98,0,32,7,2
24,9,Septiembre,Miercoles,Invierno,294.217,81,0,32,9,4
34,19,Enero,Lunes,Otono,330.061,100,0,32,1,2
3,13,Diciembre,Martes,Primavera,280.549,98,0,32,12,3
11,7,Noviembre,Miercoles,Primavera,306.345,93,0,24,11,4
3,13,Marzo,Martes,Otono,343.253,95,0,24,3,3
24,13,Abril,Miercoles,Verano,326.452,96,0,24,4,4
3,13,Abril,Miercoles,Verano,326.452,96,0,24,4,4
14,12,Abril,Miercoles,Verano,326.452,96,0,24,4,4
11,13,Mayo,Miercoles,Verano,378.884,92,0,24,5,4
36,13,Mayo,Miercoles,Verano,378.884,92,0,24,5,4
24,10,Junio,Martes,Verano,377.55,94,0,24,6,3
11,19,Septiembre,Miercoles,Invierno,294.217,81,0,24,9,4
24,10,Febrero,Viernes,Otono,251.818,96,0,24,2,6
3,28,Junio,Lunes,Verano,253.957,95,0,24,6,2
18,2,Noviembre,Miercoles,Primavera,268.519,93,0,24,11,4
22,12,Enero,Lunes,Otono,313.532,96,0,24,1,2
14,13,Marzo,Miercoles,Verano,222.196,99,0,24,3,4
13,7,Abril,Lunes,Verano,246.288,91,0,24,4,2
36,19,Junio,Jueves,Verano,275.089,96,0,24,6,5
20,19,Octubre,Jueves,Primavera,253.465,93,0,16,10,5
14,1,Marzo,Lunes,Otono,343.253,95,0,16,3,2
20,26,Marzo,Lunes,Otono,343.253,95,0,16,3,2
28,11,Marzo,Miercoles,Verano,343.253,95,0,16,3,4
7,14,Marzo,Jueves,Verano,343.253,95,0,16,3,5
11,13,Abril,Jueves,Verano,326.452,96,0,16,4,5
1,13,Junio,Viernes,Verano,377.55,94,0,16,6,6
14,19,Julio,Martes,Invierno,275.312,98,0,16,7,3
24,9,Septiembre,Lunes,Invierno,294.217,81,0,16,9,2
11,19,Octubre,Jueves,Primavera,265.017,88,0,16,10,5
22,23,Octubre,Jueves,Primavera,265.017,88,0,16,10,5
30,11,Febrero,Miercoles,Otono,251.818,96,0,16,2,4
