Variable,Tipo,Correlacion_Spearman,p_value_Spearman,Fuerza_Spearman,Fuerza_Num,Direccion_Spearman,Efecto_Ausentismo,Significativa_Spearman,Correlacion_PointBiserial,p_value_PointBiserial,Fuerza_PointBiserial,Significativa_PointBiserial,Test_Medias,p_value_Medias,Significativa_Medias,Cohens_d,Tamaño_Efecto,Media_Alto,Media_Bajo,Diferencia_Medias,n_Alto,n_Bajo,abs_corr,abs_effect
Transportation_expense,Numérica,0.170418,1e-06,Débil,2,Positiva,Aumenta ausentismo,True,0.241236,0.0,Débil,True,Mann-Whitney,0.0,True,0.496882,Pequeño,239.639,207.435,32.204,388,418,0.17041767069488795,0.49688210687279794
Distance_Residence_Work,Numérica,0.016524,0.639479,Muy débil,1,Positiva,Efecto mínimo,False,0.035801,0.310041,Muy débil,False,Mann-Whitney,0.507626,False,0.071608,Muy pequeño,30.018,28.964,1.054,388,418,0.016524176342223255,0.07160814715012805
Service_time,Numérica,-0.021438,0.543355,Muy débil,1,Negativa,Efecto mínimo,False,-0.057646,0.101964,Muy débil,False,Mann-Whitney,0.56572,False,-0.115421,Muy pequeño,12.255,12.754,-0.498,388,418,0.02143777787616683,0.11542133755212056
Age,Numérica,-0.056563,0.108577,Muy débil,1,Negativa,Efecto mínimo,False,-0.031192,0.376493,Muy débil,False,Mann-Whitney,0.449803,False,-0.062379,Muy pequeño,36.183,36.589,-0.406,388,418,0.05656296935111837,0.06237938311529803
Work_load_Average_day,Numérica,0.027121,0.441947,Muy débil,1,Positiva,Efecto mínimo,False,0.052234,0.138434,Muy débil,False,Mann-Whitney,0.449755,False,0.104554,Muy pequeño,275.09,270.919,4.171,388,418,0.027120794449159564,0.10455384609866795
Hit_target,Numérica,0.034521,0.327672,Muy débil,1,Positiva,Efecto mínimo,False,-0.047107,0.181537,Muy débil,False,Mann-Whitney,0.182038,False,-0.094267,Muy pequeño,94.379,94.737,-0.358,388,418,0.034520560810027405,0.09426678815114367
Disciplinary_failure,Numérica,-0.389625,0.0,Moderada,3,Negativa,Disminuye ausentismo,True,-0.225895,0.0,Débil,True,Mann-Whitney,0.0,True,-0.463522,Pequeño,0.0,0.1,-0.1,388,418,0.3896254569903781,0.4635222715942248
Son,Numérica,0.132122,0.000169,Débil,2,Positiva,Aumenta ausentismo,True,0.201323,0.0,Débil,True,Mann-Whitney,0.0,True,0.410836,Pequeño,1.302,0.854,0.447,388,418,0.1321217110296284,0.41083601878390735
Social_drinker,Numérica,0.120583,0.000602,Débil,2,Positiva,Aumenta ausentismo,True,0.149799,2e-05,Débil,True,Mann-Whitney,2.1e-05,True,0.302851,Pequeño,0.639,0.49,0.149,388,418,0.12058343902650127,0.30285073624831677
Social_smoker,Numérica,0.007424,0.833311,Muy débil,1,Positiva,Efecto mínimo,False,0.020123,0.56836,Muy débil,False,Mann-Whitney,0.568258,False,0.040232,Muy pequeño,0.085,0.074,0.011,388,418,0.00742445493169167,0.040232243089264055
Pet,Numérica,-0.029284,0.406388,Muy débil,1,Negativa,Efecto mínimo,False,0.007491,0.831837,Muy débil,False,Mann-Whitney,0.691574,False,0.014974,Muy pequeño,0.776,0.756,0.02,388,418,0.029284076262617156,0.014974363086215426
Weight,Numérica,-0.014839,0.674016,Muy débil,1,Negativa,Efecto mínimo,False,0.003585,0.91905,Muy débil,False,Mann-Whitney,0.964376,False,0.007167,Muy pequeño,78.92,78.828,0.092,388,418,0.014838732503312519,0.007166766482774563
Height,Numérica,0.064178,0.068596,Muy débil,1,Positiva,Efecto mínimo,False,0.037886,0.282689,Muy débil,False,Mann-Whitney,0.221543,False,0.075784,Muy pequeño,172.369,171.907,0.462,388,418,0.06417788264289838,0.07578437394840237
Body_mass_index,Numérica,-0.062094,0.078102,Muy débil,1,Negativa,Efecto mínimo,False,-0.019075,0.58867,Muy débil,False,Mann-Whitney,0.273289,False,-0.038137,Muy pequeño,26.528,26.691,-0.163,388,418,0.062093557106738445,0.03813696390537367
Education_numeric,Numérica,0.012701,0.718814,Muy débil,1,Positiva,Efecto mínimo,False,-0.026148,0.458501,Muy débil,False,Mann-Whitney,0.742447,False,-0.052285,Muy pequeño,1.276,1.311,-0.035,388,418,0.012701236222797875,0.05228500443817153
Month_absence_order,Numérica,0.006811,0.846906,Muy débil,1,Positiva,Efecto mínimo,False,0.055985,0.112242,Muy débil,False,Mann-Whitney,0.078081,False,0.112084,Muy pequeño,6.495,6.112,0.382,388,418,0.006811007720399271,0.11208407186836343
Day_week_order,Numérica,-0.094142,0.007484,Muy débil,1,Negativa,Efecto mínimo,True,-0.092055,0.008924,Muy débil,True,Mann-Whitney,0.007517,True,-0.184794,Muy pequeño,3.75,4.012,-0.262,388,418,0.09414237106479197,0.18479355380242896
Seasons_order,Numérica,-0.061275,0.082118,Muy débil,1,Negativa,Efecto mínimo,False,-0.081726,0.020314,Muy débil,True,Mann-Whitney,0.022315,True,-0.163911,Muy pequeño,2.448,2.629,-0.181,388,418,0.06127463720646274,0.1639112045933547
