Variable,Tipo,Correlacion_Spearman,p_value_Spearman,Fuerza_Correlacion,Direccion_Correlacion,Efecto_Ausentismo,Significativa_Spearman,Correlacion_PointBiserial,p_value_PointBiserial,Significativa_PointBiserial,Test_Medias_Utilizado,p_value_Medias,Significativa_Medias,Cohens_d,Tamaño_Efecto,Media_Grupo_Alto,Media_Grupo_Bajo,Diferencia_Medias,Test_Principal,Estadistico_Principal,p_value_Principal,Significativa_Principal,Chi2_Estadistico,p_value_Chi2,Significativa_Chi2,n_Categorias
Transportation_expense,Numérica,0.170418,1e-06,Débil,Positiva,Aumenta ausentismo,VERDADERO,0.241236,0.0,VERDADERO,Mann-Whitney,0.0,VERDADERO,0.496882,Pequeño,239.639,207.435,32.204,,,,,,,,
Distance_Residence_Work,Numérica,0.016524,0.639479,Muy débil,Positiva,Efecto mínimo,FALSO,0.035801,0.310041,FALSO,Mann-Whitney,0.507626,FALSO,0.071608,Muy pequeño,30.018,28.964,1.054,,,,,,,,
Service_time,Numérica,-0.021438,0.543355,Muy débil,Negativa,Efecto mínimo,FALSO,-0.057646,0.101964,FALSO,Mann-Whitney,0.56572,FALSO,-0.115421,Muy pequeño,12.255,12.754,-0.498,,,,,,,,
Age,Numérica,-0.056563,0.108577,Muy débil,Negativa,Efecto mínimo,FALSO,-0.031192,0.376493,FALSO,Mann-Whitney,0.449803,FALSO,-0.062379,Muy pequeño,36.183,36.589,-0.406,,,,,,,,
Work_load_Average_day,Numérica,0.027121,0.441947,Muy débil,Positiva,Efecto mínimo,FALSO,0.052234,0.138434,FALSO,Mann-Whitney,0.449755,FALSO,0.104554,Muy pequeño,275.09,270.919,4.171,,,,,,,,
Hit_target,Numérica,0.034521,0.327672,Muy débil,Positiva,Efecto mínimo,FALSO,-0.047107,0.181537,FALSO,Mann-Whitney,0.182038,FALSO,-0.094267,Muy pequeño,94.379,94.737,-0.358,,,,,,,,
Disciplinary_failure,Numérica,-0.389625,0.0,Moderada,Negativa,Disminuye ausentismo,VERDADERO,-0.225895,0.0,VERDADERO,Mann-Whitney,0.0,VERDADERO,-0.463522,Pequeño,0.0,0.1,-0.1,,,,,,,,
Son,Numérica,0.132122,0.000169,Débil,Positiva,Aumenta ausentismo,VERDADERO,0.201323,0.0,VERDADERO,Mann-Whitney,0.0,VERDADERO,0.410836,Pequeño,1.302,0.854,0.447,,,,,,,,
Social_drinker,Numérica,0.120583,0.000602,Débil,Positiva,Aumenta ausentismo,VERDADERO,0.149799,2e-05,VERDADERO,Mann-Whitney,2.1e-05,VERDADERO,0.302851,Pequeño,0.639,0.49,0.149,,,,,,,,
Social_smoker,Numérica,0.007424,0.833311,Muy débil,Positiva,Efecto mínimo,FALSO,0.020123,0.56836,FALSO,Mann-Whitney,0.568258,FALSO,0.040232,Muy pequeño,0.085,0.074,0.011,,,,,,,,
Pet,Numérica,-0.029284,0.406388,Muy débil,Negativa,Efecto mínimo,FALSO,0.007491,0.831837,FALSO,Mann-Whitney,0.691574,FALSO,0.014974,Muy pequeño,0.776,0.756,0.02,,,,,,,,
Weight,Numérica,-0.014839,0.674016,Muy débil,Negativa,Efecto mínimo,FALSO,0.003585,0.91905,FALSO,Mann-Whitney,0.964376,FALSO,0.007167,Muy pequeño,78.92,78.828,0.092,,,,,,,,
Height,Numérica,0.064178,0.068596,Muy débil,Positiva,Efecto mínimo,FALSO,0.037886,0.282689,FALSO,Mann-Whitney,0.221543,FALSO,0.075784,Muy pequeño,172.369,171.907,0.462,,,,,,,,
Body_mass_index,Numérica,-0.062094,0.078102,Muy débil,Negativa,Efecto mínimo,FALSO,-0.019075,0.58867,FALSO,Mann-Whitney,0.273289,FALSO,-0.038137,Muy pequeño,26.528,26.691,-0.163,,,,,,,,
