Variable,Correlacion_Spearman,Fuerza_Spearman,Efecto_Ausentismo,Significativa_Spearman
Transportation_expense,0.170418,Débil,Aumenta ausentismo,True
Distance_Residence_Work,0.016524,Muy débil,Efecto mínimo,False
Service_time,-0.021438,Muy débil,Efecto mínimo,False
Age,-0.056563,Muy débil,Efecto mínimo,False
Work_load_Average_day,0.027121,Muy débil,Efecto mínimo,False
Hit_target,0.034521,Muy débil,Efecto mínimo,False
Disciplinary_failure,-0.389625,Moderada,Disminuye ausentismo,True
Son,0.132122,Débil,Aumenta ausentismo,True
Social_drinker,0.120583,Débil,Aumenta ausentismo,True
Social_smoker,0.007424,Muy débil,Efecto mínimo,False
Pet,-0.029284,Muy débil,Efecto mínimo,False
Weight,-0.014839,Muy débil,Efecto mínimo,False
Height,0.064178,Muy débil,Efecto mínimo,False
Body_mass_index,-0.062094,Muy débil,Efecto mínimo,False
Education_numeric,0.012701,Muy débil,Efecto mínimo,False
Month_absence_order,0.006811,Muy débil,Efecto mínimo,False
Day_week_order,-0.094142,Muy débil,Efecto mínimo,True
Seasons_order,-0.061275,Muy débil,Efecto mínimo,False
