Variable,Estadistico_Shapiro,p_value_Shapiro,Es_Normal,n
Transportation_expense,0.947629,0.0,False,806
Distance_Residence_Work,0.88063,0.0,False,806
Service_time,0.943835,0.0,False,806
Age,0.928054,0.0,False,806
Work_load_Average_day,0.923185,0.0,False,806
Hit_target,0.887959,0.0,False,806
Disciplinary_failure,0.229883,0.0,False,806
Son,0.817792,0.0,False,806
Social_drinker,0.630958,0.0,False,806
Social_smoker,0.298818,0.0,False,806
Pet,0.620236,0.0,False,806
Weight,0.949562,0.0,False,806
Height,0.693479,0.0,False,806
Body_mass_index,0.943452,0.0,False,806
Education_numeric,0.479291,0.0,False,806
Month_absence_order,0.942652,0.0,False,806
Day_week_order,0.884332,0.0,False,806
Seasons_order,0.859178,0.0,False,806
Absenteeism_hours,0.418241,0.0,False,806
