Variable,Correlacion_Spearman,p_value_Spearman,Fuerza_Spearman,Significativa_Spearman,Cohens_d,Tamaño_Efecto,Test_Medias,p_value_Medias,Significativa_Medias,Media_Alto,Media_Bajo,Diferencia_Medias,abs_corr,abs_effect,Fuerza_Spearman,Fuerza_Num
Transportation_expense,0.170418,1e-06,Débil,True,0.496882,Pequeño,Mann-Whitney,0.0,True,239.639,207.435,32.204,0.17041767069488795,0.49688210687279794,Débil,2
Distance_Residence_Work,0.016524,0.639479,Muy débil,False,0.071608,Muy pequeño,Mann-Whitney,0.507626,False,30.018,28.964,1.054,0.016524176342223255,0.07160814715012805,Muy débil,1
Service_time,-0.021438,0.543355,Muy débil,False,-0.115421,Muy pequeño,Mann-Whitney,0.56572,False,12.255,12.754,-0.498,0.02143777787616683,0.11542133755212056,Muy débil,1
Age,-0.056563,0.108577,Muy débil,False,-0.062379,Muy pequeño,Mann-Whitney,0.449803,False,36.183,36.589,-0.406,0.05656296935111837,0.06237938311529803,Muy débil,1
Work_load_Average_day,0.027121,0.441947,Muy débil,False,0.104554,Muy pequeño,Mann-Whitney,0.449755,False,275.09,270.919,4.171,0.027120794449159564,0.10455384609866795,Muy débil,1
Hit_target,0.034521,0.327672,Muy débil,False,-0.094267,Muy pequeño,Mann-Whitney,0.182038,False,94.379,94.737,-0.358,0.034520560810027405,0.09426678815114367,Muy débil,1
Disciplinary_failure,-0.389625,0.0,Moderada,True,-0.463522,Pequeño,Mann-Whitney,0.0,True,0.0,0.1,-0.1,0.3896254569903781,0.4635222715942248,Moderada,3
Son,0.132122,0.000169,Débil,True,0.410836,Pequeño,Mann-Whitney,0.0,True,1.302,0.854,0.447,0.1321217110296284,0.41083601878390735,Débil,2
Social_drinker,0.120583,0.000602,Débil,True,0.302851,Pequeño,Mann-Whitney,2.1e-05,True,0.639,0.49,0.149,0.12058343902650127,0.30285073624831677,Débil,2
Social_smoker,0.007424,0.833311,Muy débil,False,0.040232,Muy pequeño,Mann-Whitney,0.568258,False,0.085,0.074,0.011,0.00742445493169167,0.040232243089264055,Muy débil,1
Pet,-0.029284,0.406388,Muy débil,False,0.014974,Muy pequeño,Mann-Whitney,0.691574,False,0.776,0.756,0.02,0.029284076262617156,0.014974363086215426,Muy débil,1
Weight,-0.014839,0.674016,Muy débil,False,0.007167,Muy pequeño,Mann-Whitney,0.964376,False,78.92,78.828,0.092,0.014838732503312519,0.007166766482774563,Muy débil,1
Height,0.064178,0.068596,Muy débil,False,0.075784,Muy pequeño,Mann-Whitney,0.221543,False,172.369,171.907,0.462,0.06417788264289838,0.07578437394840237,Muy débil,1
Body_mass_index,-0.062094,0.078102,Muy débil,False,-0.038137,Muy pequeño,Mann-Whitney,0.273289,False,26.528,26.691,-0.163,0.062093557106738445,0.03813696390537367,Muy débil,1
Education_numeric,0.012701,0.718814,Muy débil,False,-0.052285,Muy pequeño,Mann-Whitney,0.742447,False,1.276,1.311,-0.035,0.012701236222797875,0.05228500443817153,Muy débil,1
Month_absence_order,0.006811,0.846906,Muy débil,False,0.112084,Muy pequeño,Mann-Whitney,0.078081,False,6.495,6.112,0.382,0.006811007720399271,0.11208407186836343,Muy débil,1
Day_week_order,-0.094142,0.007484,Muy débil,True,-0.184794,Muy pequeño,Mann-Whitney,0.007517,True,3.75,4.012,-0.262,0.09414237106479197,0.18479355380242896,Muy débil,1
Seasons_order,-0.061275,0.082118,Muy débil,False,-0.163911,Muy pequeño,Mann-Whitney,0.022315,True,2.448,2.629,-0.181,0.06127463720646274,0.1639112045933547,Muy débil,1
