Variable,Estadistico_Shapiro,p_value_Shapiro,Es_Normal,n
Transportation_expense,0.946298,0.0,False,759
Distance_Residence_Work,0.876079,0.0,False,759
Service_time,0.942562,0.0,False,759
Age,0.924406,0.0,False,759
Work_load_Average_day,0.927777,0.0,False,759
Hit_target,0.889539,0.0,False,759
Disciplinary_failure,1.0,1.0,True,759
Son,0.812683,0.0,False,759
Social_drinker,0.631999,0.0,False,759
Social_smoker,0.282719,0.0,False,759
Pet,0.619188,0.0,False,759
Weight,0.947323,0.0,False,759
Height,0.67518,0.0,False,759
Body_mass_index,0.942739,0.0,False,759
Education_numeric,0.487575,0.0,False,759
Month_absence_order,0.938181,0.0,False,759
Day_week_order,0.882361,0.0,False,759
Seasons_order,0.860879,0.0,False,759
Absenteeism_hours,0.414611,0.0,False,759
