Variable,Correlacion_Spearman,p_value_Spearman,Fuerza_Spearman,Significativa_Spearman,Cohens_d,Tamaño_Efecto,Test_Medias,p_value_Medias,Significativa_Medias,Media_Alto,Media_Bajo,Diferencia_Medias,abs_corr,abs_effect,Fuerza_Spearman,Fuerza_Num
Transportation_expense,0.233966,0.0,Débil,True,0.543133,Mediano,Mann-Whitney,0.0,True,241.495,206.911,34.584,0.23396626100720086,0.5431334819214151,Débil,2
Distance_Residence_Work,-0.007642,0.833507,Muy débil,False,-0.066998,Muy pequeño,Mann-Whitney,0.418212,False,29.081,30.068,-0.987,0.007642496725962295,0.06699793133960107,Muy débil,1
Service_time,-0.011994,0.741477,Muy débil,False,-0.116359,Muy pequeño,Mann-Whitney,0.597029,False,12.206,12.715,-0.509,0.011993868186032184,0.11635870623791192,Muy débil,1
Age,-0.004715,0.896813,Muy débil,False,-0.007723,Muy pequeño,Mann-Whitney,0.87374,False,36.14,36.189,-0.049,0.00471511232566557,0.007723111316758709,Muy débil,1
Work_load_Average_day,0.050179,0.167272,Muy débil,False,0.232129,Pequeño,Mann-Whitney,0.007954,True,277.953,268.738,9.214,0.0501790100485719,0.23212867221177122,Muy débil,1
Hit_target,-0.015215,0.675568,Muy débil,False,-0.054592,Muy pequeño,Mann-Whitney,0.624089,False,94.579,94.781,-0.201,0.015215446267458015,0.054591681206702734,Muy débil,1
Disciplinary_failure,,,Muy fuerte,False,,Grande,T-test,,False,0.0,0.0,0.0,,,Muy fuerte,5
Son,0.188628,0.0,Débil,True,0.283364,Pequeño,Mann-Whitney,1e-05,True,1.231,0.918,0.313,0.18862759742774257,0.28336376148746584,Débil,2
Social_drinker,0.159023,1.1e-05,Débil,True,0.224084,Pequeño,Mann-Whitney,0.002421,True,0.62,0.509,0.111,0.15902281539806926,0.22408356799244694,Débil,2
Social_smoker,0.05909,0.103806,Muy débil,False,0.161449,Muy pequeño,Mann-Whitney,0.028417,True,0.097,0.055,0.042,0.05909031403350804,0.16144946696590018,Muy débil,1
Pet,-0.020987,0.563742,Muy débil,False,0.137422,Muy pequeño,Mann-Whitney,0.401314,False,0.85,0.674,0.177,0.02098668668535872,0.1374220616170121,Muy débil,1
Weight,0.01873,0.606411,Muy débil,False,0.082873,Muy pequeño,Mann-Whitney,0.282782,False,79.196,78.142,1.055,0.01872990425187072,0.0828732599831082,Muy débil,1
Height,0.061671,0.089536,Muy débil,False,0.122903,Muy pequeño,Mann-Whitney,0.007426,True,172.595,171.84,0.755,0.061671017502649576,0.12290344202009038,Muy débil,1
Body_mass_index,-0.035622,0.327053,Muy débil,False,0.021236,Muy pequeño,Mann-Whitney,0.715648,False,26.555,26.466,0.089,0.035621626583034624,0.021235597689162656,Muy débil,1
Education_numeric,-0.01542,0.671465,Muy débil,False,-0.016653,Muy pequeño,Mann-Whitney,0.718955,False,1.299,1.311,-0.011,0.015419743509314918,0.016652651138082553,Muy débil,1
Month_absence_order,0.035717,0.325761,Muy débil,False,0.035207,Muy pequeño,Mann-Whitney,0.515084,False,6.321,6.201,0.12,0.035716808152170446,0.03520701476607178,Muy débil,1
Day_week_order,-0.099082,0.006297,Muy débil,True,-0.2697,Pequeño,Mann-Whitney,0.000298,True,3.66,4.043,-0.383,0.09908156514892259,0.2697002854318206,Muy débil,1
Seasons_order,-0.004405,0.903565,Muy débil,False,0.024613,Muy pequeño,Mann-Whitney,0.721156,False,2.52,2.493,0.027,0.004405015726945141,0.024613171800526815,Muy débil,1
