ID,Age,Education_numeric,Son,Pet,Social_drinker,Social_smoker,Weight,Height,Body_mass_index,Disciplinary_failure,Transportation_expense,Distance_Residence_Work,Service_time,Work_load_Average_day,Hit_target,Absenteeism_hours,Total_absences
1,37.0,3.0,1,1,0,0,88.0,172.0,29.0,0,235.0,11.0,14.0,262.89447826086956,95.17391304347827,121.0,23.0
2,48.0,1.0,1,5,0,1,88.0,163.0,33.0,0,235.0,29.0,12.0,241.59699999999998,93.33333333333333,25.0,6.0
3,38.0,1.0,0,0,1,0,89.0,170.0,31.0,0,179.0,51.0,18.0,264.74721649484536,94.76288659793815,444.0,97.0
4,40.0,1.0,1,8,1,0,98.0,170.0,34.0,0,118.0,14.0,13.0,271.219,95.0,0.0,1.0
5,43.0,1.0,1,0,1,0,106.0,167.0,38.0,0,235.0,20.0,13.0,266.7413888888889,91.72222222222223,102.0,18.0
6,33.0,1.0,2,2,0,0,69.0,167.0,25.0,0,189.0,29.0,13.0,274.829,94.875,72.0,8.0
7,39.0,1.0,2,0,1,1,68.0,168.0,24.0,0,279.0,5.0,14.0,303.2108333333333,94.66666666666667,30.0,6.0
8,39.0,1.0,2,2,1,0,100.0,170.0,35.0,1,231.0,35.0,14.0,282.71799999999996,88.0,0.0,2.0
9,58.0,1.0,2,1,0,0,65.0,172.0,22.0,0,228.0,14.0,16.0,249.04225,95.875,262.0,8.0
10,28.0,1.0,1,4,1,0,80.0,172.0,27.0,0,361.0,52.0,3.0,258.764347826087,94.0,178.0,23.0
11,33.0,1.0,2,1,1,0,90.0,172.0,30.0,0,289.0,36.0,13.0,271.4343,93.85,450.0,40.0
12,31.0,2.0,1,8,1,0,68.0,178.0,21.0,0,233.0,51.0,1.0,271.274,96.14285714285714,34.0,7.0
13,31.0,1.0,3,0,1,0,70.0,169.0,25.0,0,369.0,17.0,12.0,261.5994,92.86666666666666,183.0,15.0
14,34.0,1.0,2,0,1,0,95.0,196.0,25.0,0,155.0,12.0,14.0,299.3543793103448,95.6896551724138,476.0,29.0
15,40.0,1.0,1,1,1,0,73.0,171.0,25.0,0,291.0,31.0,12.0,281.50175,92.41666666666667,251.0,36.0
16,46.0,1.0,2,0,1,1,75.0,175.0,25.0,0,118.0,15.0,24.0,248.64249999999998,97.5,16.0,2.0
17,40.0,2.0,2,0,0,1,63.0,170.0,22.0,0,179.0,22.0,17.0,281.838,96.0,126.0,20.0
18,28.0,2.0,0,0,0,0,84.0,182.0,25.0,0,330.0,16.0,4.0,266.5655625,96.25,118.0,16.0
19,32.0,1.0,0,0,1,0,65.0,169.0,23.0,0,291.0,50.0,12.0,281.12899999999996,89.33333333333333,6.0,3.0
20,36.0,1.0,4,0,1,0,65.0,168.0,23.0,0,260.0,50.0,11.0,267.2015714285714,94.57142857142857,306.0,42.0
21,33.0,2.0,0,0,0,0,79.0,178.0,25.0,0,268.0,11.0,8.0,256.998,94.0,16.0,3.0
22,30.0,3.0,0,0,0,0,56.0,171.0,19.0,0,179.0,26.0,9.0,268.868243902439,95.02439024390245,242.0,41.0
23,36.0,1.0,2,4,0,1,65.0,174.0,21.0,0,378.0,49.0,11.0,301.01,96.125,40.0,8.0
24,41.0,1.0,0,0,1,0,67.0,170.0,23.0,0,246.0,25.0,16.0,281.32439285714287,94.14285714285714,251.0,28.0
25,32.0,3.0,0,0,0,0,75.0,178.0,25.0,0,235.0,16.0,8.0,254.81750000000002,95.6,42.0,10.0
26,43.0,1.0,2,1,1,1,77.0,175.0,25.0,0,300.0,26.0,13.0,247.717,95.4,83.0,5.0
27,27.0,1.0,0,0,0,0,58.0,167.0,21.0,0,184.0,42.0,7.0,299.95633333333336,95.16666666666667,25.0,6.0
28,28.0,1.0,1,2,0,0,69.0,169.0,24.0,0,225.0,26.0,9.0,281.79805405405403,94.93243243243244,343.0,74.0
29,41.0,4.0,2,2,1,0,94.0,182.0,28.0,0,225.0,17.2,13.8,243.7386,97.2,21.0,5.0
30,29.0,1.0,0,0,1,1,75.0,185.0,22.0,0,157.0,27.0,6.0,263.3658571428572,93.71428571428571,31.0,7.0
31,50.0,1.0,0,0,0,0,76.0,178.0,24.0,0,388.0,15.0,9.0,328.018,96.66666666666667,16.0,3.0
32,49.0,1.0,0,2,0,0,108.0,172.0,36.0,0,289.0,48.0,29.0,309.1282,92.6,16.0,5.0
33,47.0,1.0,2,1,0,0,86.0,165.0,32.0,0,248.0,25.0,14.0,263.58025000000004,94.79166666666667,73.0,24.0
34,37.0,1.0,0,0,0,0,83.0,172.0,28.0,0,118.0,10.0,10.0,267.84938,94.62,333.0,50.0
35,53.0,1.0,1,1,0,0,77.0,175.0,25.0,0,179.0,45.0,14.0,271.219,95.0,0.0,1.0
36,50.0,1.0,1,0,1,0,98.0,178.0,31.0,0,118.0,13.0,18.0,272.2835,94.32352941176471,311.0,34.0
