Month_absence,Hores_abs,Num_empleats,Taxa_per_capita
Enero,254.0,21.0,12.095238095238095
Febrero,323.0,33.0,9.787878787878787
Marzo,861.0,34.0,25.323529411764707
Abril,564.0,28.0,20.142857142857142
Mayo,527.0,38.0,13.868421052631579
Junio,550.0,27.0,20.37037037037037
Julio,829.0,30.0,27.633333333333333
Agosto,309.0,25.0,12.36
Septiembre,323.0,25.0,12.92
Octubre,365.0,24.0,15.208333333333334
Noviembre,515.0,26.0,19.807692307692307
Diciembre,436.0,22.0,19.818181818181817
Global,5856.0,136.0,43.05882352941177
