provincia,mes,estancia_media_total
"07 Balears, Illes",enero,3.275064601348328
29 Málaga,enero,2.9179444096648943
17 Girona,enero,1.6940548829185702
08 Barcelona,enero,2.385141249157553
46 Valencia/València,enero,2.0197081302737785
41 Sevilla,enero,1.9795381654906992
28 Madrid,enero,2.0274213763413
"07 Balears, Illes",febrero,3.932418723084055
29 Málaga,febrero,3.1325665762396264
17 Girona,febrero,1.8785864408404127
08 Barcelona,febrero,2.476020666863788
46 Valencia/València,febrero,2.0732769524758408
41 Sevilla,febrero,2.000135889413196
28 Madrid,febrero,1.9740186057124531
"07 Balears, Illes",marzo,4.469831939266843
29 Málaga,marzo,3.3785638192937464
17 Girona,marzo,2.2822125304241467
08 Barcelona,marzo,2.47200715146121
46 Valencia/València,marzo,2.360936626836411
41 Sevilla,marzo,2.091237034597925
28 Madrid,marzo,2.0681669856695497
"07 Balears, Illes",abril,4.486015514541108
29 Málaga,abril,3.232911867905743
17 Girona,abril,2.701717357910906
08 Barcelona,abril,2.541973834210955
46 Valencia/València,abril,2.4134436969062016
41 Sevilla,abril,2.0332386107591414
28 Madrid,abril,2.0425088351139644
"07 Balears, Illes",mayo,4.693057468264298
29 Málaga,mayo,3.421484624810408
17 Girona,mayo,2.774283796110185
08 Barcelona,mayo,2.6407114718726232
46 Valencia/València,mayo,2.4295576513015726
41 Sevilla,mayo,2.02312924460122
28 Madrid,mayo,2.0225597741423536
"07 Balears, Illes",junio,5.093655056357981
29 Málaga,junio,3.551392946115812
17 Girona,junio,3.031179507840011
08 Barcelona,junio,2.7154248377150214
46 Valencia/València,junio,2.409457832346906
41 Sevilla,junio,1.9581080876680836
28 Madrid,junio,1.9720106357231213
"07 Balears, Illes",julio,5.3985721687097215
29 Málaga,julio,3.817119405662214
17 Girona,julio,3.714632048042264
08 Barcelona,julio,2.901358553686302
46 Valencia/València,julio,2.613852097878397
41 Sevilla,julio,1.982854149731129
28 Madrid,julio,1.972675672220565
"07 Balears, Illes",agosto,5.453251927652134
29 Málaga,agosto,3.963069418665933
17 Girona,agosto,3.65628036633952
08 Barcelona,agosto,3.029318218096811
46 Valencia/València,agosto,2.708545189945869
41 Sevilla,agosto,2.048154545113205
28 Madrid,agosto,1.9864832842664493
"07 Balears, Illes",septiembre,5.376605622578504
29 Málaga,septiembre,3.79660413897978
17 Girona,septiembre,3.352440707588775
08 Barcelona,septiembre,2.790022400838925
46 Valencia/València,septiembre,2.6185018090856302
41 Sevilla,septiembre,2.0186108770889537
28 Madrid,septiembre,1.9890899739680117
"07 Balears, Illes",octubre,5.17546885817472
29 Málaga,octubre,3.634314710694383
17 Girona,octubre,2.8697655040752665
08 Barcelona,octubre,2.568475057917085
46 Valencia/València,octubre,2.262311169541636
41 Sevilla,octubre,2.0620997670150243
28 Madrid,octubre,2.05406307630303
"07 Balears, Illes",noviembre,3.3616693191282336
29 Málaga,noviembre,3.198026746597768
17 Girona,noviembre,1.8010245670357783
08 Barcelona,noviembre,2.302082978759616
46 Valencia/València,noviembre,2.50402047800562
41 Sevilla,noviembre,2.0482534710222358
28 Madrid,noviembre,2.022853948223315
"07 Balears, Illes",diciembre,3.0377660300801748
29 Málaga,diciembre,3.0611723066180145
17 Girona,diciembre,1.6599638574010185
08 Barcelona,diciembre,2.28903054986382
46 Valencia/València,diciembre,2.173899331399016
41 Sevilla,diciembre,2.0037515602924434
28 Madrid,diciembre,2.045951713199948
