,apartment_id,name,description,host_id,neighbourhood_name,neighbourhood_district,room_type,accommodates,bathrooms,bedrooms,beds,amenities_list,price,pricexperson,minimum_nights,maximum_nights,has_availability,availability_30,ocupation30,ocup%30,availability_60,ocupation60,availability_90,ocupation90,availability_365,ocupation365,number_of_reviews,first_review_date,last_review_date,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,general_satisf,reviews_per_month,country,city,insert_date,is_instant_bookable,amenities_score,zona
0,11964,A Room With A View,Private Bedroom In Our Attic Apartment Right In The Heart Of The Pedestrian Downtown Area Outstanding Views From Our Large Terrace And Modern Fully Renovated Interior Double Bed In A Fully Renovated Downtown Attic We Live In A 1881 Building In The Heart Of Town One Minute Away From The Picasso Museum Calle Larios And The Cathedral It Is A 100 Square Meter Apartment And A 45 Square Meter Terrace With Outstanding Views Of The Cathedral And The Whole Downtown Area And Churches Plus An Outdoor Barbecue The Apartment Underwent An 8 Month Renovation And Is In Pristine Condition With Italian Appliances And Light Fixtures Murano Glass Tiles And Marble Floors The Building Has An Elevator Up To The 4Ht Floor And We Live On The 5Th All Of Downtown Mlaga Is Pedestrian So You Will Be Guaranteed No Traffic Noise And Pleasant Walks There Are Hundreds Of Restaurants And Shops In The Neighborhood As Well Impossible To Run Out Of Things To Do Common Areas As Often As Our Guests Want,45553,Centro,,Private Room,2,2,1,1,"TV,Internet,Wifi,Air conditioning,Elevator,Buzzer/wireless intercom,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",400.0,200.0,3,365,True,7,23,76.66666666666667,20,40,40,50,130,235,78,2010-01-02,2017-09-05,97.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,Spain,Malaga,2018-07-31,False,40.0,Malaga_Centro
1,21853,Bright And Airy Room,We Have A Quiet And Sunny Room With A Good View In Our 3 Bedroom Flat In A Welcoming Atmosphere Our Clean And Respectful Flatshare Is Located In A Leafy Neighbourhood With All Facilities Shops Library Cafs And Bars A Swimming Pools Gyms And Fantastic Parks Well Connected By Metro And Bus With The Centre 15 Minutes For Walks We Are Also A 20 Min Stroll Away From The Riverside I Am Living In A Nice Flat Near The Centre Of Madrid 15 Minutes By Bus We Are Relaxed Clean And Independent The Flat Is Located In A Leafy Neighbourhood With Plenty Of Facilities Little Shops Supermarkets Public Library Swimming Pools Covered And Summer Ones Tennis Courts And Free Parking Outside The Flat It Is Well Connected By Public Transport Various Bus And Metro Lines The Room Is Sunny And Well Presented There Are Two Bathrooms One Of Which You Would Share With A Guest It Has Triple Glazing And We Provide Fresh Bedlinen And Towels So That Packing Is Lighter For Our Guests We,83531,Crmenes,Latina,Private Room,1,1,1,1,"TV,Internet,Wifi,Air conditioning,Kitchen,Free parking on premises,Doorman,Elevator,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven",170.0,170.0,4,40,True,0,30,100.0,0,60,0,90,162,203,33,2014-10-10,2018-07-15,92.0,9.0,9.0,10.0,10.0,8.0,9.0,9.2,52.0,Spain,Madrid,2020-01-10,False,58.0,Madrid_Latina_Crmenes
2,32347,Explore Cultural Sights From A Family-Friendly Apartment,Open French Doors And Step Onto A Plant-Filled Terrace That Feels Like An Oasis Of Calm In The Center Of The City White-On-White Decor An Ultramodern Kitchen And Splashes Of Color Create A Fun And Relaxing Atmosphere For Adults And Kids Alike,139939,San Vicente,Casco Antiguo,Entire Home Apt,4,1,2,2,"TV,Internet,Wifi,Air conditioning,Wheelchair accessible,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Crib,Pack �n Play/travel crib,Body soap,Bath towel,Toilet paper,Bed linens,Extra pillows and blankets,Coffee maker,Host greets you,Full kitchen,Bedroom comforts,Bathroom essentials",990.0,247.5,2,120,True,26,4,13.333333333333334,31,29,31,59,270,95,148,2011-01-05,2019-07-22,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,142.0,Spain,Sevilla,2019-07-29,True,48.0,Sevilla_Casco Antiguo_San Vicente
3,35379,Double 02 Casanovarooms Barcelona,Room At A My Apartment Kitchen And 2 Bathrooms To Share Free Self Service Breakfast Free Wifi Tv Towels Bed Linen Ceiling Fan Desk And Balcony To The Back Of The Building I Also Have At Guests Disposal Vanity Kits And Hairdryers Washing Machine Iron And Printer On Request My Apartment Is Located In The Eixample Quarter Close To The Commercial Area And The Centre Of Town I Provide Private Rooms One Single Room And Two Double Rooms With Self-Service Breakfast You Can Also Use The Kitchen To Cook Quick Meals I Also Provide Free Wifi Connection All Rooms Are Equipped With A Tv Set Clean Bed Linen Fresh Towels Heating And A Ceiling Fan I Am On To The Blue Line L5 And The Underground Station Is Hospital Clnic Make Sure You Take The Exit Marked As Sortida Villarroel Clnic From There On You Only Need To Walk 1 Minute To Carrer Casanova Though Located Centrally We'Re On A Residential And Not Touristic Neighborhood Metro Stop Hospital Clinic Line 5 Blue,152232,L'Antiga Esquerra De L'Eixample,Eixample,Private Room,2,2,1,1,"TV,Internet,Wifi,Kitchen,Breakfast,Elevator,Buzzer/wireless intercom,Heating,Washer,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Patio or balcony,Host greets you,Paid parking on premises,Shower gel",400.0,200.0,2,730,True,9,21,70.0,23,37,49,41,300,65,292,2012-03-13,2020-01-04,94.0,10.0,9.0,10.0,10.0,10.0,9.0,9.8,306.0,Spain,Barcelona,2020-01-10,True,56.0,Barcelona_Eixample_L'Antiga Esquerra De L'Eixample
4,35801,Can Torras Farmhouse Studio Suite,Lay In Bed Watch Sunlight Change The Mood Of Distant Valley Hills This Suite Of Rooms Includes A Double Bedroom Twin Bed Room Space For A Third Private Bathroom Entrance Living Dining Area Plus A Delicious Home-Made Breakfast There'S A Jacuzzi Plunge Pool Pergola Organic Gardens To Explore The Ancient City Of Girona Is Only 20 Mins Away Great For Romantic Breaks Families With Older Children English Spoken Proud To Be Fully Registered With The Catalan Tourist Board Can Torras Is A Recently Renovated Ecolodge In The National Park Of Gavarres On A Hill Top Behind The Ancient City Of Girona This Suite Has All The Charm Of An Old Farmhouse But The Services Environmental Improvements Of Modern Living A Fantastic Breakfast Is Included In Your Stay Plus The Freedom To Wander In Our Organic Garden Relax In A Hammock Under The Pergola Plunge In The Pool Or Bask In Our Hot Spa As You Enjoy Magnificent Views Down The Valley The Studio Suite Includes A Doub,153805,Quart,,Private Room,5,1,2,5,"Wifi,Pool,Free parking on premises,Breakfast,Pets live on this property,Dog(s),Cat(s),Other pet(s),Hot tub,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Bathtub,Baby bath,High chair,Children�s books and toys,Crib,Children�s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Wide hallway clearance,Wide doorway,Well-lit path to entrance,Host greets you",900.0,180.0,1,180,True,0,30,100.0,19,41,49,41,312,53,36,2011-07-08,2018-08-08,97.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,39.0,Spain,Girona,2019-02-19,False,66.0,Girona_Quart
5,48764,18Th C Stone House Near Costa Brava,Casa Fluvia Is A Charming Stone Village House In A Catalan Village On The Costa Brava Just 5 Km From The Sea A Perfect Base For Enjoying Culture Cuisine History Nature And Sports As Well As The Sea Spacious House Suitable For Up To 8 People If Your Stay Is Less Than One Week Please Request A Price For The Period You Are Interested In It Is Very Difficult To Cover All Eventualities And Different Lengths Of Stay Using The Automatic System Tourist Registration Ref Hutg 000207 Casa Fluvi Is A 18Th Century Stone Village House With 3 Double Bedrooms And 1 Twin Bedroom - Rooftop Terrace And Solarium - First Floor Living Area 30S Catalan Style - Ground Floor Living Area Typical Of 18Th Century Stone Farmhouse The House Is Within 5 Km Of Some Of The Best Costa Brava Beaches Set In A Quiet Mediterranean Village In The Empord With Views Of The Pyrenees Surrounding Fields And Neighbours Working And Paying Their Daily Social Visits This Fully Renovated House Features Vaulted,220145,Torroella De Fluvi,,Entire Home Apt,8,2,4,5,"TV,Internet,Wifi,Kitchen,Free street parking,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance,Crib,Hot water,Host greets you",900.0,112.5,5,95,True,0,30,100.0,0,60,0,90,235,130,25,2011-06-04,2018-08-25,96.0,10.0,10.0,10.0,10.0,9.0,10.0,9.8,27.0,Spain,Girona,2019-02-19,False,45.0,Girona_Torroella De Fluvi
6,58512,Stylish Cozy 3Br Near Sagrada Familia,Welcome To My Home Br Br My Lovely 3 Bedroom Apartment Is Located In A Traditional Catalan Neighborhood Close To Hospital Sant Pau 10 Min Walk And The Iconic Sagrada Familia 20 Min Walk Enjoy Exploring Barcelona With Ease - Two Nearest Metro Stations Camp De Larpa 4 Min By Walk And Clot 6 Min By Walk Very Safe Area Quiet At Night And Family-Friendly Br Gorgeous Wooden Floors Open Ceilings A Modern And Stylish Decor And A Beautifully Integrated American Kitchen Add To The Flats Charm Br Br B The Space B Br My 3 Bedroom Apartment Is Spacious With Beautifully Quirky Decor And A Relaxed Feel Its The Ideal Place To Come Back To After A Day Of Exploring Great Transport Links And At A Walking Distance From Sagrada Familia Mean Youll Be Right In The Hub Of The City But Able To Escape The Hustle And Bustle Br Br The Living Area Is Very Cozy With A Large Comfy Sofa-Bed And A Flat-Screen Tv With Hbo Included So Please Sit Back And Make Yourself A,280070,El Camp De L'Arpa Del Clot,Sant Mart,Entire Home Apt,6,2,3,4,"Shampoo, Washer, Wifi, Oven, Cooking basics, Hair dryer, TV, Heating, Extra pillows and blankets, First aid kit, Smoke alarm, Hangers, Essentials, Air conditioning, Bed linens, Stove, Carbon monoxide alarm, Microwave, Paid parking off premises, Host greets you, Hot water, Bathtub, Kitchen, Iron, Long term stays allowed, Refrigerator, Fire extinguisher, Coffee maker, Laptop-friendly workspace, Dishes and silverware]",950.0,158.33333333333334,5,90,True,30,0,0.0,60,0,90,0,331,34,382,2011-04-08,2020-03-02,89.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,329.0,Spain,Barcelona,2020-10-12,True,60.0,Barcelona_Sant Mart_El Camp De L'Arpa Del Clot
7,71603,Penthouse1 Best Price 15 21 07 Promo Last Minute,The Apartment You Are About To Book Has Everything You Need For A Top Quality Stay We Have More Than 6 Years Providing People Around The World The Perfect Home Away From Home So Relax And Enjoy You Are On The Perfect Hands Now Hutb-003878 Old World Style Meets Modern Convenience In A Newly Renovated Penthouse For Rent In The Heart Of Barcelonas City Center Whether Searching For A Romantic Get-Away Or Family Holidays Our Ausias Marc Apartment Guarantees A Comfortable And Luxury Stay The Apartment Has Been Completely Renovated And Modernized To Achieve The Quality And High Standard Necessary To Make This A Luxury Apartment For Our Visitor To Barcelona You Can See This From The Moment You Step Into The Tastefully Styled Fireplace As Well As The Perfectly Preserved Facade Of The 18Th Century Palace Where This Apartment Is Located The Apartment Is Located In A Building Catalogued As An Historical An Esthetical Emblem Of Barcelona The Location Cannot Be Better The Neighborhoo,366654,La Dreta De L'Eixample,Eixample,Entire Home Apt,3,2,1,4,"TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Gym,Elevator,Hot tub,Indoor fireplace,Heating,Family/kid friendly,Suitable for events,Washer,Dryer",3900.0,1300.0,3,5,,28,2,6.666666666666667,55,5,85,5,360,5,33,2011-02-16,2017-06-05,94.0,10.0,10.0,10.0,9.0,10.0,9.0,9.8,42.0,Spain,Barcelona,2017-07-06,False,39.0,Barcelona_Eixample_La Dreta De L'Eixample
8,72150,Sunny Attic Duplex Flat With Terrace Next To Sol,The Apartment Is A Quiet Secluded Idyll In The Heart Of Madrid It Was Renovated And Redecorated In 2014 With 3 Bedrooms Distributed Over 2 Floors It Can Host Up To 9 People 1 Double Bed And 1 Single Bed Per Bedroom You Will Enjoy The Intimacy And Quiet Of The Rooftop Terrace Br Br B The Space B Br The Apartment Is A Quiet Secluded Idyll In The Heart Of Madrid It Offers A Breathtaking View Of The City And The Surrounding Landscape From An Intimate Rooftop Terrace Br The Apartment Is On The Fourth Floor Of A Historic Building From The Late 19Th Century It Has Been Completely Renovated And Redecorated In 2014 Br The Main Living Space Is A Spacious Living Dining Area Which Is Directly Connected To A Large Terrace Through A Large Sliding Glass Door Br The Total Living Area Is 90 Square Meters Including Upstairs Downstairs And A 20 Square Meters Terrace The First Floor Contains A Living Room American-Style Open-Plan Kitchen A Bathroom And A Bedro,364585,Embajadores,Centro,Entire Home Apt,5,2,3,6,"Shampoo, Luggage dropoff allowed, Paid parking on premises, Refrigerator, Coffee maker, Long term stays allowed, Dryer, Heating, Hot water, Patio or balcony, Washer, Oven, Stove, Air conditioning, Wifi, Essentials, Kitchen, Dishes and silverware, Smoke alarm, Iron, Cooking basics, Hangers, Carbon monoxide alarm, Laptop-friendly workspace, Hot tub, Hair dryer, Microwave, Building staff]",790.0,158.0,2,1125,True,29,1,3.3333333333333335,59,1,89,1,179,186,108,2011-02-13,2020-07-31,91.0,9.0,9.0,10.0,10.0,10.0,9.0,9.6,91.0,Spain,Madrid,2020-11-06,False,69.0,Madrid_Centro_Embajadores
9,73683,Sagrada Familia Area For 12 People,An Ideal Location For A Big Group Two Apartments In The Same Building One Directly Above The Other Huge Choice Of Stunning Experiences Can Be Included Jet Skis Flyboard Parasailing Jet Boat Hoverboard Sailing Trips Kayaks Segways Note Local City Tax Is Not Included In The Price Paid To Airbnb And Must Be Paid Upon Arrival Currently The City Tax Is 2 48 Per Person Per Night Up To A Maximum Of 7 Nights For Guests Over 16 Years Old Note If You Want To See All My Properties And Boats Please Have A Look At Https Www Airbnb Com S Host_Id 135703 The Apartments Are Situated On The Second And Third Floors At The Front In A Traditional 1930S Apartment Block Which Has Recently Been Fully Restored To A High Standard You Can Also Add Different Stunning Activities - Jet Ski Rides 100 For 30 Minutes Or 180 For 60 Minutes No License Required - Up To 2 People - Flyboard Experience 85 15 Minutes 1 Person 160 30 Minutes Up To 2 People 300 60 Min Up,135703,El Camp D'En Grassot I Grcia Nova,Grcia,Entire Home Apt,12,2,4,14,"TV,Cable TV,Internet,Wifi,Air conditioning,Kitchen,Paid parking off premises,Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Smart lock,High chair,Pack �n Play/travel crib,Hot water,Luggage dropoff allowed",3000.0,250.0,2,60,True,8,22,73.33333333333333,12,48,23,67,296,69,120,2011-06-04,2018-05-20,92.0,9.0,9.0,10.0,10.0,9.0,9.0,9.4,14.0,Spain,Barcelona,2018-06-09,True,52.0,Barcelona_Grcia_El Camp D'En Grassot I Grcia Nova
10,73692,Rustic Apartment Rambla Catalunya Hutb-005863,Located In The Centre Of Barcelona Near Plaza Catalunya And Passeig De Gracia This Wonderful 2 Bedroom Apartment Is On The 4Th Floor Of A Charming Building On The Famous Road Called Ramba De Catalunya Ideal For Groups Of Up To 5 People Located In The Centre Of Barcelona This Wonderful Centrally Heated Apartment Is On The 4Th Floor Of A Charming Building With Elevator Removing It From The Bustle Of The Street Below This Beautifully Decorated 2 Bedroom Apartment Is A Hit For Groups Of Up To 5 People And Boasts A Bright Twin Bedroom With Large Cupboard For Storage And A Small Interior Single Bedroom With Smaller Storage Space Both Bedrooms Lead To The Air-Conditioned Lounge Containing The Comfortable Double Sofa Bed And The Dining And Tv Areas The Main Bedroom And Lounge Also Have Balconies From Which You Can View The World Below The Bathroom Contains A Shower Cubicle While The Kitchen Is Fully Equipped With All The Conveniences Youd Expect Such As Electric Cooker F,297545,La Dreta De L'Eixample,Eixample,Entire Home Apt,5,1,2,3,"TV,Wireless Internet,Air conditioning,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron",1050.0,210.0,2,90,True,9,21,70.0,39,21,63,27,307,58,29,2012-08-01,2017-08-03,84.0,9.0,8.0,10.0,9.0,10.0,9.0,9.2,46.0,Spain,Barcelona,2017-10-07,True,32.0,Barcelona_Eixample_La Dreta De L'Eixample
11,79755,3Br-2Bath-Ac Full 5 Stars Reviews,90 M2 Apartment 2 Baths 3 Bedrooms Fully Equipped Kitchen Dishwasher Washing Machine Etc There Is Wifi Internet Tv Dvd Hifi Air Conditioning And Programable Heating Lots Of Public Transport Within 1 Minute Distance And Great Location Come Visit Barcelona And Stay Where Locals Live Enjoy My Quiet Sunny And Beautifully Located Apartment I Am Right Now Living On It With My Wife And Baby But We Will Be Out During The Dates You Have Chosen And Will Leave It Perfectly Ready For You This Means It Is Even Better Equipped Including Baby Stuff But It Has Changed A Bit From The Pictures Contact Me Previously If You Have Any Questions My Place Is A 90 M2 Apartment Around 1000 Sq Feet With Air Conditioning 2 Double Bedrooms One With A King Size Bed And One With 2 Individual Beds And An Additional Single Bedroom Plus 2 Full Bathrooms The Living-Room Is Large And Bright The Kitchen Is Fully Equipped With Everything Necessary To Cook Laundry Machine And Dishwasher,429939,L'Antiga Esquerra De L'Eixample,Eixample,Entire Home Apt,5,2,3,4,"TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Outlet covers,Bathtub,Baby bath,Changing table,High chair,Children�s books and toys,Crib,Pack �n Play/travel crib,Room-darkening shades,Children�s dinnerware,Game console,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove",1100.0,220.0,3,365,True,9,21,70.0,10,50,10,80,10,355,189,2011-04-24,2016-10-01,98.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,234.0,Spain,Barcelona,2017-12-09,True,56.0,Barcelona_Eixample_L'Antiga Esquerra De L'Eixample
12,89756,Old Town 1 6Minutesfrom Ramblas,Only For Families Or People Over 25 Years Old Old Town Ramblas 1 Apartment With 3 Bedroom Right In The City Centre Only 6 7 Minutes From Las Ramblas So Walking Distance To All The Major Attractions Gothic Quarter Beach Montjuic 8 Beds Including Sof Beds 2 Double 2 Single 4 Sofabeds It Is Forbidden To Add More People Than 9 We Could Ask You To Leave The Apartment If You Break This Rule Thanks Ith Tourist Licence Nhutb 003874 Only For Families Ro People Over 25 Years Old The Old Town 1 Apartment Apartment With A Total Capacity Up To 9 Guests Groups Of Families 3 Bedrooms Right In The City Centre Only 6 7 Minutes From Las Ramblas So Walking Distance To All The Major Attractions Gothic Quarter And The Port But In A Nice Quiet Street So You Can Sleep At Night It Has 3 Double Bedrooms With 8 Beds Including The Sofa Beds 1 Bedroom With 1 King Size Bed 1 Single Sofa Bed For 3 People 1 Bedroom With 2 Single Beds For 2 People This Bed Can Be J,488117,El Raval,Ciutat Vella,Entire Home Apt,9,1,3,8,"TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron",2800.0,311.1111111111111,6,60,,7,23,76.66666666666667,23,37,53,37,328,37,9,2012-11-02,2016-11-29,89.0,9.0,9.0,10.0,10.0,9.0,8.0,9.4,17.0,Spain,Barcelona,2017-04-08,True,36.0,Barcelona_Ciutat Vella_El Raval
13,89776,Modernist Flat Downtown Casa Estap Barcelona,Unique And Rare Stay In The Casa Estap Jewel Of Catalan Modernism In The City Center Of Barcelona Perfectly Situated For Metro And North Station The 40M2 Apartment Is A Protected Monument Fully Equipped Double Bedroom And View To Passeig De Sant Joan It Can Only Be Rented Through Airbnb Apartment Of 40 M In Beautiful Modernist Building Called Casa Estap First House Of The Modernist Road It Consists Of A Living Room Overlooking The Passeig De Sant Joan And The Arc De Triomph With An American Kitchen And A Sofa Bed A Large Bedroom With A 160X190 Cm Bed And A Complete Bathroom With An Italian Shower Located In The City Center On Passeig De Sant Joan Adjacent To The Arc De Triomphe 5 Minutes From The Parque De La Ciutadella And The Born And 10 Minutes Walk From Plaza Catalunya And The Historic Town Ciutat Vella Neighborhood And Gothic Perfectly Connected By Metro Stop On The Same Block And Bus And 200 Meters From The North Station Bus To Girona Airport,488151,El Fort Pienc,Eixample,Entire Home Apt,4,1,1,2,"TV,Internet,Wifi,Air conditioning,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",650.0,162.5,3,365,True,7,23,76.66666666666667,18,42,41,49,224,141,322,2011-11-10,2019-12-01,96.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,327.0,Spain,Barcelona,2019-12-10,True,40.0,Barcelona_Eixample_El Fort Pienc
14,89954,Amazing Apt In The Historic Center,Beautiful New Central And Cosy Apartment Perfect For A Family Or Friends Trip With Everything You Need To Feel As At Your Own Home We Try To Offer The Best Accommodation For Our Guests Newly Refurbished Apartment Beautiful Charming And Comfortable Duplex Apartment First Floor With Spacious Living Room Kitchen And Bathroom Second Floor With Two Double Bedrooms Including Wardrobes Lumber Room High Quality Construction Materials La Latina-Austrias Area Most Ancient And Beautiful Downtown Neighbourhood In The City But Feeling Like Living In A Small Town Street With Restricted Traffic 10 Minutes Walking Distance To Plaza Mayor And 5 Minutes To Palacio Real Next To Everything Few Minutes Walking Distance Palacio Real Museo Del Prado Thyssen And Reina Sofa Traditional Markets Shopping Located In One Of The Best Tapas Areas In Madrid High Speed Internet Access Wi-Fi Printer I Pod Player Dvd And Cd Player Lcd Tv Juicer Toaster Hairdryer Kettle Coffee Maker,487095,Palacio,Centro,Entire Home Apt,6,1,2,3,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Elevator,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,High chair,Children�s books and toys,Crib,Hot water,Luggage dropoff allowed,Long term stays allowed,Host greets you,Paid parking on premises",1030.0,171.66666666666666,2,20,True,27,3,10.0,48,12,49,41,61,304,181,2011-07-01,2018-11-01,97.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,202.0,Spain,Madrid,2018-11-07,False,52.0,Madrid_Centro_Palacio
15,96807,Double Room Bathroom,Double Room Private Bathroom With Shower Room 1 With Double Bed Or Two Single Beds Special Offers For Groups Or Families Can Be 6 Guests In 3 Bedrooms - Extra Person 15 Room 2 1 Single Bed Room 3 1 Double Bed And 1 Single Bed Facilities Excellent Location Train Cercanias Renfe Urban Fastest 5 Blocks To The Station 7 Minutes To Atocha 15 Minutes To Puerta Del Sol Downtown Tourism Theaters Cinemas Retaurantes Casino Madrid Museums The Prado Reina Sofia Tissen Plaza De Cibeles Retiro Park The Bus 136 At The Corner Of The Houuse And Metro Close 8 Corners Of The House Wi-Fi Cable Tv Washer And Dryer The Room Over Loks A Pedestrian Street A Garden Area Is Very Quiet Where No Car Traffic And Is Very Sunny All Year There Are All Kinds Of Good Supermarkets And 2 Shopping Malls In Our Area The House Is Our Family My Grandson Angel 26 Years Old And I We Speak Several Languages Spanish English Bulgarian German You Are Welcome To Stay With,513331,Palomeras Bajas,Puente De Vallecas,Private Room,2,1,1,2,"TV,Internet,Wifi,Wheelchair accessible,Kitchen,Free parking on premises,Elevator,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi",290.0,145.0,4,365,True,30,0,0.0,60,0,90,0,365,0,77,2011-06-08,2019-07-07,91.0,9.0,9.0,9.0,9.0,8.0,9.0,8.8,74.0,Spain,Madrid,2019-12-10,False,41.0,Madrid_Puente De Vallecas_Palomeras Bajas
16,101580,Big House In Paradise,Luxury And Quiet Villa In Cala Canyelles 2Km From Lloret De Mar And 6Km From Tossa De Mar 67Km To Barcelona This Villa Is Divided In 4 Completely Independent Apartments Both On Main Floor Are Joined In A Very Big Space But Can Be Separated By A Double Door The Other 2 Are Completely Independent 1000M2 Plot With Gardens Big Swimming-Pool 13X6 5M Gimnastic Sauna And Jacuzzi House It Is Situated In Cala Canyelles A Private Urbanization Between Lloret De Mar And Tossa De Mar The House Is 700M To The Canyelles Beach 2Km To Lloret De Mar And 6Km From Tossa De Mar There Are 4 Apartments Completely Independent Sharing The Swimming Pool And Spa Also The Washing Machine And Dry-Machine Every Apartment Has A Double Master Bedroom And A Saloon Where There Is A Double Single Beds That Are The Sofa-Beds The Bed Sheet And Towels Are Included Apartments Upstairs 4 And 5 Can Be Joined Together As A Common Big Space On Ap 4 You Can Have Lunch Together Up To 16 People T,532063,Lloret De Mar,,Entire Home Apt,16,4,4,12,"TV,Cable TV,Internet,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Hot tub,Indoor fireplace,Heating,Suitable for events,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Crib,Hot water,Long term stays allowed,Host greets you",3000.0,187.5,2,30,True,22,8,26.666666666666668,52,8,82,8,237,128,14,2017-05-28,2018-10-14,99.0,10.0,10.0,10.0,10.0,9.0,10.0,9.8,73.0,Spain,Girona,2018-12-22,True,63.0,Girona_Lloret De Mar
