,iso_date,pernoc_total,viajeros_total,estancia_media_total
0,2017-01-01,5147607,2292273,17.243278374331183
1,2017-02-01,5945256,2604301,17.26603244926634
2,2017-03-01,8199455,3259584,19.053014329908898
3,2017-04-01,12146239,4229618,20.488123037579687
4,2017-05-01,16967220,5140287,20.751605681369114
5,2017-06-01,19987190,5498095,22.148366288322773
6,2017-07-01,22719573,5882768,23.66115727251077
7,2017-08-01,23259572,5716968,24.688944881008144
8,2017-09-01,19773503,5399136,22.65450849150925
9,2017-10-01,15222915,4587734,21.636443637174537
10,2017-11-01,6324629,2754609,17.634778397325277
11,2017-12-01,5583945,2551740,16.411070767307123
12,2018-01-01,5356750,2382234,16.732724886227004
13,2018-02-01,6161793,2696883,17.341637414904405
14,2018-03-01,8698322,3447914,19.188685330339652
15,2018-04-01,11384618,4063365,20.067841478366397
16,2018-05-01,17242375,5274706,20.619935290127426
17,2018-06-01,19754905,5703535,21.207550954209864
18,2018-07-01,22493237,5872289,23.442139469759123
19,2018-08-01,23148149,5779153,24.264495508148876
20,2018-09-01,19784255,5509696,22.3014277285074
21,2018-10-01,15475091,4799941,21.322009672499593
22,2018-11-01,6798428,2984595,17.54114507402236
23,2018-12-01,6066233,2724951,16.402408622546954
24,2019-01-01,5577353,2469066,16.544762576930758
25,2019-02-01,6332807,2813125,16.9847409064708
26,2019-03-01,8789249,3545023,18.590210049268503
27,2019-04-01,12249085,4355689,19.850908092883994
28,2019-05-01,17135119,5472505,20.049361585122696
29,2019-06-01,20258331,5884455,21.362103135342377
30,2019-07-01,22811432,6070177,23.227896358665873
31,2019-08-01,23708363,6090406,23.735868203291467
32,2019-09-01,19799529,5524963,22.18512230788955
33,2019-10-01,15445921,4907027,20.94142626230077
34,2019-11-01,7030180,3131105,16.718899406481945
35,2019-12-01,6182988,2799928,16.26492764307971
36,2020-01-01,5877240,2638665,16.452390383185357
37,2020-02-01,6611984,2926599,16.847863768090093
38,2020-03-01,3048964,1165397,19.064120087139717
39,2020-04-01,0,0,0.0
40,2020-05-01,86751,36085,17.08112053046138
41,2020-06-01,736774,346264,14.801063259391528
42,2020-07-01,4719627,1593525,18.7328057309871
43,2020-08-01,6146076,1993158,19.404510457436405
44,2020-09-01,2783010,1186333,16.394622448801975
45,2020-10-01,1644089,798121,14.519336898065102
46,2020-11-01,981547,503971,13.52592352425809
47,2020-12-01,1120166,618230,12.684091101996831
48,2021-01-01,1016177,529680,13.5504102228107
49,2021-02-01,1058961,564904,12.90277682490536
50,2021-03-01,1492886,783197,13.62891182974309
51,2021-04-01,1791357,862706,14.913886524248458
52,2021-05-01,3487902,1534524,15.666772695906351
53,2021-06-01,6725432,2496060,17.386914421777746
54,2021-07-01,12576950,3658332,20.672354266640824
55,2021-08-01,15513499,4221346,22.46621696266731
56,2021-09-01,12194747,3640619,20.842282642224838
57,2021-10-01,11015472,3645269,19.869217269519147
58,2021-11-01,5377404,2354031,16.956638569719
59,2021-12-01,4668040,2126114,15.761689576353271
60,2022-01-01,3623422,1641242,15.896051026035078
61,2022-02-01,5011986,2248751,16.203962589444245
62,2022-03-01,6952427,2804765,18.131115811210524
63,2022-04-01,11342618,4009159,19.566810350749435
64,2022-05-01,15770769,5084432,19.77302253442867
65,2022-06-01,19147402,5667696,20.531064460985142
66,2022-07-01,22037338,6037750,22.029927440540497
67,2022-08-01,23035577,6013530,23.220263538809036
68,2022-09-01,18799242,5527405,21.023894906095084
69,2022-10-01,14891921,4856116,20.035198888081155
70,2022-11-01,6633460,2901447,17.222447977188956
71,2022-12-01,5949215,2699035,16.175439702522578
72,2023-01-01,5588936,2520430,16.274362617490368
73,2023-02-01,6333593,2729839,17.156222567454027
74,2023-03-01,8423020,3508955,17.880342628331768
75,2023-04-01,13002788,4647610,19.28612711795126
76,2023-05-01,17484381,5609345,19.8537405731591
77,2023-06-01,19687818,6051931,20.217839071801734
78,2023-07-01,22795752,6353561,22.02939154317415
79,2023-08-01,23871659,6347356,22.93755743102873
80,2023-09-01,20060775,5855056,21.330311968612403
81,2023-10-01,16585466,5231801,20.537050896060578
82,2023-11-01,7335593,3180439,17.28676249539972
83,2023-12-01,6611024,2974058,16.29330328134611
84,2024-01-01,5906900,2631739,16.298872815195125
85,2024-02-01,7157770,3035044,17.46702385462937
86,2024-03-01,10229851,3913564,19.12295608754983
87,2024-04-01,12884364,4615016,19.45180971734802
88,2024-05-01,19338340,6153535,20.00478403110266
89,2024-06-01,20668047,6184224,20.731228903766937
90,2024-07-01,23360026,6443203,22.401064095930593
91,2024-08-01,24398356,6525412,22.84510295007992
92,2024-09-01,20580037,5891654,21.94187553012858
93,2024-10-01,17465589,5482225,20.626498143721147
94,2024-11-01,7488212,3241974,17.23793150877257
95,2024-12-01,6556868,2933341,16.271535348854435
