,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
0,Málaga,120096,59.49,0.83,0.87,2.57,1.33,0.58,2.17,2.77,4.29,3.36,1.55,1.52,12.35,2.2,0.32,1.66,0.17,1.45,0.54
1,Sevilla,154675,43.92,1.34,1.03,1.68,2.25,0.84,4.36,3.81,6.4,5.08,5.37,1.69,16.44,2.47,0.78,1.41,0.45,0.56,0.12
2,Illes Balears,39500,5.25,0.61,0.45,47.74,0.77,0.17,1.18,0.75,14.42,6.32,0.47,1.16,17.59,0.88,0.19,1.37,0.1,0.56,0.02
3,Barcelona,275949,6.48,2.92,0.75,2.85,1.62,0.54,1.89,1.42,42.06,6.82,0.79,2.51,23.36,0.98,0.87,3.08,0.61,0.4,0.04
4,Girona,91881,2.01,0.89,0.21,1.52,0.26,0.31,0.36,0.41,84.06,2.99,0.16,0.6,5.12,0.29,0.12,0.59,0.04,0.05,0.0
5,46 Valencia/València,122489,12.0,2.68,0.76,2.55,1.38,0.46,2.41,3.3,14.19,30.1,0.66,1.46,19.85,4.44,0.6,2.52,0.27,0.33,0.04
6,Madrid,606856,14.6,2.51,2.96,2.66,3.75,2.0,5.68,4.05,11.78,9.86,2.71,4.63,22.3,3.01,1.69,4.3,1.0,0.42,0.11
7,Málaga,139834,50.45,0.63,0.68,2.36,1.22,0.41,1.39,2.28,8.23,3.12,1.17,2.15,19.41,1.85,0.39,1.92,0.21,1.01,1.11
8,Sevilla,155648,38.52,1.64,1.27,1.84,1.82,1.3,3.64,3.14,7.68,3.8,4.02,2.7,23.48,1.57,0.64,1.73,0.64,0.51,0.06
9,Illes Balears,39934,4.73,0.69,0.71,39.01,1.99,0.28,2.17,1.86,14.77,7.7,1.32,1.81,18.84,1.3,0.33,1.5,0.14,0.8,0.05
10,Barcelona,280494,6.69,2.41,0.94,2.94,1.51,0.76,1.89,1.47,38.6,6.35,0.93,2.53,25.46,1.18,1.01,3.91,0.69,0.59,0.13
