,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date,estancia_media_esp,estancia_media_ext
0,2024M12,29 Málaga,292142,120096,172046,894297,247630,646667,3.061172307,2.061933786,3.75868663,2024,12,12/1/2024,-2.061933786,3.75868663
1,2024M12,41 Sevilla,291612,154675,136937,584318,281149,303169,2.00375156,1.817675772,2.213930494,2024,12,12/1/2024,-1.817675772,2.213930494
2,2024M12,"07 Balears, Illes",102526,39500,63026,311450,84821,226629,3.03776603,2.147367089,3.595801733,2024,12,12/1/2024,-2.147367089,3.595801733
3,2024M12,08 Barcelona,830151,275949,554202,1900241,485475,1414766,2.28903055,1.759292478,2.552798438,2024,12,12/1/2024,-1.759292478,2.552798438
4,2024M12,17 Girona,152175,91881,60294,252605,149407,103198,1.659963857,1.626092446,1.711579925,2024,12,12/1/2024,-1.626092446,1.711579925
5,2024M12,46 Valencia/València,206102,122489,83613,448045,248618,199427,2.173899331,2.029716954,2.385119539,2024,12,12/1/2024,-2.029716954,2.385119539
6,2024M12,28 Madrid,1058633,606856,451778,2165912,1121901,1044011,2.045951713,1.848710402,2.310893846,2024,12,12/1/2024,-1.848710402,2.310893846
7,2024M11,29 Málaga,364981,139834,225148,1167219,268510,898709,3.198026747,1.920205386,3.991636612,2024,11,11/1/2024,-1.920205386,3.991636612
8,2024M11,41 Sevilla,315397,155648,159749,646013,277439,368575,2.048253471,1.782477128,2.307213191,2024,11,11/1/2024,-1.782477128,2.307213191
9,2024M11,"07 Balears, Illes",121271,39934,81337,407673,78504,329169,3.361669319,1.965843642,4.04697739,2024,11,11/1/2024,-1.965843642,4.04697739
10,2024M11,08 Barcelona,940096,280494,659602,2164179,509485,1654694,2.302082979,1.816384664,2.508624898,2024,11,11/1/2024,-1.816384664,2.508624898
11,2024M11,17 Girona,159482,86908,72574,287231,140844,146387,1.801024567,1.620610301,2.01707223,2024,11,11/1/2024,-1.620610301,2.01707223
12,2024M11,46 Valencia/València,215646,135725,79921,539982,350834,189148,2.504020478,2.584888561,2.366687104,2024,11,11/1/2024,-2.584888561,2.366687104
13,2024M11,28 Madrid,1125101,591976,533125,2275915,1066842,1209073,2.022853948,1.802171034,2.267897773,2024,11,11/1/2024,-1.802171034,2.267897773
14,2024M10,29 Málaga,602045,163918,438127,2188021,356327,1831695,3.634314711,2.173812516,4.180739831,2024,10,10/1/2024,-2.173812516,4.180739831
15,2024M10,41 Sevilla,372127,140343,231784,767363,245055,522307,2.062099767,1.746114876,2.253421289,2024,10,10/1/2024,-1.746114876,2.253421289
16,2024M10,"07 Balears, Illes",1360646,162615,1198031,7041981,511919,6530063,5.175468858,3.148042923,5.450662796,2024,10,10/1/2024,-3.148042923,5.450662796
17,2024M10,08 Barcelona,1218984,300067,918917,3130930,571488,2559442,2.568475058,1.904534654,2.785280934,2024,10,10/1/2024,-1.904534654,2.785280934
18,2024M10,17 Girona,379239,123611,255628,1088327,242572,845755,2.869765504,1.962381989,3.308538188,2024,10,10/1/2024,-1.962381989,3.308538188
19,2024M10,46 Valencia/València,320989,155899,165090,726177,306680,419497,2.26231117,1.967171053,2.54102005,2024,10,10/1/2024,-1.967171053,2.54102005
20,2024M10,28 Madrid,1228195,563246,664949,2522790,1002672,1520119,2.054063076,1.780167103,2.286068556,2024,10,10/1/2024,-1.780167103,2.286068556
21,2024M09,29 Málaga,615514,186539,428976,2336863,480155,1856708,3.796604139,2.574019374,4.328232815,2024,9,9/1/2024,-2.574019374,4.328232815
22,2024M09,41 Sevilla,340661,137532,203128,687662,232368,455294,2.018610877,1.689555885,2.241414281,2024,9,9/1/2024,-1.689555885,2.241414281
23,2024M09,"07 Balears, Illes",1741692,177047,1564645,9364391,652181,8712210,5.376605623,3.683660271,5.568170416,2024,9,9/1/2024,-3.683660271,5.568170416
24,2024M09,08 Barcelona,1197723,277468,920255,3341674,543250,2798425,2.790022401,1.957883432,3.04092344,2024,9,9/1/2024,-1.957883432,3.04092344
25,2024M09,17 Girona,489776,153745,336031,1641945,343494,1298451,3.352440708,2.234179973,3.864080993,2024,9,9/1/2024,-2.234179973,3.864080993
26,2024M09,46 Valencia/València,335805,176016,159789,879306,438150,441156,2.618501809,2.48926234,2.760865892,2024,9,9/1/2024,-2.48926234,2.760865892
27,2024M09,28 Madrid,1170483,536583,633900,2328196,926240,1401956,1.989089974,1.726182156,2.211635905,2024,9,9/1/2024,-1.726182156,2.211635905
28,2024M08,29 Málaga,698256,290347,407909,2767237,940988,1826249,3.963069419,3.240908292,4.477099059,2024,8,8/1/2024,-3.240908292,4.477099059
29,2024M08,41 Sevilla,319596,118028,201569,654582,203090,451492,2.048154545,1.720693395,2.239888078,2024,8,8/1/2024,-1.720693395,2.239888078
30,2024M08,"07 Balears, Illes",2093220,241846,1851374,11414856,999650,10415206,5.453251928,4.133415479,5.625662886,2024,8,8/1/2024,-4.133415479,5.625662886
31,2024M08,08 Barcelona,1340634,262786,1077848,4061207,589496,3471711,3.029318218,2.243254968,3.220965294,2024,8,8/1/2024,-2.243254968,3.220965294
32,2024M08,17 Girona,658624,256450,402174,2408114,742204,1665909,3.656280366,2.894147007,4.142259321,2024,8,8/1/2024,-2.894147007,4.142259321
33,2024M08,46 Valencia/València,389611,201701,187910,1055279,554991,500288,2.70854519,2.751553041,2.662380927,2024,8,8/1/2024,-2.751553041,2.662380927
34,2024M08,28 Madrid,1025471,469667,555803,2037081,830595,1206486,1.986483284,1.768476389,2.170707967,2024,8,8/1/2024,-1.768476389,2.170707967
35,2024M07,29 Málaga,652289,255067,397222,2489865,735271,1754594,3.817119406,2.882658282,4.417162191,2024,7,7/1/2024,-2.882658282,4.417162191
