periodo,pais_origen,viajeros,pernoctaciones
2024M12,Alemania,"286,033","1,762,158"
2024M12,Austria,"22,084","94,783"
2024M12,Bélgica,"71,327","346,465"
2024M12,Dinamarca,"30,906","169,332"
2024M12,Finlandia,"31,26","209,2"
2024M12,Francia,"283,608","699,522"
2024M12,Grecia,"11,443","35,434"
2024M12,Irlanda,"56,356","269,896"
2024M12,Italia,"195,361","532,534"
2024M12,Luxemburgo,"5,524","27,633"
2024M12,Países Bajos,"103,511","424,135"
2024M12,Polonia,"59,297","253,198"
2024M12,Portugal,"128,922","231,359"
2024M12,República Checa,"13,713","53,328"
2024M12,Suecia,"54,564","318,886"
2024M12,Resto de la U.E.,"89,661","272,833"
2024M12,Noruega,"31,965","192,64"
2024M12,Reino Unido,"452,151","2,483,982"
2024M12,Rusia,,
2024M12,Suiza,"45,653","158,354"
2024M12,Otros Países Europeos,"103,104","307,922"
2024M12,África,"68,028","184,751"
2024M12,UE28 sin España,"1,895,720","8,184,678"
2024M12,UE27_2020 sin España,"1,443,569","5,700,696"
2024M12,Resto del Mundo,"205,318","482,345"
2024M12,América (sin EEUU),"259,055","597,401"
2024M12,Estados Unidos de América,"197,039","488,58"
2024M12,Japón,"32,495","66,849"
2024M12,Asia (sin Japón),,
2024M11,Alemania,"344,91","2,059,727"
2024M11,Austria,"28,319","120,82"
2024M11,Bélgica,"80,144","354,049"
2024M11,Dinamarca,"42,145","214,629"
2024M11,Finlandia,"41,032","256,344"
2024M11,Francia,"294,221","739,763"
2024M11,Grecia,"13,33","37,005"
2024M11,Irlanda,"70,939","326,619"
2024M11,Italia,"196,093","546,979"
2024M11,Luxemburgo,"5,689","28,405"
2024M11,Países Bajos,"126,21","509,889"
2024M11,Polonia,"74,431","280,421"
2024M11,Portugal,"108,576","217,299"
2024M11,República Checa,"19,004","67,874"
2024M11,Suecia,"70,75","389,653"
2024M11,Resto de la U.E.,"105,311","314,682"
2024M11,Noruega,"43,217","273,069"
2024M11,Reino Unido,"544,599","2,800,713"
2024M11,Rusia,,
2024M11,Suiza,"50,541","189,233"
2024M11,Otros Países Europeos,"117,91","338,473"
2024M11,África,"58,695","158,898"
2024M11,UE28 sin España,"2,165,701","9,264,872"
2024M11,UE27_2020 sin España,"1,621,102","6,464,159"
2024M11,Resto del Mundo,"243,834","547,11"
2024M11,América (sin EEUU),"310,273","726,792"
2024M11,Estados Unidos de América,"282,624","679,941"
2024M11,Japón,"31,748","62,103"
2024M11,Asia (sin Japón),,
2024M10,Alemania,"893,847","4,990,492"
2024M10,Austria,"61,734","228,695"
2024M10,Bélgica,"140,45","667,351"
2024M10,Dinamarca,"67,73","342,42"
2024M10,Finlandia,"46,88","229,977"
2024M10,Francia,"664,619","1,974,407"
2024M10,Grecia,"14,305","40,204"
2024M10,Irlanda,"155,568","721,429"
2024M10,Italia,"282,888","756,382"
2024M10,Luxemburgo,"8,952","41,671"
2024M10,Países Bajos,"244,099","1,073,474"
2024M10,Polonia,"124,39","519,815"
2024M10,Portugal,"149,707","352,814"
2024M10,República Checa,"39,506","169,577"
2024M10,Suecia,"94,802","429,052"
2024M10,Resto de la U.E.,"175,192","589,881"
2024M10,Noruega,"66,36","334,131"
2024M10,Reino Unido,"1,112,550","6,112,425"
2024M10,Rusia,,
2024M10,Suiza,"139,479","576,866"
2024M10,Otros Países Europeos,"182,121","580,408"
2024M10,África,"73,462","187,527"
2024M10,UE28 sin España,"4,277,218","19,240,066"
2024M10,UE27_2020 sin España,"3,164,669","13,127,641"
2024M10,Resto del Mundo,"335,723","741,023"
2024M10,América (sin EEUU),"503,613","1,151,690"
2024M10,Estados Unidos de América,"495,221","1,126,877"
2024M10,Japón,"38,081","72,687"
2024M10,Asia (sin Japón),,
2024M09,Alemania,"919,461","5,060,994"
2024M09,Austria,"61,503","252,528"
2024M09,Bélgica,"165,428","765,868"
2024M09,Dinamarca,"61,81","265,161"
2024M09,Finlandia,"25,424","103,152"
2024M09,Francia,"631,226","2,025,526"
2024M09,Grecia,"14,762","39,821"
2024M09,Irlanda,"190,473","887,047"
2024M09,Italia,"320,475","1,033,443"
2024M09,Luxemburgo,"11,936","65,117"
2024M09,Países Bajos,"288,054","1,322,227"
2024M09,Polonia,"161,56","806,57"
2024M09,Portugal,"233,122","791,923"
2024M09,República Checa,"50,572","249,027"
2024M09,Suecia,"70,856","289,411"
2024M09,Resto de la U.E.,"185,119","728,955"
2024M09,Noruega,"52,748","225,98"
2024M09,Reino Unido,"1,345,502","7,272,079"
2024M09,Rusia,,
2024M09,Suiza,"137,166","544,148"
2024M09,Otros Países Europeos,"205,356","769,96"
2024M09,África,"83,095","221,882"
2024M09,UE28 sin España,"4,737,284","21,958,849"
2024M09,UE27_2020 sin España,"3,391,782","14,686,770"
2024M09,Resto del Mundo,"349,119","814,55"
2024M09,América (sin EEUU),"539,247","1,231,176"
2024M09,Estados Unidos de América,"514,136","1,176,953"
2024M09,Japón,"38,963","80,798"
2024M09,Asia (sin Japón),,
2024M08,Alemania,"847,5","4,762,987"
2024M08,Austria,"65,153","288,816"
2024M08,Bélgica,"186,469","779,611"
2024M08,Dinamarca,"46,967","242,74"
2024M08,Finlandia,"12,701","48,713"
2024M08,Francia,"1,068,792","3,672,995"
2024M08,Grecia,"16,824","47,355"
2024M08,Irlanda,"158,716","841,733"
2024M08,Italia,"547,898","1,976,847"
2024M08,Luxemburgo,"15,557","71,971"
2024M08,Países Bajos,"334,802","1,595,899"
