id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;deposit;age_group
1;59.0;admin.;married;secondary;no;2343;yes;no;unknown;5;may;1042;1;-1;0;unknown;yes;56 - 65
2;56.0;admin.;married;secondary;no;45;no;no;unknown;5;may;1467;1;-1;0;unknown;yes;56 - 65
3;41.0;technician;married;secondary;no;1270;yes;no;unknown;5;may;1389;1;-1;0;unknown;yes;36 - 45
4;55.0;services;married;secondary;no;2476;yes;no;unknown;5;may;579;1;-1;0;unknown;yes;46 - 55
5;54.0;admin.;married;tertiary;no;184;no;no;unknown;5;may;673;2;-1;0;unknown;yes;46 - 55
6;42.0;management;single;tertiary;no;0;yes;yes;unknown;5;may;562;2;-1;0;unknown;yes;36 - 45
7;56.0;management;married;tertiary;no;830;yes;yes;unknown;6;may;1201;1;-1;0;unknown;yes;56 - 65
8;60.0;retired;divorced;secondary;no;545;yes;no;unknown;6;may;1030;1;-1;0;unknown;yes;56 - 65
9;37.0;technician;married;secondary;no;1;yes;no;unknown;6;may;608;1;-1;0;unknown;yes;36 - 45
10;28.0;services;single;secondary;no;5090;yes;no;unknown;6;may;1297;3;-1;0;unknown;yes;26 - 35
11;38.0;admin.;single;secondary;no;100;yes;no;unknown;7;may;786;1;-1;0;unknown;yes;36 - 45
12;30.0;blue-collar;married;secondary;no;309;yes;no;unknown;7;may;1574;2;-1;0;unknown;yes;26 - 35
13;29.0;management;married;tertiary;no;199;yes;yes;unknown;7;may;1689;4;-1;0;unknown;yes;26 - 35
14;46.0;blue-collar;single;tertiary;no;460;yes;no;unknown;7;may;1102;2;-1;0;unknown;yes;46 - 55
15;31.0;technician;single;tertiary;no;703;yes;no;unknown;8;may;943;2;-1;0;unknown;yes;26 - 35
16;35.0;management;divorced;tertiary;no;3837;yes;no;unknown;8;may;1084;1;-1;0;unknown;yes;26 - 35
17;32.0;blue-collar;single;primary;no;611;yes;no;unknown;8;may;541;3;-1;0;unknown;yes;26 - 35
18;49.0;services;married;secondary;no;-8;yes;no;unknown;8;may;1119;1;-1;0;unknown;yes;46 - 55
19;41.0;admin.;married;secondary;no;55;yes;no;unknown;8;may;1120;2;-1;0;unknown;yes;36 - 45
20;49.0;admin.;divorced;secondary;no;168;yes;yes;unknown;8;may;513;1;-1;0;unknown;yes;46 - 55
21;28.0;admin.;divorced;secondary;no;785;yes;no;unknown;8;may;442;2;-1;0;unknown;yes;26 - 35
22;43.0;management;single;tertiary;no;2067;yes;no;unknown;8;may;756;1;-1;0;unknown;yes;36 - 45
23;43.0;management;divorced;tertiary;no;388;yes;no;unknown;8;may;2087;2;-1;0;unknown;yes;36 - 45
24;43.0;blue-collar;married;primary;no;-192;yes;no;unknown;8;may;1120;2;-1;0;unknown;yes;36 - 45
25;37.0;unemployed;single;secondary;no;381;yes;no;unknown;8;may;985;2;-1;0;unknown;yes;36 - 45
26;35.0;blue-collar;single;secondary;no;40;yes;no;unknown;9;may;617;4;-1;0;unknown;yes;26 - 35
27;31.0;technician;single;tertiary;no;22;yes;no;unknown;9;may;483;3;-1;0;unknown;yes;26 - 35
28;43.0;blue-collar;single;secondary;no;3;yes;no;unknown;9;may;929;3;-1;0;unknown;yes;36 - 45
29;31.0;admin.;married;secondary;no;307;yes;no;unknown;9;may;538;1;-1;0;unknown;yes;26 - 35
30;28.0;blue-collar;single;secondary;no;759;yes;no;unknown;9;may;710;1;-1;0;unknown;yes;26 - 35
31;32.0;blue-collar;married;secondary;yes;-1;yes;no;unknown;9;may;653;1;-1;0;unknown;yes;26 - 35
32;60.0;technician;married;primary;no;65;yes;no;unknown;9;may;1028;2;-1;0;unknown;yes;56 - 65
33;26.0;blue-collar;single;secondary;no;82;yes;no;unknown;9;may;654;1;-1;0;unknown;yes;26 - 35
34;40.0;blue-collar;married;secondary;no;10;yes;no;unknown;9;may;1692;2;-1;0;unknown;yes;36 - 45
35;33.0;blue-collar;divorced;primary;no;390;yes;no;unknown;9;may;665;2;-1;0;unknown;yes;26 - 35
36;32.0;management;single;tertiary;no;311;no;no;unknown;12;may;757;2;-1;0;unknown;yes;26 - 35
37;35.0;blue-collar;married;primary;no;414;no;no;unknown;13;may;504;4;-1;0;unknown;yes;26 - 35
38;33.0;management;divorced;secondary;no;5;yes;no;unknown;13;may;1346;1;-1;0;unknown;yes;26 - 35
39;38.0;management;married;tertiary;no;119;yes;no;unknown;13;may;568;4;-1;0;unknown;yes;36 - 45
40;23.0;entrepreneur;single;primary;no;4;yes;no;unknown;13;may;395;2;-1;0;unknown;yes;18 - 25
41;60.0;blue-collar;married;primary;no;1262;yes;yes;unknown;13;may;1015;1;-1;0;unknown;yes;56 - 65
42;48.0;management;married;tertiary;no;1949;yes;no;unknown;13;may;683;2;-1;0;unknown;yes;46 - 55
43;45.0;entrepreneur;divorced;tertiary;no;-395;yes;no;unknown;13;may;470;1;-1;0;unknown;yes;36 - 45
44;36.0;blue-collar;married;secondary;no;1165;yes;no;unknown;13;may;1001;4;-1;0;unknown;yes;36 - 45
45;52.0;management;married;unknown;no;2240;yes;no;unknown;13;may;845;1;-1;0;unknown;yes;46 - 55
46;35.0;blue-collar;divorced;primary;no;300;yes;no;unknown;13;may;945;2;-1;0;unknown;yes;26 - 35
47;43.0;technician;married;secondary;no;3285;yes;no;unknown;13;may;1721;2;-1;0;unknown;yes;36 - 45
48;52.0;housemaid;married;secondary;no;3923;yes;no;unknown;14;may;942;3;-1;0;unknown;yes;46 - 55
49;53.0;technician;divorced;primary;no;1443;yes;no;unknown;14;may;476;1;-1;0;unknown;yes;46 - 55
50;48.0;blue-collar;divorced;primary;no;24;yes;no;unknown;14;may;832;1;-1;0;unknown;yes;46 - 55
51;41.0;blue-collar;single;primary;no;1618;yes;no;unknown;14;may;1553;1;-1;0;unknown;yes;36 - 45
52;39.0;management;divorced;tertiary;no;517;yes;yes;unknown;14;may;1328;1;-1;0;unknown;yes;36 - 45
53;59.0;retired;married;secondary;no;1521;yes;yes;unknown;14;may;1125;2;-1;0;unknown;yes;56 - 65
54;41.0;blue-collar;married;secondary;no;2823;yes;no;unknown;14;may;858;1;-1;0;unknown;yes;36 - 45
55;48.0;blue-collar;married;secondary;no;1405;yes;no;unknown;14;may;629;2;-1;0;unknown;yes;46 - 55
56;40.0;admin.;married;secondary;no;1535;yes;no;unknown;14;may;704;1;-1;0;unknown;yes;36 - 45
57;48.0;blue-collar;married;secondary;no;1596;yes;no;unknown;14;may;760;1;-1;0;unknown;yes;46 - 55
