id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;deposit;age_group;age_clusters;job_cat;education_level;Cluster
1;59.0;administrative;married;secondary;no;2343;yes;no;unknown;5;may;1042;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
2;56.0;administrative;married;secondary;no;45;no;no;unknown;5;may;1467;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
3;41.0;technician;married;secondary;no;1270;yes;no;unknown;5;may;1389;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
4;55.0;services;married;secondary;no;2476;yes;no;unknown;5;may;579;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Secundaria;0
5;54.0;administrative;married;tertiary;no;184;no;no;unknown;5;may;673;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Universitaria;0
6;42.0;management;single;tertiary;no;0;yes;yes;unknown;5;may;562;2;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Universitaria;1
7;56.0;management;married;tertiary;no;830;yes;yes;unknown;6;may;1201;1;-1;0;unknown;yes;55-64;Baby Boomers;cuenta ajena;Universitaria;0
8;60.0;retired;divorced;secondary;no;545;yes;no;unknown;6;may;1030;1;-1;0;unknown;yes;55-64;Baby Boomers;jubilación;Secundaria;2
9;37.0;technician;married;secondary;no;1;yes;no;unknown;6;may;608;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
10;28.0;services;single;secondary;no;5090;yes;no;unknown;6;may;1297;3;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;1
11;38.0;administrative;single;secondary;no;100;yes;no;unknown;7;may;786;1;-1;0;unknown;yes;35-44;Generation X;cuenta ajena;Secundaria;0
12;30.0;blue-collar;married;secondary;no;309;yes;no;unknown;7;may;1574;2;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Secundaria;0
13;29.0;management;married;tertiary;no;199;yes;yes;unknown;7;may;1689;4;-1;0;unknown;yes;18-34;Generation Z y Millenials;cuenta ajena;Universitaria;1
14;46.0;blue-collar;single;tertiary;no;460;yes;no;unknown;7;may;1102;2;-1;0;unknown;yes;45-54;Generation X;cuenta ajena;Universitaria;1
