Provincias;Meses;Total
02 Albacete;Total;2,66
02 Albacete;Enero;..
02 Albacete;Febrero;1,30
02 Albacete;Marzo;1,87
02 Albacete;Abril;1,60
02 Albacete;Mayo;2,10
02 Albacete;Junio;2,35
02 Albacete;Julio;2,73
02 Albacete;Agosto;3,97
02 Albacete;Septiembre;2,32
02 Albacete;Octubre;2,59
02 Albacete;Noviembre;..
02 Albacete;Diciembre;..
03 Alicante/Alacant;Total;6,26
03 Alicante/Alacant;Enero;10,75
03 Alicante/Alacant;Febrero;12,83
03 Alicante/Alacant;Marzo;6,68
03 Alicante/Alacant;Abril;4,17
03 Alicante/Alacant;Mayo;4,71
03 Alicante/Alacant;Junio;4,71
03 Alicante/Alacant;Julio;6,03
03 Alicante/Alacant;Agosto;6,96
03 Alicante/Alacant;Septiembre;6,57
03 Alicante/Alacant;Octubre;6,78
03 Alicante/Alacant;Noviembre;7,14
03 Alicante/Alacant;Diciembre;5,81
04 Almería;Total;4,86
04 Almería;Enero;5,71
04 Almería;Febrero;4,71
04 Almería;Marzo;5,89
04 Almería;Abril;3,69
04 Almería;Mayo;3,15
04 Almería;Junio;3,59
04 Almería;Julio;5,19
04 Almería;Agosto;5,44
04 Almería;Septiembre;4,64
04 Almería;Octubre;4,88
04 Almería;Noviembre;6,13
04 Almería;Diciembre;4,97
01 Araba/Álava;Total;8,05
01 Araba/Álava;Enero;12,29
01 Araba/Álava;Febrero;13,97
01 Araba/Álava;Marzo;8,82
01 Araba/Álava;Abril;9,47
01 Araba/Álava;Mayo;12,75
01 Araba/Álava;Junio;8,60
01 Araba/Álava;Julio;6,95
01 Araba/Álava;Agosto;5,65
01 Araba/Álava;Septiembre;7,79
01 Araba/Álava;Octubre;6,69
01 Araba/Álava;Noviembre;8,39
01 Araba/Álava;Diciembre;7,18
33 Asturias;Total;4,77
33 Asturias;Enero;12,56
33 Asturias;Febrero;..
33 Asturias;Marzo;6,44
33 Asturias;Abril;9,90
33 Asturias;Mayo;3,71
33 Asturias;Junio;3,24
33 Asturias;Julio;5,43
33 Asturias;Agosto;5,84
33 Asturias;Septiembre;3,62
33 Asturias;Octubre;3,78
33 Asturias;Noviembre;4,13
33 Asturias;Diciembre;..
05 Ávila;Total;2,47
05 Ávila;Enero;..
05 Ávila;Febrero;..
05 Ávila;Marzo;2,33
05 Ávila;Abril;1,92
05 Ávila;Mayo;1,77
05 Ávila;Junio;2,06
05 Ávila;Julio;2,56
05 Ávila;Agosto;3,84
05 Ávila;Septiembre;2,08
05 Ávila;Octubre;1,91
05 Ávila;Noviembre;2,06
05 Ávila;Diciembre;2,36
06 Badajoz;Total;1,94
06 Badajoz;Enero;2,03
06 Badajoz;Febrero;2,88
06 Badajoz;Marzo;2,43
06 Badajoz;Abril;2,56
06 Badajoz;Mayo;2,13
06 Badajoz;Junio;1,92
06 Badajoz;Julio;1,74
06 Badajoz;Agosto;1,77
06 Badajoz;Septiembre;1,95
06 Badajoz;Octubre;1,89
06 Badajoz;Noviembre;2,05
06 Badajoz;Diciembre;2,04
07 Balears, Illes;Total;5,32
07 Balears, Illes;Enero;11,71
07 Balears, Illes;Febrero;9,21
07 Balears, Illes;Marzo;7,60
07 Balears, Illes;Abril;10,09
07 Balears, Illes;Mayo;4,14
07 Balears, Illes;Junio;4,76
07 Balears, Illes;Julio;5,12
07 Balears, Illes;Agosto;5,71
07 Balears, Illes;Septiembre;5,31
07 Balears, Illes;Octubre;5,23
07 Balears, Illes;Noviembre;6,50
07 Balears, Illes;Diciembre;5,36
08 Barcelona;Total;9,45
08 Barcelona;Enero;31,00
08 Barcelona;Febrero;26,43
08 Barcelona;Marzo;23,48
08 Barcelona;Abril;12,28
08 Barcelona;Mayo;10,23
08 Barcelona;Junio;9,74
08 Barcelona;Julio;5,02
08 Barcelona;Agosto;5,60
08 Barcelona;Septiembre;7,14
08 Barcelona;Octubre;7,94
08 Barcelona;Noviembre;9,17
08 Barcelona;Diciembre;8,98
48 Bizkaia;Total;2,69
48 Bizkaia;Enero;4,16
48 Bizkaia;Febrero;5,12
48 Bizkaia;Marzo;3,39
48 Bizkaia;Abril;2,51
48 Bizkaia;Mayo;2,66
48 Bizkaia;Junio;2,50
48 Bizkaia;Julio;2,86
48 Bizkaia;Agosto;2,89
48 Bizkaia;Septiembre;2,51
48 Bizkaia;Octubre;2,39
48 Bizkaia;Noviembre;2,40
48 Bizkaia;Diciembre;2,32
09 Burgos;Total;1,82
09 Burgos;Enero;2,49
09 Burgos;Febrero;2,05
09 Burgos;Marzo;2,24
09 Burgos;Abril;2,28
09 Burgos;Mayo;1,98
09 Burgos;Junio;1,98
09 Burgos;Julio;1,77
09 Burgos;Agosto;1,96
09 Burgos;Septiembre;1,49
09 Burgos;Octubre;1,67
09 Burgos;Noviembre;1,69
09 Burgos;Diciembre;2,05
10 Cáceres;Total;2,45
10 Cáceres;Enero;3,13
10 Cáceres;Febrero;3,40
10 Cáceres;Marzo;2,18
10 Cáceres;Abril;2,33
10 Cáceres;Mayo;1,88
10 Cáceres;Junio;2,23
10 Cáceres;Julio;2,25
10 Cáceres;Agosto;2,91
10 Cáceres;Septiembre;3,02
10 Cáceres;Octubre;2,39
10 Cáceres;Noviembre;2,16
10 Cáceres;Diciembre;2,30
11 Cádiz;Total;3,86
11 Cádiz;Enero;3,00
11 Cádiz;Febrero;3,63
11 Cádiz;Marzo;2,93
11 Cádiz;Abril;2,74
11 Cádiz;Mayo;2,66
11 Cádiz;Junio;2,93
11 Cádiz;Julio;4,66
11 Cádiz;Agosto;5,20
11 Cádiz;Septiembre;4,48
11 Cádiz;Octubre;3,77
11 Cádiz;Noviembre;2,90
11 Cádiz;Diciembre;2,79
39 Cantabria;Total;4,18
39 Cantabria;Enero;3,74
39 Cantabria;Febrero;2,87
39 Cantabria;Marzo;4,48
39 Cantabria;Abril;3,48
39 Cantabria;Mayo;2,83
39 Cantabria;Junio;3,29
39 Cantabria;Julio;4,56
39 Cantabria;Agosto;5,52
39 Cantabria;Septiembre;4,02
39 Cantabria;Octubre;2,63
39 Cantabria;Noviembre;3,08
39 Cantabria;Diciembre;3,23
12 Castellón/Castelló;Total;6,45
12 Castellón/Castelló;Enero;13,19
12 Castellón/Castelló;Febrero;12,86
12 Castellón/Castelló;Marzo;7,36
12 Castellón/Castelló;Abril;5,09
12 Castellón/Castelló;Mayo;4,69
12 Castellón/Castelló;Junio;4,93
12 Castellón/Castelló;Julio;6,45
12 Castellón/Castelló;Agosto;7,13
12 Castellón/Castelló;Septiembre;7,39
12 Castellón/Castelló;Octubre;4,51
12 Castellón/Castelló;Noviembre;7,56
12 Castellón/Castelló;Diciembre;5,14
13 Ciudad Real;Total;2,72
13 Ciudad Real;Enero;4,48
13 Ciudad Real;Febrero;14,91
13 Ciudad Real;Marzo;2,86
13 Ciudad Real;Abril;3,20
13 Ciudad Real;Mayo;..
13 Ciudad Real;Junio;2,33
13 Ciudad Real;Julio;2,44
13 Ciudad Real;Agosto;3,16
13 Ciudad Real;Septiembre;2,25
13 Ciudad Real;Octubre;2,65
13 Ciudad Real;Noviembre;..
13 Ciudad Real;Diciembre;2,96
14 Córdoba;Total;2,28
14 Córdoba;Enero;2,67
14 Córdoba;Febrero;4,10
14 Córdoba;Marzo;3,44
14 Córdoba;Abril;..
14 Córdoba;Mayo;2,05
14 Córdoba;Junio;2,33
14 Córdoba;Julio;2,47
14 Córdoba;Agosto;2,45
14 Córdoba;Septiembre;2,10
14 Córdoba;Octubre;2,02
14 Córdoba;Noviembre;..
14 Córdoba;Diciembre;2,15
15 Coruña, A;Total;2,89
15 Coruña, A;Enero;3,24
15 Coruña, A;Febrero;4,72
15 Coruña, A;Marzo;2,33
15 Coruña, A;Abril;1,91
15 Coruña, A;Mayo;2,00
15 Coruña, A;Junio;2,45
15 Coruña, A;Julio;3,15
15 Coruña, A;Agosto;3,83
15 Coruña, A;Septiembre;2,79
15 Coruña, A;Octubre;2,41
15 Coruña, A;Noviembre;3,02
15 Coruña, A;Diciembre;2,84
16 Cuenca;Total;2,91
16 Cuenca;Enero;3,88
16 Cuenca;Febrero;6,15
16 Cuenca;Marzo;2,55
16 Cuenca;Abril;2,78
16 Cuenca;Mayo;2,37
16 Cuenca;Junio;2,13
16 Cuenca;Julio;2,86
16 Cuenca;Agosto;3,36
16 Cuenca;Septiembre;2,68
16 Cuenca;Octubre;2,84
16 Cuenca;Noviembre;..
16 Cuenca;Diciembre;..
20 Gipuzkoa;Total;4,94
20 Gipuzkoa;Enero;5,65
20 Gipuzkoa;Febrero;6,85
