Provincias;Meses;Total
Balears, Illes;Enero;7,00
Balears, Illes;Febrero;6,91
Balears, Illes;Marzo;7,06
Balears, Illes;Abril;6,26
Balears, Illes;Mayo;6,11
Balears, Illes;Junio;6,94
Balears, Illes;Julio;7,50
Balears, Illes;Agosto;7,78
Balears, Illes;Septiembre;7,50
Balears, Illes;Octubre;8,06
Balears, Illes;Noviembre;6,41
Balears, Illes;Diciembre;6,43
Barcelona;Enero;6,42
Barcelona;Febrero;5,76
Barcelona;Marzo;5,48
Barcelona;Abril;4,82
Barcelona;Mayo;4,84
Barcelona;Junio;5,18
Barcelona;Julio;4,40
Barcelona;Agosto;4,94
Barcelona;Septiembre;5,28
Barcelona;Octubre;5,18
Barcelona;Noviembre;6,98
Barcelona;Diciembre;7,12
Girona;Enero;3,73
Girona;Febrero;2,86
Girona;Marzo;3,54
Girona;Abril;4,07
Girona;Mayo;4,95
Girona;Junio;6,53
Girona;Julio;8,21
Girona;Agosto;8,70
Girona;Septiembre;8,75
Girona;Octubre;4,90
Girona;Noviembre;3,99
Girona;Diciembre;3,24
Madrid;Enero;4,32
Madrid;Febrero;4,41
Madrid;Marzo;4,16
Madrid;Abril;3,72
Madrid;Mayo;3,79
Madrid;Junio;3,88
Madrid;Julio;3,74
Madrid;Agosto;3,70
Madrid;Septiembre;3,46
Madrid;Octubre;3,25
Madrid;Noviembre;3,67
Madrid;Diciembre;3,74
Málaga;Enero;5,94
Málaga;Febrero;5,79
Málaga;Marzo;6,13
Málaga;Abril;5,85
Málaga;Mayo;5,31
Málaga;Junio;5,92
Málaga;Julio;6,52
Málaga;Agosto;6,58
Málaga;Septiembre;6,33
Málaga;Octubre;6,03
Málaga;Noviembre;6,20
Málaga;Diciembre;5,07
Sevilla;Enero;3,03
Sevilla;Febrero;2,77
Sevilla;Marzo;2,82
Sevilla;Abril;2,98
Sevilla;Mayo;2,68
Sevilla;Junio;2,75
Sevilla;Julio;2,92
Sevilla;Agosto;2,63
Sevilla;Septiembre;2,76
Sevilla;Octubre;2,76
Sevilla;Noviembre;2,95
Sevilla;Diciembre;2,86
Valencia/Valéncia;Enero;4,63
Valencia/Valéncia;Febrero;4,70
Valencia/Valéncia;Marzo;4,60
Valencia/Valéncia;Abril;4,27
Valencia/Valéncia;Mayo;3,70
Valencia/Valéncia;Junio;6,24
Valencia/Valéncia;Julio;8,78
Valencia/Valéncia;Agosto;9,14
Valencia/Valéncia;Septiembre;6,38
Valencia/Valéncia;Octubre;4,07
Valencia/Valéncia;Noviembre;3,70
Valencia/Valéncia;Diciembre;3,65
