Provincias;País de residencia;Meses;Total
02 Albacete;Total;Total;13.174
02 Albacete;Total;Enero;..
02 Albacete;Total;Febrero;81
02 Albacete;Total;Marzo;285
02 Albacete;Total;Abril;754
02 Albacete;Total;Mayo;993
02 Albacete;Total;Junio;1.627
02 Albacete;Total;Julio;2.011
02 Albacete;Total;Agosto;2.274
02 Albacete;Total;Septiembre;1.437
02 Albacete;Total;Octubre;1.598
02 Albacete;Total;Noviembre;..
02 Albacete;Total;Diciembre;..
02 Albacete;Españoles;Total;13.027
02 Albacete;Españoles;Enero;..
02 Albacete;Españoles;Febrero;81
02 Albacete;Españoles;Marzo;285
02 Albacete;Españoles;Abril;748
02 Albacete;Españoles;Mayo;955
02 Albacete;Españoles;Junio;1.597
02 Albacete;Españoles;Julio;1.974
02 Albacete;Españoles;Agosto;2.258
02 Albacete;Españoles;Septiembre;1.421
02 Albacete;Españoles;Octubre;1.598
02 Albacete;Españoles;Noviembre;..
02 Albacete;Españoles;Diciembre;..
02 Albacete;Extranjeros;Total;147
02 Albacete;Extranjeros;Enero;..
02 Albacete;Extranjeros;Febrero;..
02 Albacete;Extranjeros;Marzo;..
02 Albacete;Extranjeros;Abril;..
02 Albacete;Extranjeros;Mayo;37
02 Albacete;Extranjeros;Junio;30
02 Albacete;Extranjeros;Julio;37
02 Albacete;Extranjeros;Agosto;17
02 Albacete;Extranjeros;Septiembre;16
02 Albacete;Extranjeros;Octubre;..
02 Albacete;Extranjeros;Noviembre;..
02 Albacete;Extranjeros;Diciembre;..
02 Albacete;Unión Europea27 (sin España);Total;29
02 Albacete;Unión Europea27 (sin España);Enero;..
02 Albacete;Unión Europea27 (sin España);Febrero;..
02 Albacete;Unión Europea27 (sin España);Marzo;..
02 Albacete;Unión Europea27 (sin España);Abril;..
02 Albacete;Unión Europea27 (sin España);Mayo;17
02 Albacete;Unión Europea27 (sin España);Junio;..
02 Albacete;Unión Europea27 (sin España);Julio;..
02 Albacete;Unión Europea27 (sin España);Agosto;..
02 Albacete;Unión Europea27 (sin España);Septiembre;..
02 Albacete;Unión Europea27 (sin España);Octubre;..
02 Albacete;Unión Europea27 (sin España);Noviembre;..
02 Albacete;Unión Europea27 (sin España);Diciembre;..
02 Albacete;Alemania;Total;..
02 Albacete;Alemania;Enero;..
02 Albacete;Alemania;Febrero;..
02 Albacete;Alemania;Marzo;..
02 Albacete;Alemania;Abril;..
02 Albacete;Alemania;Mayo;..
02 Albacete;Alemania;Junio;..
02 Albacete;Alemania;Julio;..
02 Albacete;Alemania;Agosto;..
02 Albacete;Alemania;Septiembre;..
02 Albacete;Alemania;Octubre;..
02 Albacete;Alemania;Noviembre;..
02 Albacete;Alemania;Diciembre;..
02 Albacete;Austria;Total;..
02 Albacete;Austria;Enero;..
02 Albacete;Austria;Febrero;..
02 Albacete;Austria;Marzo;..
02 Albacete;Austria;Abril;..
02 Albacete;Austria;Mayo;..
02 Albacete;Austria;Junio;..
02 Albacete;Austria;Julio;..
02 Albacete;Austria;Agosto;..
02 Albacete;Austria;Septiembre;..
02 Albacete;Austria;Octubre;..
02 Albacete;Austria;Noviembre;..
02 Albacete;Austria;Diciembre;..
02 Albacete;Bélgica;Total;..
02 Albacete;Bélgica;Enero;..
02 Albacete;Bélgica;Febrero;..
02 Albacete;Bélgica;Marzo;..
02 Albacete;Bélgica;Abril;..
02 Albacete;Bélgica;Mayo;..
02 Albacete;Bélgica;Junio;..
02 Albacete;Bélgica;Julio;..
02 Albacete;Bélgica;Agosto;..
02 Albacete;Bélgica;Septiembre;..
02 Albacete;Bélgica;Octubre;..
02 Albacete;Bélgica;Noviembre;..
02 Albacete;Bélgica;Diciembre;..
02 Albacete;Dinamarca;Total;..
02 Albacete;Dinamarca;Enero;..
02 Albacete;Dinamarca;Febrero;..
02 Albacete;Dinamarca;Marzo;..
02 Albacete;Dinamarca;Abril;..
02 Albacete;Dinamarca;Mayo;..
02 Albacete;Dinamarca;Junio;..
02 Albacete;Dinamarca;Julio;..
02 Albacete;Dinamarca;Agosto;..
02 Albacete;Dinamarca;Septiembre;..
02 Albacete;Dinamarca;Octubre;..
02 Albacete;Dinamarca;Noviembre;..
02 Albacete;Dinamarca;Diciembre;..
02 Albacete;Finlandia;Total;..
02 Albacete;Finlandia;Enero;..
02 Albacete;Finlandia;Febrero;..
02 Albacete;Finlandia;Marzo;..
02 Albacete;Finlandia;Abril;..
02 Albacete;Finlandia;Mayo;..
02 Albacete;Finlandia;Junio;..
02 Albacete;Finlandia;Julio;..
02 Albacete;Finlandia;Agosto;..
02 Albacete;Finlandia;Septiembre;..
02 Albacete;Finlandia;Octubre;..
02 Albacete;Finlandia;Noviembre;..
02 Albacete;Finlandia;Diciembre;..
02 Albacete;Francia;Total;..
02 Albacete;Francia;Enero;..
02 Albacete;Francia;Febrero;..
02 Albacete;Francia;Marzo;..
02 Albacete;Francia;Abril;..
02 Albacete;Francia;Mayo;..
02 Albacete;Francia;Junio;..
02 Albacete;Francia;Julio;..
02 Albacete;Francia;Agosto;..
02 Albacete;Francia;Septiembre;..
02 Albacete;Francia;Octubre;..
02 Albacete;Francia;Noviembre;..
02 Albacete;Francia;Diciembre;..
02 Albacete;Grecia;Total;..
02 Albacete;Grecia;Enero;..
02 Albacete;Grecia;Febrero;..
02 Albacete;Grecia;Marzo;..
02 Albacete;Grecia;Abril;..
02 Albacete;Grecia;Mayo;..
02 Albacete;Grecia;Junio;..
02 Albacete;Grecia;Julio;..
02 Albacete;Grecia;Agosto;..
02 Albacete;Grecia;Septiembre;..
02 Albacete;Grecia;Octubre;..
02 Albacete;Grecia;Noviembre;..
02 Albacete;Grecia;Diciembre;..
02 Albacete;Irlanda;Total;..
02 Albacete;Irlanda;Enero;..
02 Albacete;Irlanda;Febrero;..
02 Albacete;Irlanda;Marzo;..
02 Albacete;Irlanda;Abril;..
02 Albacete;Irlanda;Mayo;..
02 Albacete;Irlanda;Junio;..
02 Albacete;Irlanda;Julio;..
02 Albacete;Irlanda;Agosto;..
02 Albacete;Irlanda;Septiembre;..
02 Albacete;Irlanda;Octubre;..
02 Albacete;Irlanda;Noviembre;..
02 Albacete;Irlanda;Diciembre;..
02 Albacete;Italia;Total;..
02 Albacete;Italia;Enero;..
02 Albacete;Italia;Febrero;..
02 Albacete;Italia;Marzo;..
02 Albacete;Italia;Abril;..
02 Albacete;Italia;Mayo;..
02 Albacete;Italia;Junio;..
02 Albacete;Italia;Julio;..
02 Albacete;Italia;Agosto;..
02 Albacete;Italia;Septiembre;..
02 Albacete;Italia;Octubre;..
02 Albacete;Italia;Noviembre;..
02 Albacete;Italia;Diciembre;..
02 Albacete;Luxemburgo;Total;..
02 Albacete;Luxemburgo;Enero;..
02 Albacete;Luxemburgo;Febrero;..
02 Albacete;Luxemburgo;Marzo;..
02 Albacete;Luxemburgo;Abril;..
02 Albacete;Luxemburgo;Mayo;..
02 Albacete;Luxemburgo;Junio;..
