Provincias;Residencia;Meses;Total
02 Albacete;Total;Total;1,75
02 Albacete;Total;Enero;1,66
02 Albacete;Total;Febrero;1,68
02 Albacete;Total;Marzo;1,68
02 Albacete;Total;Abril;1,59
02 Albacete;Total;Mayo;1,56
02 Albacete;Total;Junio;1,59
02 Albacete;Total;Julio;1,80
02 Albacete;Total;Agosto;1,88
02 Albacete;Total;Septiembre;1,83
02 Albacete;Total;Octubre;1,84
02 Albacete;Total;Noviembre;1,82
02 Albacete;Total;Diciembre;1,71
02 Albacete;Residentes en España;Total;1,72
02 Albacete;Residentes en España;Enero;1,64
02 Albacete;Residentes en España;Febrero;1,64
02 Albacete;Residentes en España;Marzo;1,65
02 Albacete;Residentes en España;Abril;1,57
02 Albacete;Residentes en España;Mayo;1,52
02 Albacete;Residentes en España;Junio;1,55
02 Albacete;Residentes en España;Julio;1,78
02 Albacete;Residentes en España;Agosto;1,89
02 Albacete;Residentes en España;Septiembre;1,79
02 Albacete;Residentes en España;Octubre;1,85
02 Albacete;Residentes en España;Noviembre;1,73
02 Albacete;Residentes en España;Diciembre;1,64
02 Albacete;No residentes en España;Total;2,12
02 Albacete;No residentes en España;Enero;1,85
02 Albacete;No residentes en España;Febrero;2,16
02 Albacete;No residentes en España;Marzo;2,06
02 Albacete;No residentes en España;Abril;1,83
02 Albacete;No residentes en España;Mayo;1,99
02 Albacete;No residentes en España;Junio;2,24
02 Albacete;No residentes en España;Julio;2,08
02 Albacete;No residentes en España;Agosto;1,81
02 Albacete;No residentes en España;Septiembre;2,28
02 Albacete;No residentes en España;Octubre;1,69
02 Albacete;No residentes en España;Noviembre;2,63
02 Albacete;No residentes en España;Diciembre;2,54
03 Alicante/Alacant;Total;Total;3,07
03 Alicante/Alacant;Total;Enero;2,19
03 Alicante/Alacant;Total;Febrero;2,00
03 Alicante/Alacant;Total;Marzo;1,84
03 Alicante/Alacant;Total;Abril;1,85
03 Alicante/Alacant;Total;Mayo;2,04
03 Alicante/Alacant;Total;Junio;2,68
03 Alicante/Alacant;Total;Julio;3,21
03 Alicante/Alacant;Total;Agosto;3,55
03 Alicante/Alacant;Total;Septiembre;3,48
03 Alicante/Alacant;Total;Octubre;3,43
03 Alicante/Alacant;Total;Noviembre;3,11
03 Alicante/Alacant;Total;Diciembre;2,71
03 Alicante/Alacant;Residentes en España;Total;2,83
03 Alicante/Alacant;Residentes en España;Enero;1,87
03 Alicante/Alacant;Residentes en España;Febrero;1,85
03 Alicante/Alacant;Residentes en España;Marzo;1,77
03 Alicante/Alacant;Residentes en España;Abril;1,78
03 Alicante/Alacant;Residentes en España;Mayo;1,90
03 Alicante/Alacant;Residentes en España;Junio;2,64
03 Alicante/Alacant;Residentes en España;Julio;3,17
03 Alicante/Alacant;Residentes en España;Agosto;3,49
03 Alicante/Alacant;Residentes en España;Septiembre;3,23
03 Alicante/Alacant;Residentes en España;Octubre;2,97
03 Alicante/Alacant;Residentes en España;Noviembre;2,32
03 Alicante/Alacant;Residentes en España;Diciembre;2,20
03 Alicante/Alacant;No residentes en España;Total;3,70
03 Alicante/Alacant;No residentes en España;Enero;3,26
03 Alicante/Alacant;No residentes en España;Febrero;2,72
03 Alicante/Alacant;No residentes en España;Marzo;2,21
03 Alicante/Alacant;No residentes en España;Abril;2,29
03 Alicante/Alacant;No residentes en España;Mayo;2,68
03 Alicante/Alacant;No residentes en España;Junio;2,84
03 Alicante/Alacant;No residentes en España;Julio;3,36
03 Alicante/Alacant;No residentes en España;Agosto;3,73
03 Alicante/Alacant;No residentes en España;Septiembre;3,98
03 Alicante/Alacant;No residentes en España;Octubre;4,08
03 Alicante/Alacant;No residentes en España;Noviembre;4,16
03 Alicante/Alacant;No residentes en España;Diciembre;3,77
04 Almería;Total;Total;3,17
04 Almería;Total;Enero;1,91
04 Almería;Total;Febrero;1,81
04 Almería;Total;Marzo;1,75
04 Almería;Total;Abril;1,81
04 Almería;Total;Mayo;1,83
04 Almería;Total;Junio;2,67
04 Almería;Total;Julio;3,78
04 Almería;Total;Agosto;3,86
04 Almería;Total;Septiembre;3,46
04 Almería;Total;Octubre;2,81
04 Almería;Total;Noviembre;2,18
04 Almería;Total;Diciembre;2,14
04 Almería;Residentes en España;Total;3,12
04 Almería;Residentes en España;Enero;1,89
04 Almería;Residentes en España;Febrero;1,78
04 Almería;Residentes en España;Marzo;1,68
04 Almería;Residentes en España;Abril;1,70
04 Almería;Residentes en España;Mayo;1,77
04 Almería;Residentes en España;Junio;2,66
04 Almería;Residentes en España;Julio;3,77
04 Almería;Residentes en España;Agosto;3,85
04 Almería;Residentes en España;Septiembre;3,34
04 Almería;Residentes en España;Octubre;2,41
04 Almería;Residentes en España;Noviembre;1,77
04 Almería;Residentes en España;Diciembre;1,98
04 Almería;No residentes en España;Total;3,53
04 Almería;No residentes en España;Enero;2,01
