Provincias;Residencia;Meses;Total
Balears, Illes;Residentes en España;Enero;2,42
Balears, Illes;Residentes en España;Febrero;3,13
Balears, Illes;Residentes en España;Marzo;3,90
Balears, Illes;Residentes en España;Abril;3,62
Balears, Illes;Residentes en España;Mayo;3,86
Balears, Illes;Residentes en España;Junio;3,72
Balears, Illes;Residentes en España;Julio;4,28
Balears, Illes;Residentes en España;Agosto;4,71
Balears, Illes;Residentes en España;Septiembre;3,93
Balears, Illes;Residentes en España;Octubre;3,54
Balears, Illes;Residentes en España;Noviembre;3,08
Balears, Illes;Residentes en España;Diciembre;2,26
Balears, Illes;No residentes en España;Enero;5,41
Balears, Illes;No residentes en España;Febrero;5,12
Balears, Illes;No residentes en España;Marzo;5,61
Balears, Illes;No residentes en España;Abril;5,45
Balears, Illes;No residentes en España;Mayo;5,70
Balears, Illes;No residentes en España;Junio;6,23
Balears, Illes;No residentes en España;Julio;6,37
Balears, Illes;No residentes en España;Agosto;6,43
Balears, Illes;No residentes en España;Septiembre;6,40
Balears, Illes;No residentes en España;Octubre;6,93
Balears, Illes;No residentes en España;Noviembre;5,30
Balears, Illes;No residentes en España;Diciembre;4,24
Barcelona;Residentes en España;Enero;1,82
Barcelona;Residentes en España;Febrero;1,77
Barcelona;Residentes en España;Marzo;2,07
Barcelona;Residentes en España;Abril;2,01
Barcelona;Residentes en España;Mayo;1,88
Barcelona;Residentes en España;Junio;1,93
Barcelona;Residentes en España;Julio;2,08
Barcelona;Residentes en España;Agosto;2,34
Barcelona;Residentes en España;Septiembre;1,94
Barcelona;Residentes en España;Octubre;1,89
Barcelona;Residentes en España;Noviembre;1,85
Barcelona;Residentes en España;Diciembre;1,86
Barcelona;No residentes en España;Enero;2,68
Barcelona;No residentes en España;Febrero;2,66
Barcelona;No residentes en España;Marzo;2,73
Barcelona;No residentes en España;Abril;2,75
Barcelona;No residentes en España;Mayo;2,86
Barcelona;No residentes en España;Junio;2,94
Barcelona;No residentes en España;Julio;3,22
Barcelona;No residentes en España;Agosto;3,46
Barcelona;No residentes en España;Septiembre;3,19
Barcelona;No residentes en España;Octubre;2,83
Barcelona;No residentes en España;Noviembre;2,58
Barcelona;No residentes en España;Diciembre;2,66
Girona;Residentes en España;Enero;2,20
Girona;Residentes en España;Febrero;1,78
