Provincias;País de residencia;Meses;Total
02 Albacete;Total;Total;285.989
02 Albacete;Total;Enero;8.506
02 Albacete;Total;Febrero;9.865
02 Albacete;Total;Marzo;16.575
02 Albacete;Total;Abril;16.790
02 Albacete;Total;Mayo;22.722
02 Albacete;Total;Junio;27.296
02 Albacete;Total;Julio;30.812
02 Albacete;Total;Agosto;35.304
02 Albacete;Total;Septiembre;32.498
02 Albacete;Total;Octubre;35.233
02 Albacete;Total;Noviembre;26.578
02 Albacete;Total;Diciembre;23.810
02 Albacete;Residentes en España;Total;264.371
02 Albacete;Residentes en España;Enero;7.883
02 Albacete;Residentes en España;Febrero;9.074
02 Albacete;Residentes en España;Marzo;15.592
02 Albacete;Residentes en España;Abril;15.841
02 Albacete;Residentes en España;Mayo;21.033
02 Albacete;Residentes en España;Junio;25.515
02 Albacete;Residentes en España;Julio;28.908
02 Albacete;Residentes en España;Agosto;32.897
02 Albacete;Residentes en España;Septiembre;29.538
02 Albacete;Residentes en España;Octubre;32.249
02 Albacete;Residentes en España;Noviembre;23.843
02 Albacete;Residentes en España;Diciembre;21.998
02 Albacete;No residentes en España;Total;21.618
02 Albacete;No residentes en España;Enero;624
02 Albacete;No residentes en España;Febrero;791
02 Albacete;No residentes en España;Marzo;983
02 Albacete;No residentes en España;Abril;949
02 Albacete;No residentes en España;Mayo;1.689
02 Albacete;No residentes en España;Junio;1.781
02 Albacete;No residentes en España;Julio;1.904
02 Albacete;No residentes en España;Agosto;2.407
02 Albacete;No residentes en España;Septiembre;2.961
02 Albacete;No residentes en España;Octubre;2.984
02 Albacete;No residentes en España;Noviembre;2.735
02 Albacete;No residentes en España;Diciembre;1.812
02 Albacete;Unión Europea 27 (sin España);Total;10.786
02 Albacete;Unión Europea 27 (sin España);Enero;201
02 Albacete;Unión Europea 27 (sin España);Febrero;271
02 Albacete;Unión Europea 27 (sin España);Marzo;496
02 Albacete;Unión Europea 27 (sin España);Abril;410
02 Albacete;Unión Europea 27 (sin España);Mayo;786
02 Albacete;Unión Europea 27 (sin España);Junio;850
02 Albacete;Unión Europea 27 (sin España);Julio;960
02 Albacete;Unión Europea 27 (sin España);Agosto;1.360
02 Albacete;Unión Europea 27 (sin España);Septiembre;1.681
02 Albacete;Unión Europea 27 (sin España);Octubre;1.464
02 Albacete;Unión Europea 27 (sin España);Noviembre;1.568
02 Albacete;Unión Europea 27 (sin España);Diciembre;740
02 Albacete;Alemania;Total;1.296
02 Albacete;Alemania;Enero;..
02 Albacete;Alemania;Febrero;..
