Provincias;País de residencia;Meses;Total
07 Balears, Illes;Residentes en España;Enero;8.309
07 Balears, Illes;Residentes en España;Febrero;10.810
07 Balears, Illes;Residentes en España;Marzo;15.381
07 Balears, Illes;Residentes en España;Abril;26.370
07 Balears, Illes;Residentes en España;Mayo;59.370
07 Balears, Illes;Residentes en España;Junio;172.410
07 Balears, Illes;Residentes en España;Julio;217.216
07 Balears, Illes;Residentes en España;Agosto;281.919
07 Balears, Illes;Residentes en España;Septiembre;181.723
07 Balears, Illes;Residentes en España;Octubre;141.008
07 Balears, Illes;Residentes en España;Noviembre;33.690
07 Balears, Illes;Residentes en España;Diciembre;27.267
07 Balears, Illes;Alemania;Enero;525
07 Balears, Illes;Alemania;Febrero;900
07 Balears, Illes;Alemania;Marzo;10.445
07 Balears, Illes;Alemania;Abril;27.707
07 Balears, Illes;Alemania;Mayo;89.428
07 Balears, Illes;Alemania;Junio;187.098
07 Balears, Illes;Alemania;Julio;249.759
07 Balears, Illes;Alemania;Agosto;222.141
07 Balears, Illes;Alemania;Septiembre;289.742
07 Balears, Illes;Alemania;Octubre;257.737
07 Balears, Illes;Alemania;Noviembre;25.236
07 Balears, Illes;Alemania;Diciembre;13.570
07 Balears, Illes;Austria;Enero;135
07 Balears, Illes;Austria;Febrero;90
07 Balears, Illes;Austria;Marzo;439
07 Balears, Illes;Austria;Abril;1.176
07 Balears, Illes;Austria;Mayo;1.664
07 Balears, Illes;Austria;Junio;6.634
07 Balears, Illes;Austria;Julio;13.061
07 Balears, Illes;Austria;Agosto;14.967
07 Balears, Illes;Austria;Septiembre;12.164
07 Balears, Illes;Austria;Octubre;9.117
07 Balears, Illes;Austria;Noviembre;952
07 Balears, Illes;Austria;Diciembre;1.062
07 Balears, Illes;Bélgica;Enero;44
07 Balears, Illes;Bélgica;Febrero;40
07 Balears, Illes;Bélgica;Marzo;52
07 Balears, Illes;Bélgica;Abril;941
07 Balears, Illes;Bélgica;Mayo;7.288
07 Balears, Illes;Bélgica;Junio;11.435
07 Balears, Illes;Bélgica;Julio;18.392
07 Balears, Illes;Bélgica;Agosto;21.502
07 Balears, Illes;Bélgica;Septiembre;22.192
07 Balears, Illes;Bélgica;Octubre;9.603
07 Balears, Illes;Bélgica;Noviembre;1.104
07 Balears, Illes;Bélgica;Diciembre;334
07 Balears, Illes;Dinamarca;Enero;21
07 Balears, Illes;Dinamarca;Febrero;17
07 Balears, Illes;Dinamarca;Marzo;95
07 Balears, Illes;Dinamarca;Abril;250
07 Balears, Illes;Dinamarca;Mayo;1.331
07 Balears, Illes;Dinamarca;Junio;13.068
07 Balears, Illes;Dinamarca;Julio;30.354
07 Balears, Illes;Dinamarca;Agosto;17.491
07 Balears, Illes;Dinamarca;Septiembre;15.875
07 Balears, Illes;Dinamarca;Octubre;13.022
07 Balears, Illes;Dinamarca;Noviembre;373
07 Balears, Illes;Dinamarca;Diciembre;221
07 Balears, Illes;Finlandia;Enero;..
07 Balears, Illes;Finlandia;Febrero;..
