Provincias de destino;Procedencia de los viajeros;Meses;Total
02 Albacete;Total;Total;2,94
02 Albacete;Total;Enero;29,29
02 Albacete;Total;Febrero;7,26
02 Albacete;Total;Marzo;3,05
02 Albacete;Total;Abril;2,71
02 Albacete;Total;Mayo;2,34
02 Albacete;Total;Junio;2,18
02 Albacete;Total;Julio;3,20
02 Albacete;Total;Agosto;4,08
02 Albacete;Total;Septiembre;2,70
02 Albacete;Total;Octubre;2,42
02 Albacete;Total;Noviembre;2,36
02 Albacete;Total;Diciembre;2,57
02 Albacete;Residentes en España;Total;2,91
02 Albacete;Residentes en España;Enero;29,29
02 Albacete;Residentes en España;Febrero;7,26
02 Albacete;Residentes en España;Marzo;2,49
02 Albacete;Residentes en España;Abril;2,71
02 Albacete;Residentes en España;Mayo;2,35
02 Albacete;Residentes en España;Junio;2,18
02 Albacete;Residentes en España;Julio;3,20
02 Albacete;Residentes en España;Agosto;4,03
02 Albacete;Residentes en España;Septiembre;2,70
02 Albacete;Residentes en España;Octubre;2,42
02 Albacete;Residentes en España;Noviembre;2,37
02 Albacete;Residentes en España;Diciembre;2,57
02 Albacete;No Residentes en España;Total;9,86
02 Albacete;No Residentes en España;Enero;0,00
02 Albacete;No Residentes en España;Febrero;0,00
02 Albacete;No Residentes en España;Marzo;29,59
02 Albacete;No Residentes en España;Abril;0,00
02 Albacete;No Residentes en España;Mayo;1,00
02 Albacete;No Residentes en España;Junio;0,00
02 Albacete;No Residentes en España;Julio;2,00
02 Albacete;No Residentes en España;Agosto;14,18
02 Albacete;No Residentes en España;Septiembre;1,13
02 Albacete;No Residentes en España;Octubre;2,52
02 Albacete;No Residentes en España;Noviembre;1,24
02 Albacete;No Residentes en España;Diciembre;4,00
03 Alicante/Alacant;Total;Total;2,78
03 Alicante/Alacant;Total;Enero;2,61
03 Alicante/Alacant;Total;Febrero;3,15
03 Alicante/Alacant;Total;Marzo;2,37
03 Alicante/Alacant;Total;Abril;2,16
03 Alicante/Alacant;Total;Mayo;2,27
03 Alicante/Alacant;Total;Junio;2,67
03 Alicante/Alacant;Total;Julio;3,46
03 Alicante/Alacant;Total;Agosto;3,91
03 Alicante/Alacant;Total;Septiembre;2,35
03 Alicante/Alacant;Total;Octubre;2,48
03 Alicante/Alacant;Total;Noviembre;2,36
03 Alicante/Alacant;Total;Diciembre;2,56
03 Alicante/Alacant;Residentes en España;Total;2,66
03 Alicante/Alacant;Residentes en España;Enero;2,58
03 Alicante/Alacant;Residentes en España;Febrero;3,17
03 Alicante/Alacant;Residentes en España;Marzo;2,38
03 Alicante/Alacant;Residentes en España;Abril;2,17
03 Alicante/Alacant;Residentes en España;Mayo;2,22
03 Alicante/Alacant;Residentes en España;Junio;2,77
