Provincias de destino;Procedencia de los viajeros;Meses;Total
02 Albacete;Total;Total;63.128
02 Albacete;Total;Enero;84
02 Albacete;Total;Febrero;295
02 Albacete;Total;Marzo;1.985
02 Albacete;Total;Abril;2.873
02 Albacete;Total;Mayo;3.612
02 Albacete;Total;Junio;5.550
02 Albacete;Total;Julio;9.283
02 Albacete;Total;Agosto;11.131
02 Albacete;Total;Septiembre;6.359
02 Albacete;Total;Octubre;8.328
02 Albacete;Total;Noviembre;5.494
02 Albacete;Total;Diciembre;8.136
02 Albacete;Residentes en España;Total;62.894
02 Albacete;Residentes en España;Enero;84
02 Albacete;Residentes en España;Febrero;295
02 Albacete;Residentes en España;Marzo;1.944
02 Albacete;Residentes en España;Abril;2.873
02 Albacete;Residentes en España;Mayo;3.593
02 Albacete;Residentes en España;Junio;5.550
02 Albacete;Residentes en España;Julio;9.281
02 Albacete;Residentes en España;Agosto;11.070
02 Albacete;Residentes en España;Septiembre;6.343
02 Albacete;Residentes en España;Octubre;8.277
02 Albacete;Residentes en España;Noviembre;5.451
02 Albacete;Residentes en España;Diciembre;8.134
02 Albacete;No Residentes;Total;234
02 Albacete;No Residentes;Enero;0
02 Albacete;No Residentes;Febrero;0
02 Albacete;No Residentes;Marzo;41
02 Albacete;No Residentes;Abril;0
02 Albacete;No Residentes;Mayo;20
02 Albacete;No Residentes;Junio;0
02 Albacete;No Residentes;Julio;2
02 Albacete;No Residentes;Agosto;61
02 Albacete;No Residentes;Septiembre;16
02 Albacete;No Residentes;Octubre;50
02 Albacete;No Residentes;Noviembre;42
02 Albacete;No Residentes;Diciembre;2
03 Alicante/Alacant;Total;Total;34.486
03 Alicante/Alacant;Total;Enero;991
03 Alicante/Alacant;Total;Febrero;700
03 Alicante/Alacant;Total;Marzo;2.098
03 Alicante/Alacant;Total;Abril;3.245
03 Alicante/Alacant;Total;Mayo;2.124
03 Alicante/Alacant;Total;Junio;3.337
03 Alicante/Alacant;Total;Julio;4.239
03 Alicante/Alacant;Total;Agosto;4.961
03 Alicante/Alacant;Total;Septiembre;3.301
03 Alicante/Alacant;Total;Octubre;3.332
03 Alicante/Alacant;Total;Noviembre;2.777
03 Alicante/Alacant;Total;Diciembre;3.380
03 Alicante/Alacant;Residentes en España;Total;30.875
03 Alicante/Alacant;Residentes en España;Enero;978
03 Alicante/Alacant;Residentes en España;Febrero;662
03 Alicante/Alacant;Residentes en España;Marzo;1.995
03 Alicante/Alacant;Residentes en España;Abril;3.129
03 Alicante/Alacant;Residentes en España;Mayo;1.982
03 Alicante/Alacant;Residentes en España;Junio;3.007
03 Alicante/Alacant;Residentes en España;Julio;3.717
03 Alicante/Alacant;Residentes en España;Agosto;4.555
03 Alicante/Alacant;Residentes en España;Septiembre;2.554
03 Alicante/Alacant;Residentes en España;Octubre;2.778
03 Alicante/Alacant;Residentes en España;Noviembre;2.338
03 Alicante/Alacant;Residentes en España;Diciembre;3.180
03 Alicante/Alacant;No Residentes;Total;3.611
03 Alicante/Alacant;No Residentes;Enero;13
03 Alicante/Alacant;No Residentes;Febrero;38
03 Alicante/Alacant;No Residentes;Marzo;103
03 Alicante/Alacant;No Residentes;Abril;117
03 Alicante/Alacant;No Residentes;Mayo;142
03 Alicante/Alacant;No Residentes;Junio;330
03 Alicante/Alacant;No Residentes;Julio;522
03 Alicante/Alacant;No Residentes;Agosto;406
03 Alicante/Alacant;No Residentes;Septiembre;747
03 Alicante/Alacant;No Residentes;Octubre;555
03 Alicante/Alacant;No Residentes;Noviembre;439
03 Alicante/Alacant;No Residentes;Diciembre;199
04 Almería;Total;Total;18.409
04 Almería;Total;Enero;156
04 Almería;Total;Febrero;60
04 Almería;Total;Marzo;241
04 Almería;Total;Abril;433
04 Almería;Total;Mayo;932
04 Almería;Total;Junio;2.183
04 Almería;Total;Julio;3.654
04 Almería;Total;Agosto;4.193
04 Almería;Total;Septiembre;2.058
04 Almería;Total;Octubre;1.637
04 Almería;Total;Noviembre;1.106
04 Almería;Total;Diciembre;1.755
04 Almería;Residentes en España;Total;14.693
04 Almería;Residentes en España;Enero;103
04 Almería;Residentes en España;Febrero;35
04 Almería;Residentes en España;Marzo;197
04 Almería;Residentes en España;Abril;378
04 Almería;Residentes en España;Mayo;618
04 Almería;Residentes en España;Junio;1.907
04 Almería;Residentes en España;Julio;2.924
04 Almería;Residentes en España;Agosto;3.689
04 Almería;Residentes en España;Septiembre;1.613
04 Almería;Residentes en España;Octubre;1.053
04 Almería;Residentes en España;Noviembre;920
04 Almería;Residentes en España;Diciembre;1.257
04 Almería;No Residentes;Total;3.716
04 Almería;No Residentes;Enero;53
04 Almería;No Residentes;Febrero;25
04 Almería;No Residentes;Marzo;44
04 Almería;No Residentes;Abril;55
04 Almería;No Residentes;Mayo;314
04 Almería;No Residentes;Junio;276
04 Almería;No Residentes;Julio;730
04 Almería;No Residentes;Agosto;504
04 Almería;No Residentes;Septiembre;445
04 Almería;No Residentes;Octubre;585
04 Almería;No Residentes;Noviembre;187
04 Almería;No Residentes;Diciembre;498
01 Araba/Álava;Total;Total;26.536
01 Araba/Álava;Total;Enero;196
01 Araba/Álava;Total;Febrero;113
01 Araba/Álava;Total;Marzo;866
01 Araba/Álava;Total;Abril;1.450
01 Araba/Álava;Total;Mayo;1.200
01 Araba/Álava;Total;Junio;2.396
01 Araba/Álava;Total;Julio;3.980
01 Araba/Álava;Total;Agosto;4.330
01 Araba/Álava;Total;Septiembre;3.054
01 Araba/Álava;Total;Octubre;3.988
01 Araba/Álava;Total;Noviembre;2.595
01 Araba/Álava;Total;Diciembre;2.369
01 Araba/Álava;Residentes en España;Total;25.310
01 Araba/Álava;Residentes en España;Enero;191
01 Araba/Álava;Residentes en España;Febrero;109
01 Araba/Álava;Residentes en España;Marzo;860
01 Araba/Álava;Residentes en España;Abril;1.448
01 Araba/Álava;Residentes en España;Mayo;1.179
01 Araba/Álava;Residentes en España;Junio;2.324
01 Araba/Álava;Residentes en España;Julio;3.782
01 Araba/Álava;Residentes en España;Agosto;4.075
01 Araba/Álava;Residentes en España;Septiembre;2.828
01 Araba/Álava;Residentes en España;Octubre;3.764
01 Araba/Álava;Residentes en España;Noviembre;2.458
01 Araba/Álava;Residentes en España;Diciembre;2.292
01 Araba/Álava;No Residentes;Total;1.226
01 Araba/Álava;No Residentes;Enero;5
01 Araba/Álava;No Residentes;Febrero;3
01 Araba/Álava;No Residentes;Marzo;5
01 Araba/Álava;No Residentes;Abril;2
01 Araba/Álava;No Residentes;Mayo;21
01 Araba/Álava;No Residentes;Junio;72
01 Araba/Álava;No Residentes;Julio;199
01 Araba/Álava;No Residentes;Agosto;255
01 Araba/Álava;No Residentes;Septiembre;226
01 Araba/Álava;No Residentes;Octubre;224
01 Araba/Álava;No Residentes;Noviembre;136
01 Araba/Álava;No Residentes;Diciembre;77
33 Asturias;Total;Total;246.156
33 Asturias;Total;Enero;264
33 Asturias;Total;Febrero;232
33 Asturias;Total;Marzo;414
33 Asturias;Total;Abril;1.912
33 Asturias;Total;Mayo;10.687
33 Asturias;Total;Junio;25.677
33 Asturias;Total;Julio;50.558
33 Asturias;Total;Agosto;63.986
33 Asturias;Total;Septiembre;36.473
33 Asturias;Total;Octubre;29.509
33 Asturias;Total;Noviembre;10.323
33 Asturias;Total;Diciembre;16.122
33 Asturias;Residentes en España;Total;233.240
33 Asturias;Residentes en España;Enero;254
33 Asturias;Residentes en España;Febrero;222
33 Asturias;Residentes en España;Marzo;404
33 Asturias;Residentes en España;Abril;1.892
33 Asturias;Residentes en España;Mayo;10.270
33 Asturias;Residentes en España;Junio;24.338
33 Asturias;Residentes en España;Julio;48.136
33 Asturias;Residentes en España;Agosto;61.157
33 Asturias;Residentes en España;Septiembre;33.965
33 Asturias;Residentes en España;Octubre;27.310
33 Asturias;Residentes en España;Noviembre;9.756
33 Asturias;Residentes en España;Diciembre;15.535
33 Asturias;No Residentes;Total;12.917
