año,mes,tipo_acomodacion,provincia,pais_residencia,pernoctaciones,total_viajeros
2018,Abril,hoteles,Islas Baleares,España,3.96,94236.0
2018,Abril,hoteles,Islas Baleares,No residentes en España,5.35,0.0
2018,Abril,apartamentos,Islas Baleares,España,5.55,17719.0
2018,Abril,apartamentos,Islas Baleares,Alemania,5.55,78892.0
2018,Abril,apartamentos,Islas Baleares,Austria,5.55,1173.0
2018,Abril,apartamentos,Islas Baleares,Bélgica,5.55,2266.0
2018,Abril,apartamentos,Islas Baleares,Dinamarca,5.55,7838.0
2018,Abril,apartamentos,Islas Baleares,Finlandia,5.55,3054.0
2018,Abril,apartamentos,Islas Baleares,Francia,5.55,6864.0
2018,Abril,apartamentos,Islas Baleares,Grecia,5.55,0.0
2018,Abril,apartamentos,Islas Baleares,Irlanda,5.55,11139.0
2018,Abril,apartamentos,Islas Baleares,Italia,5.55,5261.0
2018,Abril,apartamentos,Islas Baleares,Luxemburgo,5.55,0.0
2018,Abril,apartamentos,Islas Baleares,Países Bajos,5.55,8063.0
2018,Abril,apartamentos,Islas Baleares,Polonia,5.55,6605.0
2018,Abril,apartamentos,Islas Baleares,Portugal,5.55,1185.0
2018,Abril,apartamentos,Islas Baleares,Reino Unido,5.55,101202.0
2018,Abril,apartamentos,Islas Baleares,República Checa,5.55,542.0
2018,Abril,apartamentos,Islas Baleares,Suecia,5.55,12400.0
2018,Abril,apartamentos,Islas Baleares,Resto de la UE,5.55,4194.0
2018,Abril,apartamentos,Islas Baleares,Noruega,5.55,3232.0
2018,Abril,apartamentos,Islas Baleares,Rusia,5.55,369.0
2018,Abril,apartamentos,Islas Baleares,Suiza,5.55,4889.0
2018,Abril,apartamentos,Islas Baleares,Resto de Europa,5.55,1043.0
2018,Abril,apartamentos,Islas Baleares,Estados Unidos,5.55,1814.0
2018,Abril,apartamentos,Islas Baleares,Resto de América,5.55,1306.0
2018,Abril,apartamentos,Islas Baleares,Países africanos,5.55,451.0
2018,Abril,apartamentos,Islas Baleares,Resto del mundo,5.55,3218.0
2018,Agosto,hoteles,Islas Baleares,España,4.58,188843.0
2018,Agosto,hoteles,Islas Baleares,No residentes en España,6.57,0.0
2018,Agosto,apartamentos,Islas Baleares,España,7.18,235826.0
2018,Agosto,apartamentos,Islas Baleares,Alemania,7.18,269100.0
2018,Agosto,apartamentos,Islas Baleares,Austria,7.18,10495.0
2018,Agosto,apartamentos,Islas Baleares,Bélgica,7.18,11065.0
2018,Agosto,apartamentos,Islas Baleares,Dinamarca,7.18,35414.0
2018,Agosto,apartamentos,Islas Baleares,Finlandia,7.18,6129.0
2018,Agosto,apartamentos,Islas Baleares,Francia,7.18,101554.0
2018,Agosto,apartamentos,Islas Baleares,Grecia,7.18,1453.0
2018,Agosto,apartamentos,Islas Baleares,Irlanda,7.18,46387.0
2018,Agosto,apartamentos,Islas Baleares,Italia,7.18,215399.0
2018,Agosto,apartamentos,Islas Baleares,Luxemburgo,7.18,1631.0
