apartment_id,grupo_valoracion
11964,Excelentes (9-10)
21853,Excelentes (9-10)
32347,Excelentes (9-10)
35379,Excelentes (9-10)
35801,Excelentes (9-10)
48764,Excelentes (9-10)
58512,Notables (7-9)
71603,Excelentes (9-10)
72150,Excelentes (9-10)
73683,Excelentes (9-10)
73692,Notables (7-9)
79755,Excelentes (9-10)
89756,Notables (7-9)
89776,Excelentes (9-10)
89954,Excelentes (9-10)
96807,Excelentes (9-10)
103386,Excelentes (9-10)
107437,Excelentes (9-10)
121210,Notables (7-9)
128463,Excelentes (9-10)
131987,Excelentes (9-10)
144471,Notables (7-9)
158238,Notables (7-9)
164621,Excelentes (9-10)
170750,Notables (7-9)
176827,Notables (7-9)
178456,Notables (7-9)
183346,Notables (7-9)
186221,Notables (7-9)
193923,Excelentes (9-10)
206846,Excelentes (9-10)
210156,Excelentes (9-10)
213296,Notables (7-9)
214970,Excelentes (9-10)
222753,Notables (7-9)
255195,Notables (7-9)
265647,Excelentes (9-10)
279439,Excelentes (9-10)
305213,Excelentes (9-10)
314781,Excelentes (9-10)
318826,Excelentes (9-10)
323679,Notables (7-9)
326464,Excelentes (9-10)
330723,Excelentes (9-10)
336795,Notables (7-9)
342557,Excelentes (9-10)
343864,Excelentes (9-10)
352772,Excelentes (9-10)
353713,Excelentes (9-10)
354838,Excelentes (9-10)
363601,Notables (7-9)
365911,Excelentes (9-10)
374558,Notables (7-9)
376232,Excelentes (9-10)
377455,Notables (7-9)
378998,Insuficiente Bajo (0-3)
384063,Notables (7-9)
384727,Excelentes (9-10)
398377,Excelentes (9-10)
402588,Excelentes (9-10)
403446,Excelentes (9-10)
403669,Excelentes (9-10)
417814,Excelentes (9-10)
417879,Excelentes (9-10)
422454,Excelentes (9-10)
424026,Notables (7-9)
425639,Excelentes (9-10)
426401,Excelentes (9-10)
434195,Excelentes (9-10)
435010,Excelentes (9-10)
443909,Excelentes (9-10)
449218,Excelentes (9-10)
459265,Excelentes (9-10)
461943,Excelentes (9-10)
468202,Excelentes (9-10)
468902,Excelentes (9-10)
468912,Excelentes (9-10)
471669,Notables (7-9)
472062,Excelentes (9-10)
478923,Excelentes (9-10)
487818,Excelentes (9-10)
494480,Excelentes (9-10)
503253,Notables (7-9)
504653,Excelentes (9-10)
507972,Excelentes (9-10)
512737,Excelentes (9-10)
514572,Excelentes (9-10)
517407,Notables (7-9)
519393,Notables (7-9)
519631,Excelentes (9-10)
526513,Excelentes (9-10)
533450,Notables (7-9)
538938,Excelentes (9-10)
542639,Notables (7-9)
544995,Excelentes (9-10)
551339,Insuficiente Bajo (0-3)
551378,Notables (7-9)
558778,Notables (7-9)
565758,Excelentes (9-10)
566869,Excelentes (9-10)
568432,Excelentes (9-10)
576046,Notables (7-9)
576550,Notables (7-9)
582364,Excelentes (9-10)
584209,Excelentes (9-10)
584735,Excelentes (9-10)
587203,Excelentes (9-10)
590032,Notables (7-9)
590710,Excelentes (9-10)
590991,Excelentes (9-10)
595055,Excelentes (9-10)
600590,Excelentes (9-10)
602284,Excelentes (9-10)
605186,Excelentes (9-10)
609522,Notables (7-9)
610246,Excelentes (9-10)
616027,Excelentes (9-10)
625566,Excelentes (9-10)
626625,Suficientes (5-7)
629087,Notables (7-9)
630599,Excelentes (9-10)
631196,Excelentes (9-10)
633762,Excelentes (9-10)
634786,Notables (7-9)
636974,Excelentes (9-10)
638009,Excelentes (9-10)
640268,Excelentes (9-10)
649342,Excelentes (9-10)
656520,Excelentes (9-10)
657565,Insuficiente Bajo (0-3)
657794,Notables (7-9)
661655,Notables (7-9)
670956,Excelentes (9-10)
671241,Excelentes (9-10)
675175,Insuficiente Bajo (0-3)
679547,Excelentes (9-10)
679664,Excelentes (9-10)
681925,Excelentes (9-10)
684564,Excelentes (9-10)
684613,Excelentes (9-10)
685152,Notables (7-9)
688462,Excelentes (9-10)
688795,Excelentes (9-10)
691152,Notables (7-9)
694867,Excelentes (9-10)
702998,Excelentes (9-10)
711976,Excelentes (9-10)
714696,Excelentes (9-10)
715036,Notables (7-9)
717300,Excelentes (9-10)
717710,Notables (7-9)
718469,Excelentes (9-10)
723935,Excelentes (9-10)
724177,Notables (7-9)
725659,Excelentes (9-10)
725695,Excelentes (9-10)
727788,Excelentes (9-10)
735157,Notables (7-9)
737169,Insuficiente Bajo (0-3)
738837,Excelentes (9-10)
739253,Excelentes (9-10)
746847,Excelentes (9-10)
749397,Excelentes (9-10)
751527,Excelentes (9-10)
753119,Excelentes (9-10)
754512,Excelentes (9-10)
754678,Excelentes (9-10)
756707,Excelentes (9-10)
756944,Notables (7-9)
757149,Excelentes (9-10)
759016,Excelentes (9-10)
759035,Notables (7-9)
759577,Excelentes (9-10)
761744,Notables (7-9)
762701,Excelentes (9-10)
763176,Excelentes (9-10)
767234,Excelentes (9-10)
767631,Notables (7-9)
770453,Excelentes (9-10)
773886,Excelentes (9-10)
774356,Insuficiente Bajo (0-3)
776038,Excelentes (9-10)
776174,Excelentes (9-10)
777527,Notables (7-9)
779960,Excelentes (9-10)
783360,Excelentes (9-10)
790404,Notables (7-9)
790649,Excelentes (9-10)
791717,Notables (7-9)
810373,Excelentes (9-10)
814174,Excelentes (9-10)
814226,Notables (7-9)
824609,Excelentes (9-10)
829660,Excelentes (9-10)
842078,Excelentes (9-10)
842286,Excelentes (9-10)
842566,Excelentes (9-10)
847195,Notables (7-9)
847735,Notables (7-9)
848081,Excelentes (9-10)
848480,Excelentes (9-10)
850228,Excelentes (9-10)
853804,Excelentes (9-10)
862752,Excelentes (9-10)
865367,Notables (7-9)
865387,Excelentes (9-10)
868198,Notables (7-9)
868776,Notables (7-9)
872116,Excelentes (9-10)
873131,Notables (7-9)
876501,Notables (7-9)
877183,Notables (7-9)
879442,Excelentes (9-10)
886289,Excelentes (9-10)
886569,Excelentes (9-10)
888635,Insuficiente Bajo (0-3)
893052,Notables (7-9)
893177,Insuficiente Bajo (0-3)
896209,Excelentes (9-10)
896291,Excelentes (9-10)
898135,Notables (7-9)
899254,Notables (7-9)
900003,Excelentes (9-10)
903380,Excelentes (9-10)
903513,Excelentes (9-10)
903712,Excelentes (9-10)
904862,Excelentes (9-10)
904946,Notables (7-9)
913536,Excelentes (9-10)
913541,Excelentes (9-10)
923140,Excelentes (9-10)
924449,Excelentes (9-10)
924771,Excelentes (9-10)
927430,Notables (7-9)
928401,Notables (7-9)
931437,Excelentes (9-10)
933625,Notables (7-9)
935081,Notables (7-9)
935836,Excelentes (9-10)
936781,Excelentes (9-10)
936871,Excelentes (9-10)
939437,Excelentes (9-10)
942693,Notables (7-9)
943200,Excelentes (9-10)
947269,Notables (7-9)
951364,Notables (7-9)
952327,Excelentes (9-10)
954437,Excelentes (9-10)
954903,Insuficiente Bajo (0-3)
956256,Excelentes (9-10)
958020,Excelentes (9-10)
959089,Excelentes (9-10)
959840,Excelentes (9-10)
961665,Excelentes (9-10)
963533,Excelentes (9-10)
965621,Excelentes (9-10)
967804,Excelentes (9-10)
968469,Excelentes (9-10)
972024,Notables (7-9)
975297,Notables (7-9)
977261,Excelentes (9-10)
977631,Excelentes (9-10)
980773,Insuficiente Bajo (0-3)
983548,Excelentes (9-10)
986639,Excelentes (9-10)
986692,Excelentes (9-10)
987773,Notables (7-9)
990086,Excelentes (9-10)
993553,Insuficiente Bajo (0-3)
999573,Notables (7-9)
1000382,Excelentes (9-10)
1005240,Excelentes (9-10)
1005502,Notables (7-9)
1005819,Excelentes (9-10)
1007939,Excelentes (9-10)
1010493,Excelentes (9-10)
1011127,Notables (7-9)
1015826,Notables (7-9)
1020452,Excelentes (9-10)
1022983,Excelentes (9-10)
1027365,Notables (7-9)
1038867,Notables (7-9)
1038904,Notables (7-9)
1044902,Insuficiente Bajo (0-3)
1045513,Excelentes (9-10)
1051645,Notables (7-9)
1060042,Excelentes (9-10)
1065016,Excelentes (9-10)
1065863,Excelentes (9-10)
1066993,Notables (7-9)
1067941,Notables (7-9)
1068801,Notables (7-9)
1068919,Notables (7-9)
1069174,Excelentes (9-10)
1069572,Excelentes (9-10)
1073748,Excelentes (9-10)
1075276,Excelentes (9-10)
1078049,Notables (7-9)
1087155,Notables (7-9)
1090988,Excelentes (9-10)
1092321,Notables (7-9)
1094052,Excelentes (9-10)
1094228,Excelentes (9-10)
1095953,Insuficiente Bajo (0-3)
1097454,Notables (7-9)
1097523,Notables (7-9)
1098894,Excelentes (9-10)
1102069,Notables (7-9)
1102856,Excelentes (9-10)
1103288,Notables (7-9)
1106731,Notables (7-9)
1111412,Notables (7-9)
1114170,Excelentes (9-10)
1118161,Excelentes (9-10)
1119707,Excelentes (9-10)
1120751,Notables (7-9)
