cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,40,1,2022,0.0,0.0,,6814.126
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,54,2,2022,1.0,,,3277.0151
Educación Secundaria,Asalariado,Vive solo,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,54,3,2022,1.0,1.0,1.0,1730.8894
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,48,4,2022,0.0,0.0,,3449.5601
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,49,5,2022,1.0,,,2644.1462
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,61,6,2022,1.0,1.0,1.0,5715.6382
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,48,7,2022,1.0,1.0,1.0,2722.5627
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,36,8,2022,0.0,0.0,,4462.0566
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,52,9,2022,,,0.0,2399.2625
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,40,10,2022,0.0,0.0,1.0,1362.5674
Educación Primaria,Desempleado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,64,11,2022,1.0,1.0,,9286.7021
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,35,12,2022,0.0,1.0,,2094.7771
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,55,13,2022,1.0,0.0,1.0,1438.7893
Educación Secundaria,Desempleado,,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,41,14,2021,0.0,0.0,1.0,3014.8184
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,47,15,2021,0.0,1.0,1.0,3869.7461
Educación Secundaria,Autónomo,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,32,16,2022,1.0,1.0,0.0,6137.2813
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,22,17,2022,0.0,0.0,1.0,4197.2192
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,23,18,2021,1.0,0.0,0.0,6268.3364
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,20,19,2022,1.0,1.0,1.0,672.11249
Educación Primaria,Asalariado,,Residencia principal y otras,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,52,20,2022,0.0,0.0,1.0,3183.6763
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,72,21,2022,1.0,0.0,1.0,5570.4805
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,50,22,2022,1.0,0.0,1.0,2760.2632
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,50,23,2022,0.0,0.0,,2312.7793
