year,18-34,35-44,45-54,55-64,65-79,80+,Poblacion_total
2026,9645659.936515,6593651.444881,8133931.720871,7168322.578384,7347125.685366,3115675.280675,42004366.646692
2027,9907935.849702,6568481.987037,8162352.33995,7321511.304566,7545348.802849,3184606.864581,42690237.14868499
2028,10110689.846623,6565151.1784729995,8147892.742451,7470007.090434,7738711.298925,3265768.368105,43298220.525011
2029,10283859.108422,6571732.066056,8092160.121164,7597356.021767,7916032.412418,3376656.537457,43837796.267284
2030,10426882.15723,6572784.769044,7994228.209765,7708279.992712,8140189.596978,3465663.881474,44308028.607203
2031,10535682.409026999,6578049.051232,7866697.979084,7831686.956838,8366068.9213229995,3536026.2036450002,44714211.521148995
2032,10597990.402863,6588812.974731,7713924.3057039995,7954285.216298,8584031.609834,3611951.1357879997,45050995.645218
2033,10641664.545737,6607933.889373001,7561499.903706,8045918.906918,8792042.943787001,3706992.733874,45356052.923395
2034,10671420.382317,6618961.805639,7412038.778216,8132516.450305,8991044.377686,3799101.85667,45625083.650832996
2035,10668956.541851,6644628.748454,7285432.030914,8182161.762422,9194953.027800001,3885425.298531,45861557.409972005
2036,10629368.160983,6683842.096267,7170402.387761001,8206681.740313,9385931.220387,3985296.584651,46061522.190362
