SEX,AGE,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,age_cat
M,18,258208.270443,267268.797678,271943.940934,275580.015178,271923.902879,284079.391527,288366.770825,291533.547701,293340.651693,300884.456331,286083.521785,18-34
M,19,271258.238574,276038.118743,279860.727705,276514.028641,289025.288752,293796.855168,297537.284478,300008.986762,308239.433875,294170.229028,288047.168821,18-34
M,20,280315.407377,284264.213614,281156.178012,293948.77273,299129.538494,303379.490083,306477.054843,315403.03448,302147.801802,296721.937878,287832.726449,18-34
M,21,288758.341974,285819.372678,298813.248835,304314.180675,308983.410161,312625.764519,322192.982556,309744.728698,305096.297838,296887.824338,291811.188593,18-34
M,22,290486.905963,303604.501549,309334.108415,314321.153498,318403.162951,328514.72876,316802.478242,312916.468637,305468.690299,301090.455136,290037.152929,18-34
M,23,308348.656105,314223.820235,319430.345432,323841.236585,334381.01755,323296.356465,320093.99842,313388.429281,309787.026782,299578.920947,285737.025702,18-34
M,24,319007.050681,324345.280089,328979.715591,339827.624167,329245.944129,326611.247805,320563.843055,317713.052188,308418.311299,295412.088962,286809.91877,18-34
M,25,329096.7821,333862.582576,344906.323239,334703.213221,332505.299784,326995.496096,324801.576823,316379.200888,304278.075775,296474.10647,291693.779989,18-34
M,26,338538.484073,349682.793855,339745.993135,337856.997982,332751.964797,331086.257359,323427.537688,312187.022915,305249.143776,301247.618133,286939.149579,18-34
M,27,354174.274414,344409.435328,342714.090776,337884.300506,336605.922012,329566.845902,319072.10566,312948.423548,309787.417005,296403.566419,283406.736501,18-34
M,28,348742.16531,347146.179628,342478.405421,341454.176738,334883.238351,324986.689115,319556.260387,317176.507933,304763.826467,292749.981488,287797.694236,18-34
M,29,351207.861645,346611.122787,345726.677107,339483.336291,330032.511729,325144.637019,323419.694645,311903.352173,300903.538543,296835.364312,286064.740766,18-34
M,30,350355.227252,349520.727778,343486.531603,334342.75267,329845.684834,328623.48453,317864.780736,307791.682351,304636.981079,294826.84806,288536.353803,18-34
M,31,352931.193682,347014.377788,338062.997741,333822.043982,332953.5852,322792.415565,313500.060783,311173.755129,302341.748165,296929.547225,291947.159319,18-34
M,32,350170.33783,341323.744597,337229.611703,336585.033267,326867.053146,318192.090852,316554.357972,308607.371316,304092.877974,299998.843908,298624.947999,18-34
M,33,344219.270054,340189.111615,339663.668158,330254.618223,322041.41649,320936.720707,313729.545004,310024.0214,306829.907132,306353.064263,304578.285856,18-34
M,34,342822.244038,342339.035474,333132.046472,325247.675631,324531.053756,317906.941505,314874.022098,312489.980887,312915.265028,311967.910441,303083.182699,18-34
M,35,344714.386326,335629.238669,327967.442503,327515.115846,321327.698198,318819.472068,317109.76198,318344.495278,318233.482999,310215.20695,304633.377358,35-44
M,36,337870.376925,330352.368831,330067.648671,324193.65809,322074.121611,320894.997715,322806.220428,323448.377604,316300.815071,311483.690008,306937.09896,35-44
M,37,332493.169625,332303.86568,326645.39749,324799.089898,324017.267103,326463.497191,327734.604673,321372.634676,317333.911079,313557.307478,310413.657057,35-44
M,38,334319.3045,328803.209147,327138.828917,326641.541488,329492.3573,331260.148214,325560.485977,322227.068846,319231.613971,316798.160106,312401.073806,35-44
M,39,330750.576796,329199.56602,328896.886603,332041.194353,334182.65095,329013.913755,326273.871903,323987.007522,322280.205951,318584.946838,316653.630049,35-44
M,40,331054.988488,330879.188906,334228.177208,336638.260909,331878.142605,329610.118304,327921.738561,326876.069493,323898.898186,322656.443999,325047.097089,35-44
M,41,332639.111722,336124.415185,338717.690488,334260.270441,332348.890072,331138.009598,330648.644683,328324.260056,327783.791571,330756.185318,334798.56078,35-44
M,42,337792.891225,340504.62108,336264.521288,334610.277328,333762.806415,333714.560345,331940.215367,332036.765855,335611.920797,340195.3245,344231.43069,35-44
M,43,342049.896766,337961.952988,336484.37603,335901.522011,336184.99266,334847.334532,335479.161512,339600.06106,344745.326452,349259.854846,361246.481318,35-44
M,44,339412.423604,338050.771141,337653.153933,338174.188737,337166.27053,338222.242496,342795.975468,348448.671365,353465.748447,365800.470617,374760.180672,35-44
M,45,339359.198629,339086.72611,339769.704162,338999.486164,340374.897552,345298.658769,351369.289646,356838.934988,369553.620442,378940.477826,390490.398562,45-54
M,46,340238.727417,341026.05195,340419.339637,342023.791575,347199.912063,353588.957291,359426.438733,372478.711926,382310.47474,394143.194611,398819.200416,45-54
M,47,342009.661161,341511.554199,343273.859247,348620.09473,355235.627995,361349.117111,374665.417473,384893.769555,397039.532464,402154.319124,415068.432548,45-54
M,48,342329.004231,344196.146408,349647.558212,356411.751791,362715.767526,376214.121484,386761.16857,399183.631397,404749.027976,417989.202834,420221.457186,45-54
M,49,344832.371817,350340.529831,357191.724947,363613.751964,377216.886255,387997.65611,400630.283868,406597.15235,420179.543489,422762.063465,424590.21011,45-54
M,50,350745.811334,357637.804858,364120.340651,377762.165093,388697.153471,401465.1198,407757.476955,421638.234242,424585.464661,426786.97761,420805.734719,45-54
M,51,357798.39606,364298.938834,377927.415875,388949.491996,401783.031751,408319.794366,422429.58141,425699.954953,428283.849254,422680.445653,414920.346237,45-54
M,52,364196.131031,377772.340401,388828.075478,401667.836426,408373.733849,422636.918604,426164.003103,429085.590891,423869.65555,416485.191435,403182.623156,45-54
M,53,377379.543916,388432.449855,401235.737422,408050.798814,422401.928975,426117.84714,429313.557366,424446.671077,417448.46142,404595.347042,399110.268492,45-54
M,54,387761.830368,400494.246703,407368.493554,421748.312749,425587.437769,428985.919101,424405.704653,417753.936874,405352.299418,400153.378613,390312.702267,45-54
M,55,399468.525369,406363.560559,420723.623157,424629.827239,428164.453906,423803.722815,417437.48186,405443.995441,400540.907832,391092.568492,382629.073935,55-64
M,56,405119.395164,419428.342916,423361.944263,426981.414848,422782.46525,416640.829703,404996.440076,400358.617096,391305.278578,383108.185348,375230.987423,55-64
M,57,417853.397842,421783.28659,425445.337709,421358.514619,415384.216703,404025.992557,399601.821612,390904.340289,382984.264262,375459.902067,368853.084886,55-64
M,58,419955.354823,423631.488194,419620.569257,413768.170386,402640.794842,398377.234404,389981.912981,382311.429902,375141.168287,368800.036863,367822.751695,55-64
M,59,421514.224502,417551.403132,411784.363165,400841.266753,396687.592402,388536.782837,381069.59143,374216.82418,368145.668438,367420.529943,356692.862713,55-64
M,60,415181.3506,409474.850421,398681.968172,394597.598477,386640.816867,379328.957422,372744.180431,366913.998254,366440.835625,356034.063722,350039.716921,55-64
M,61,406872.170019,396206.684679,392161.727225,384358.580907,377159.4704,370792.213651,365160.375473,364907.641116,354824.434052,349082.641616,351378.75321,55-64
M,62,393409.563623,389382.232303,381701.6221,374579.881286,368383.80118,362904.247091,362825.173007,353036.80033,347548.619933,350001.742516,332142.842682,55-64
M,63,386316.036108,378738.606723,371670.414893,365610.072804,360243.948559,360293.199862,350760.638698,345500.658166,348111.886919,330636.622414,317483.576757,55-64
M,64,375459.74755,368429.371535,362477.786439,357193.242218,357328.539541,348010.866128,342940.780604,345681.379516,328594.693931,315780.22921,307072.731988,55-64
M,65,364846.21729,358982.572442,353754.09686,353937.310604,344796.072853,339873.214694,342698.644138,325978.180011,313502.168025,305114.258688,304573.103459,65-79
M,66,355284.427631,350100.438618,350309.84505,341318.449396,336510.801156,339385.289673,322998.509824,310838.034795,302765.229905,302337.064852,293405.550679,65-79
M,67,346127.446752,346341.625757,337477.781253,332754.819219,335637.535483,319550.508904,307670.509731,299880.956635,299561.729051,290911.093667,283034.853409,65-79
M,68,342099.197522,333350.923566,328693.319259,331555.064896,315740.356162,304107.695988,296563.978455,296332.159351,287956.943949,280293.555997,272277.819564,65-79
M,69,328899.003789,324293.439989,327109.90031,311548.282593,300134.956806,292799.625782,292623.394039,284498.30066,277046.750899,269268.248602,250233.216613,65-79
M,70,319567.147759,322323.019362,307005.410855,295793.024111,288636.697176,288486.967955,280583.199009,273326.903738,265782.955352,247165.657811,239588.957055,65-79
M,71,317120.223243,302045.79431,291023.685322,284023.591916,283872.517308,276162.255129,269078.074512,261749.863953,243559.880155,236189.833458,224131.991446,65-79
M,72,296701.584848,285867.999088,279011.355069,278840.199183,271303.428321,264371.935129,257238.753145,239472.694903,232311.685541,220557.932569,221429.067063,65-79
M,73,280373.007879,273655.63821,273454.605533,266079.68898,259287.759921,252332.253925,234982.326983,228021.246781,216578.723977,217489.296685,216615.94382,65-79
M,74,267791.40093,267547.592015,260325.642428,253661.813197,246867.41871,229932.198101,223155.0127,212020.187318,212957.274964,212126.113591,198291.055528,65-79
M,75,261197.38404,254128.258149,247589.981795,240948.863661,224430.870442,217825.585838,206992.479826,207938.223825,207147.24284,193716.695139,188153.533695,65-79
M,76,247464.649211,241054.423164,234564.263972,218472.597199,212030.961161,201495.358975,202427.651217,201663.722223,188650.381612,183254.481649,189181.122072,65-79
M,77,234105.464251,227772.454016,212123.149227,205845.083249,195608.801231,196512.104999,195764.255862,183173.182985,177951.937015,183703.239795,191678.365174,65-79
M,78,220417.510317,205237.130767,199126.431395,189198.484497,190054.367979,189307.729721,177147.374165,172099.154964,177656.240403,185336.007344,169427.655846,65-79
M,79,197597.897044,191658.461621,182053.395601,182835.268969,182067.646753,170353.321316,165470.378376,170786.613273,178123.702649,162822.325303,155002.283853,65-79
M,80,183929.583763,174672.3339,175391.215313,174615.156039,163362.826854,158656.15232,163736.400617,170741.687822,156071.053702,148589.412442,154769.382624,80+
M,81,166632.49244,167275.139858,166482.374967,155717.698933,151189.258758,155995.778942,162625.249511,148625.901633,141496.964858,147358.31344,140537.211946,80+
M,82,158526.587625,157708.949264,147457.267431,143109.694623,147605.636527,153815.130813,140524.187995,133755.444556,139256.874751,132763.828893,130556.706909,80+
M,83,148565.157668,138850.527574,134694.932862,138868.467675,144643.593003,132088.189775,125687.277694,130812.122177,124664.323355,122549.033715,106186.176797,80+
M,84,129783.396489,125828.513899,129657.636569,134971.253506,123185.416419,117160.36264,121876.532869,116086.365531,114060.799522,98798.799539,91317.483754,80+
M,85,116600.782575,120071.963396,124907.139607,113922.720019,108283.980581,112570.289857,107150.208511,105213.894646,91091.009825,84150.900346,101799.35706,80+
M,86,110155.728226,114498.773612,104345.56181,99104.372013,102944.022607,97906.107243,96059.141382,83107.841504,76722.658148,92698.779873,60153.571509,80+
M,87,103914.621486,94614.03742,89781.139793,93171.51841,88526.875805,86773.97037,75010.553466,69187.664738,83485.230064,54157.812091,61616.903948,80+
M,88,84866.114591,80451.563966,83402.2946,79161.1789,77511.436545,66938.920673,61681.763865,74325.314013,48193.556749,54754.637928,61207.087593,80+
M,89,71068.524825,73581.390015,69750.518885,68208.169811,58833.363455,54145.359923,65137.417075,42205.392728,47872.210587,53423.599135,57461.410658,80+
M,90,63985.488561,60567.043753,59140.612388,50941.934407,46816.017263,56216.862529,36393.532243,41203.892228,45896.060058,49271.849489,48138.770146,80+
M,91,51751.676774,50448.839362,43387.631796,39809.057011,47703.844387,30851.168012,34856.290789,38744.163667,41506.564089,40472.456631,39579.376428,80+
M,92,42322.818945,36337.844922,33281.94269,39791.499159,25706.405131,28977.380619,32135.850607,34348.88167,33422.859201,32614.382063,32457.527356,80+
M,93,29859.70518,27294.800493,32549.8341,21003.167214,23614.894425,26121.702746,27849.843412,27036.074534,26319.197395,26125.894807,25643.186393,80+
M,94,21975.542892,26134.48351,16843.754005,18886.070021,20833.671682,22152.280191,21452.554899,20831.848496,20624.413644,20189.100454,18814.7412,80+
M,95,20625.954143,13279.851569,14848.327199,16334.211037,17321.292602,16733.841706,16210.137797,16007.629584,15629.47588,14530.490091,13806.427999,80+
M,96,10250.666902,11427.127123,12533.60447,13253.016223,12770.87228,12339.321306,12152.334408,11833.428729,10974.258944,10399.598336,9465.248372,80+
M,97,8607.969938,9412.93583,9924.079277,9538.012368,9191.364926,9027.193758,8766.382013,8109.800185,7664.983216,6960.163717,6654.14674,80+
M,98,6935.110574,7291.249755,6989.940413,6718.724484,6581.245192,6374.361057,5882.870478,5546.349754,5025.336083,4791.816549,4197.758692,80+
M,99,5295.766091,5066.907826,4860.563908,4751.231631,4592.408883,4230.285333,3980.494114,3600.315962,3426.178612,2996.988252,2812.962306,80+
M,100,8373.177834,7919.823527,7478.052473,6953.805153,6345.575831,5802.447157,5243.133095,4781.521807,4263.262723,3901.929856,3542.785359,80+
F,18,240187.266636,249428.88052,253743.178832,255899.078129,253243.024877,263704.070555,267991.531796,271524.543761,272203.77781,280161.344484,266780.518641,18-34
F,19,252919.295782,257320.728525,259640.224228,257262.834333,268028.55003,272731.252057,276738.922341,277985.006714,286510.73536,273759.056555,267691.305113,18-34
F,20,261232.5626,263669.845312,261518.506604,272536.86721,277604.928425,282049.928096,283848.780357,292971.647925,280937.325434,275487.733393,268560.209903,18-34
F,21,267943.732394,265962.048945,277170.141494,282535.800447,287352.871436,289650.113497,299342.551969,288040.064329,283298.051112,276977.932781,271981.205585,18-34
F,22,270553.961478,281886.674317,287474.398617,292582.065687,295295.830766,305487.379369,294870.607232,290841.250451,285216.973091,280824.950461,273487.174712,18-34
F,23,286662.354943,292398.130036,297710.571726,300745.913799,311339.87531,301321.252099,297945.762589,293014.143433,289313.802498,282687.751434,268093.432244,18-34
F,24,297284.088551,302720.148473,305980.93795,316869.380303,307338.603132,304516.213958,300207.532569,297186.446761,291349.789232,277597.88929,271053.787959,18-34
F,25,307607.197606,311006.345177,322084.362481,312925.577145,310535.600032,306740.177818,304318.077118,299242.882846,286399.012509,280612.220387,275223.507956,18-34
F,26,315850.387067,327026.740341,318132.449944,316053.57288,312646.712642,310706.967902,306298.275697,294319.110825,289353.211556,284645.682958,273915.384829,18-34
F,27,331736.040332,323015.204772,321138.059782,317998.137704,316412.667873,312541.738033,301317.552477,297125.320786,293165.339076,283262.212836,269249.048437,18-34
F,28,327622.0218,325856.166631,322876.128304,321522.962355,318052.856819,307442.711915,303912.400328,300653.226569,291624.265471,278520.33362,276746.512236,18-34
F,29,330272.829475,327366.263114,326140.503271,322943.966587,312802.560745,309795.315706,307127.94422,298908.700982,286746.253805,285746.723952,276700.510013,18-34
F,30,331555.531055,330374.539657,327344.246903,317539.245612,314915.63296,312707.218063,305175.465076,293878.908639,293690.489344,285502.97574,278867.107854,18-34
F,31,334316.825857,331368.701793,321789.199122,319424.391451,317542.955875,310556.191181,299995.841859,300550.727818,293246.940834,287413.186044,283053.268226,18-34
F,32,335113.866706,325672.960108,323463.973516,321792.550499,315211.840945,305240.637715,306419.925617,299923.747121,294919.398831,291358.689411,290585.933848,18-34
F,33,329284.810203,327151.959584,325594.628429,319297.535398,309773.678732,311442.404734,305629.226044,301382.994522,298644.911174,298674.829099,298321.715944,18-34
F,34,330584.676983,329067.988534,322954.260835,313753.506213,315782.217249,310513.423352,306907.405726,304920.818653,305772.574954,306169.573918,296318.579219,18-34
F,35,332301.871983,326293.958513,317314.357801,319589.86245,314732.971286,311635.41759,310284.468587,311886.394612,313056.291576,304003.503506,300518.475368,35-44
F,36,329415.321865,320578.170814,323008.937439,318448.847849,315734.422754,314891.117859,317130.056575,319008.163831,310769.943687,307959.579352,305424.673147,35-44
F,37,323615.18516,326130.038993,321772.13681,319330.78173,318872.149312,321621.910432,324100.919373,316608.25354,314501.039912,312616.758855,310033.060061,35-44
F,38,329029.061059,324800.056188,322541.59747,322359.965765,325499.830388,328459.760988,321603.404051,320143.15848,318938.929992,316998.356987,313408.017237,35-44
F,39,327600.677476,325455.032197,325461.692983,328885.340918,332210.31055,325868.460695,324957.351388,324379.103761,323109.174213,320166.981557,320318.865267,35-44
F,40,328128.436587,328254.087401,331873.45852,335460.832843,329515.955896,329041.927632,328994.169505,328340.533333,326069.830716,326819.537134,328421.325939,35-44
F,41,330792.47559,334538.790818,338303.712655,332652.116954,332506.108126,332879.42247,332747.476813,331092.255832,332464.019893,334631.207766,338783.128316,35-44
F,42,336941.51876,340818.328163,335374.79317,335460.780617,336149.216005,336431.485353,335297.350226,337238.277031,339994.206582,344654.420174,347403.672606,35-44
F,43,343060.052982,337758.632558,337997.931652,338908.42315,339501.227883,338781.900554,341201.864314,344495.0912,349688.223819,352952.083567,363242.185095,35-44
