id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
1,59,admin.,married,secondary,False,2343.0,True,False,undefined_contact_type,5,may,1042,1,-1,0,new_marketing_client,True
2,56,admin.,married,secondary,False,45.0,False,False,undefined_contact_type,5,may,1467,1,-1,0,new_marketing_client,True
3,41,technician,married,secondary,False,1270.0,True,False,undefined_contact_type,5,may,1389,1,-1,0,new_marketing_client,True
4,55,services,married,secondary,False,2476.0,True,False,undefined_contact_type,5,may,579,1,-1,0,new_marketing_client,True
5,54,admin.,married,tertiary,False,184.0,False,False,undefined_contact_type,5,may,673,2,-1,0,new_marketing_client,True
6,42,management,single,tertiary,False,0.0,True,True,undefined_contact_type,5,may,562,2,-1,0,new_marketing_client,True
7,56,management,married,tertiary,False,830.0,True,True,undefined_contact_type,6,may,1201,1,-1,0,new_marketing_client,True
8,60,retired,divorced,secondary,False,545.0,True,False,undefined_contact_type,6,may,1030,1,-1,0,new_marketing_client,True
9,37,technician,married,secondary,False,1.0,True,False,undefined_contact_type,6,may,608,1,-1,0,new_marketing_client,True
10,28,services,single,secondary,False,5090.0,True,False,undefined_contact_type,6,may,1297,3,-1,0,new_marketing_client,True
11,38,admin.,single,secondary,False,100.0,True,False,undefined_contact_type,7,may,786,1,-1,0,new_marketing_client,True
12,30,blue-collar,married,secondary,False,309.0,True,False,undefined_contact_type,7,may,1574,2,-1,0,new_marketing_client,True
13,29,management,married,tertiary,False,199.0,True,True,undefined_contact_type,7,may,1689,4,-1,0,new_marketing_client,True
14,46,blue-collar,single,tertiary,False,460.0,True,False,undefined_contact_type,7,may,1102,2,-1,0,new_marketing_client,True
15,31,technician,single,tertiary,False,703.0,True,False,undefined_contact_type,8,may,943,2,-1,0,new_marketing_client,True
16,35,management,divorced,tertiary,False,3837.0,True,False,undefined_contact_type,8,may,1084,1,-1,0,new_marketing_client,True
17,32,blue-collar,single,primary,False,611.0,True,False,undefined_contact_type,8,may,541,3,-1,0,new_marketing_client,True
18,49,services,married,secondary,False,-8.0,True,False,undefined_contact_type,8,may,1119,1,-1,0,new_marketing_client,True
19,41,admin.,married,secondary,False,55.0,True,False,undefined_contact_type,8,may,1120,2,-1,0,new_marketing_client,True
