Fecha;Total;Residentes en España;Residentes en el Extranjero;Provincia;Código;Mes;Año
    2021M12;235.138;142.779;92.359;Málaga;29;DIC ;2021
    2021M11;280.935;137.552;143.382;Málaga;29;NOV;2021
    2021M10;451.642;186.441;265.201;Málaga;29;OCT;2021
    2021M09;483.297;247.187;236.110;Málaga;29;SEP;2021
    2021M08;626.297;405.728;220.569;Málaga;29;AGO;2021
    2021M07;556.796;381.978;174.818;Málaga;29;JUL;2021
    2021M06;342.013;252.019;89.994;Málaga;29;JUN;2021
    2021M05;178.362;124.090;54.272;Málaga;29;MAY;2021
    2021M04;79.611;54.893;24.718;Málaga;29;ABR;2021
    2021M03;71.264;54.084;17.179;Málaga;29;MAR;2021
    2021M02;41.999;32.358;9.641;Málaga;29;FEB;2021
    2021M01;46.540;35.051;11.489;Málaga;29;ENE;2021
    2020M12;47.441;33.614;13.827;Málaga;29;DIC;2020
    2020M11;39.436;27.867;11.569;Málaga;29;NOV;2020
    2020M10;111.861;78.185;33.676;Málaga;29;OCT;2020
    2020M09;160.548;114.661;45.886;Málaga;29;SEP;2020
    2020M08;356.755;257.881;98.874;Málaga;29;AGO;2020
    2020M07;254.361;171.860;82.501;Málaga;29;JUL;2020
    2020M06;38.424;33.300;5.124;Málaga;29;JUN;2020
    2020M05;1.520;1.475;45;Málaga;29;MAY;2020
    2020M04;0;0;0;Málaga;29;ABR;2020
    2020M03;175.972;75.319;100.653;Málaga;29;MAR;2020
    2020M02;377.960;180.952;197.008;Málaga;29;FEB;2020
    2020M01;291.494;118.980;172.514;Málaga;29;ENE;2020
    2021M12;200.593;133.089;67.503;Sevilla;41;DIC;2021
    2021M11;231.148;144.322;86.826;Sevilla;41;NOV;2021
    2021M10;259.341;152.279;107.062;Sevilla;41;OCT;2021
    2021M09;215.467;133.622;81.845;Sevilla;41;SEP;2021
    2021M08;205.076;130.389;74.687;Sevilla;41;AGO;2021
    2021M07;177.516;122.330;55.186;Sevilla;41;JUL;2021
    2021M06;155.094;113.507;41.587;Sevilla;41;JUN;2021
    2021M05;117.815;93.758;24.057;Sevilla;41;MAY;2021
    2021M04;75.686;65.594;10.092;Sevilla;41;ABR;2021
    2021M03;65.969;60.181;5.788;Sevilla;41;MAR;2021
    2021M02;50.381;46.715;3.666;Sevilla;41;FEB;2021
    2021M01;47.473;42.298;5.175;Sevilla;41;ENE;2021
    2020M12;56.059;48.476;7.583;Sevilla;41;DIC;2020
    2020M11;45.073;39.888;5.185;Sevilla;41;NOV;2020
    2020M10;90.734;73.603;17.132;Sevilla;41;OCT;2020
