Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Fecha,Año,Mes,Mes_nombre,media_pernoctaciones
Total Nacional,,,2022-12-01,2022,12,Diciembre,2.75
Total Nacional,,,2022-11-01,2022,11,Noviembre,2.81
Total Nacional,,,2022-10-01,2022,10,Octubre,3.07
Total Nacional,,,2022-09-01,2022,9,Septiembre,3.26
Total Nacional,,,2022-08-01,2022,8,Agosto,3.58
Total Nacional,,,2022-07-01,2022,7,Julio,3.43
Total Nacional,,,2022-06-01,2022,6,Junio,3.19
Total Nacional,,,2022-05-01,2022,5,Mayo,3.0
Total Nacional,,,2022-04-01,2022,4,Abril,2.9
Total Nacional,,,2022-03-01,2022,3,Marzo,2.91
Total Nacional,,,2022-02-01,2022,2,Febrero,2.65
Total Nacional,,,2022-01-01,2022,1,Enero,2.81
Total Nacional,,,2021-12-01,2021,12,Diciembre,2.71
Total Nacional,,,2021-11-01,2021,11,Noviembre,2.77
Total Nacional,,,2021-10-01,2021,10,Octubre,2.94
Total Nacional,,,2021-09-01,2021,9,Septiembre,3.11
Total Nacional,,,2021-08-01,2021,8,Agosto,3.31
Total Nacional,,,2021-07-01,2021,7,Julio,3.08
Total Nacional,,,2021-06-01,2021,6,Junio,2.51
Total Nacional,,,2021-05-01,2021,5,Mayo,2.16
Total Nacional,,,2021-04-01,2021,4,Abril,2.12
Total Nacional,,,2021-03-01,2021,3,Marzo,2.03
Total Nacional,,,2021-02-01,2021,2,Febrero,2.07
Total Nacional,,,2021-01-01,2021,1,Enero,2.19
Total Nacional,Andalucï¿½a,,2022-12-01,2022,12,Diciembre,2.2
Total Nacional,Andalucï¿½a,,2022-11-01,2022,11,Noviembre,2.37
Total Nacional,Andalucï¿½a,,2022-10-01,2022,10,Octubre,2.72
Total Nacional,Andalucï¿½a,,2022-09-01,2022,9,Septiembre,2.89
Total Nacional,Andalucï¿½a,,2022-08-01,2022,8,Agosto,3.35
Total Nacional,Andalucï¿½a,,2022-07-01,2022,7,Julio,3.14
Total Nacional,Andalucï¿½a,,2022-06-01,2022,6,Junio,2.81
Total Nacional,Andalucï¿½a,,2022-05-01,2022,5,Mayo,2.69
Total Nacional,Andalucï¿½a,,2022-04-01,2022,4,Abril,2.64
Total Nacional,Andalucï¿½a,,2022-03-01,2022,3,Marzo,2.47
Total Nacional,Andalucï¿½a,,2022-02-01,2022,2,Febrero,2.17
