provincia,origen,periodo,viajeros,año,mes
Almería,España,2022M12,33013,2022,Diciembre
Almería,España,2022M11,38622,2022,Noviembre
Almería,España,2022M10,71229,2022,Octubre
Almería,España,2022M09,142904,2022,Septiembre
Almería,España,2022M08,206936,2022,Agosto
Almería,España,2022M07,189343,2022,Julio
Almería,España,2022M06,153172,2022,Junio
Almería,España,2022M05,90422,2022,Mayo
Almería,España,2022M04,70416,2022,Abril
Almería,España,2022M03,42511,2022,Marzo
Almería,España,2022M02,39146,2022,Febrero
Almería,España,2022M01,22290,2022,Enero
Almería,España,2021M12,30542,2021,Diciembre
Almería,España,2021M11,32281,2021,Noviembre
Almería,España,2021M10,67943,2021,Octubre
Almería,España,2021M09,133713,2021,Septiembre
Almería,España,2021M08,209996,2021,Agosto
Almería,España,2021M07,172883,2021,Julio
Almería,España,2021M06,107549,2021,Junio
Almería,España,2021M05,37240,2021,Mayo
Almería,España,2021M04,16155,2021,Abril
Almería,España,2021M03,14623,2021,Marzo
Almería,España,2021M02,10712,2021,Febrero
Almería,España,2021M01,10078,2021,Enero
Almería,El Extranjero,2022M12,10226,2022,Diciembre
Almería,El Extranjero,2022M11,12693,2022,Noviembre
Almería,El Extranjero,2022M10,26150,2022,Octubre
Almería,El Extranjero,2022M09,34974,2022,Septiembre
Almería,El Extranjero,2022M08,41392,2022,Agosto
Almería,El Extranjero,2022M07,39566,2022,Julio
Almería,El Extranjero,2022M06,32084,2022,Junio
Almería,El Extranjero,2022M05,28431,2022,Mayo
Almería,El Extranjero,2022M04,19025,2022,Abril
Almería,El Extranjero,2022M03,13274,2022,Marzo
Almería,El Extranjero,2022M02,10284,2022,Febrero
Almería,El Extranjero,2022M01,9007,2022,Enero
Almería,El Extranjero,2021M12,9503,2021,Diciembre
Almería,El Extranjero,2021M11,10937,2021,Noviembre
Almería,El Extranjero,2021M10,21944,2021,Octubre
Almería,El Extranjero,2021M09,26258,2021,Septiembre
Almería,El Extranjero,2021M08,20009,2021,Agosto
Almería,El Extranjero,2021M07,16631,2021,Julio
Almería,El Extranjero,2021M06,10941,2021,Junio
Almería,El Extranjero,2021M05,5832,2021,Mayo
Almería,El Extranjero,2021M04,3440,2021,Abril
Almería,El Extranjero,2021M03,2777,2021,Marzo
Almería,El Extranjero,2021M02,1767,2021,Febrero
Almería,El Extranjero,2021M01,2627,2021,Enero
Cádiz,España,2022M12,81711,2022,Diciembre
Cádiz,España,2022M11,87654,2022,Noviembre
Cádiz,España,2022M10,139809,2022,Octubre
Cádiz,España,2022M09,210507,2022,Septiembre
Cádiz,España,2022M08,287126,2022,Agosto
Cádiz,España,2022M07,289088,2022,Julio
Cádiz,España,2022M06,232757,2022,Junio
Cádiz,España,2022M05,197200,2022,Mayo
Cádiz,España,2022M04,163824,2022,Abril
Cádiz,España,2022M03,85986,2022,Marzo
Cádiz,España,2022M02,80010,2022,Febrero
Cádiz,España,2022M01,49164,2022,Enero
Cádiz,España,2021M12,69023,2021,Diciembre
Cádiz,España,2021M11,72374,2021,Noviembre
Cádiz,España,2021M10,138206,2021,Octubre
Cádiz,España,2021M09,214846,2021,Septiembre
Cádiz,España,2021M08,295666,2021,Agosto
Cádiz,España,2021M07,288620,2021,Julio
Cádiz,España,2021M06,221857,2021,Junio
Cádiz,España,2021M05,126245,2021,Mayo
Cádiz,España,2021M04,37357,2021,Abril
Cádiz,España,2021M03,33194,2021,Marzo
Cádiz,España,2021M02,25622,2021,Febrero
Cádiz,España,2021M01,23294,2021,Enero
Cádiz,El Extranjero,2022M12,26123,2022,Diciembre
Cádiz,El Extranjero,2022M11,35834,2022,Noviembre
Cádiz,El Extranjero,2022M10,93863,2022,Octubre
Cádiz,El Extranjero,2022M09,105865,2022,Septiembre
Cádiz,El Extranjero,2022M08,88755,2022,Agosto
Cádiz,El Extranjero,2022M07,91039,2022,Julio
Cádiz,El Extranjero,2022M06,93969,2022,Junio
Cádiz,El Extranjero,2022M05,89603,2022,Mayo
Cádiz,El Extranjero,2022M04,76934,2022,Abril
Cádiz,El Extranjero,2022M03,39880,2022,Marzo
Cádiz,El Extranjero,2022M02,27531,2022,Febrero
Cádiz,El Extranjero,2022M01,17547,2022,Enero
Cádiz,El Extranjero,2021M12,18924,2021,Diciembre
Cádiz,El Extranjero,2021M11,31352,2021,Noviembre
Cádiz,El Extranjero,2021M10,66742,2021,Octubre
Cádiz,El Extranjero,2021M09,64928,2021,Septiembre
Cádiz,El Extranjero,2021M08,51609,2021,Agosto
Cádiz,El Extranjero,2021M07,50220,2021,Julio
Cádiz,El Extranjero,2021M06,31653,2021,Junio
Cádiz,El Extranjero,2021M05,20041,2021,Mayo
Cádiz,El Extranjero,2021M04,9743,2021,Abril
Cádiz,El Extranjero,2021M03,7203,2021,Marzo
Cádiz,El Extranjero,2021M02,4501,2021,Febrero
Cádiz,El Extranjero,2021M01,3902,2021,Enero
Córdoba,España,2022M12,53101,2022,Diciembre
Córdoba,España,2022M11,59044,2022,Noviembre
Córdoba,España,2022M10,62365,2022,Octubre
Córdoba,España,2022M09,57170,2022,Septiembre
Córdoba,España,2022M08,56282,2022,Agosto
Córdoba,España,2022M07,47748,2022,Julio
Córdoba,España,2022M06,53379,2022,Junio
Córdoba,España,2022M05,64872,2022,Mayo
Córdoba,España,2022M04,65504,2022,Abril
Córdoba,España,2022M03,54895,2022,Marzo
Córdoba,España,2022M02,53129,2022,Febrero
Córdoba,España,2022M01,40303,2022,Enero
Córdoba,España,2021M12,48686,2021,Diciembre
Córdoba,España,2021M11,58095,2021,Noviembre
Córdoba,España,2021M10,60689,2021,Octubre
Córdoba,España,2021M09,54699,2021,Septiembre
Córdoba,España,2021M08,55718,2021,Agosto
Córdoba,España,2021M07,44783,2021,Julio
Córdoba,España,2021M06,44713,2021,Junio
Córdoba,España,2021M05,42282,2021,Mayo
Córdoba,España,2021M04,18233,2021,Abril
Córdoba,España,2021M03,17088,2021,Marzo
Córdoba,España,2021M02,11889,2021,Febrero
Córdoba,España,2021M01,13157,2021,Enero
Córdoba,El Extranjero,2022M12,0,2022,Diciembre
Córdoba,El Extranjero,2022M11,26774,2022,Noviembre
Córdoba,El Extranjero,2022M10,44698,2022,Octubre
Córdoba,El Extranjero,2022M09,41354,2022,Septiembre
Córdoba,El Extranjero,2022M08,31168,2022,Agosto
Córdoba,El Extranjero,2022M07,24964,2022,Julio
Córdoba,El Extranjero,2022M06,32670,2022,Junio
Córdoba,El Extranjero,2022M05,43781,2022,Mayo
Córdoba,El Extranjero,2022M04,39625,2022,Abril
Córdoba,El Extranjero,2022M03,26537,2022,Marzo
Córdoba,El Extranjero,2022M02,17414,2022,Febrero
Córdoba,El Extranjero,2022M01,13587,2022,Enero
Córdoba,El Extranjero,2021M12,15962,2021,Diciembre
Córdoba,El Extranjero,2021M11,22281,2021,Noviembre
Córdoba,El Extranjero,2021M10,29146,2021,Octubre
Córdoba,El Extranjero,2021M09,23098,2021,Septiembre
Córdoba,El Extranjero,2021M08,19358,2021,Agosto
Córdoba,El Extranjero,2021M07,15611,2021,Julio
Córdoba,El Extranjero,2021M06,9542,2021,Junio
Córdoba,El Extranjero,2021M05,7734,2021,Mayo
Córdoba,El Extranjero,2021M04,2023,2021,Abril
Córdoba,El Extranjero,2021M03,1925,2021,Marzo
Córdoba,El Extranjero,2021M02,835,2021,Febrero
Córdoba,El Extranjero,2021M01,1124,2021,Enero
Granada,España,2022M12,133853,2022,Diciembre
Granada,España,2022M11,108565,2022,Noviembre
Granada,España,2022M10,139347,2022,Octubre
Granada,España,2022M09,142538,2022,Septiembre
Granada,España,2022M08,167963,2022,Agosto
Granada,España,2022M07,137410,2022,Julio
Granada,España,2022M06,141675,2022,Junio
Granada,España,2022M05,130377,2022,Mayo
Granada,España,2022M04,159647,2022,Abril
Granada,España,2022M03,129162,2022,Marzo
Granada,España,2022M02,145351,2022,Febrero
Granada,España,2022M01,110796,2022,Enero
Granada,España,2021M12,124612,2021,Diciembre
Granada,España,2021M11,110446,2021,Noviembre
Granada,España,2021M10,141977,2021,Octubre
Granada,España,2021M09,134229,2021,Septiembre
Granada,España,2021M08,174587,2021,Agosto
Granada,España,2021M07,128748,2021,Julio
Granada,España,2021M06,99172,2021,Junio
Granada,España,2021M05,59341,2021,Mayo
Granada,España,2021M04,32676,2021,Abril
Granada,España,2021M03,34944,2021,Marzo
Granada,España,2021M02,22322,2021,Febrero
Granada,España,2021M01,27424,2021,Enero
Granada,El Extranjero,2022M12,57664,2022,Diciembre
Granada,El Extranjero,2022M11,56469,2022,Noviembre
Granada,El Extranjero,2022M10,101210,2022,Octubre
Granada,El Extranjero,2022M09,103293,2022,Septiembre
Granada,El Extranjero,2022M08,96847,2022,Agosto
Granada,El Extranjero,2022M07,88681,2022,Julio
Granada,El Extranjero,2022M06,89059,2022,Junio
