pais,periodo,viajeros,año,mes,origen
Residentes en España,2022M12,3567132,2022,Diciembre,España
Residentes en España,2022M11,3541109,2022,Noviembre,España
Residentes en España,2022M10,4657750,2022,Octubre,España
Residentes en España,2022M09,5178258,2022,Septiembre,España
Residentes en España,2022M08,6526507,2022,Agosto,España
Residentes en España,2022M07,6075062,2022,Julio,España
Residentes en España,2022M06,5422886,2022,Junio,España
Residentes en España,2022M05,4672236,2022,Mayo,España
Residentes en España,2022M04,4733976,2022,Abril,España
Residentes en España,2022M03,3432900,2022,Marzo,España
Residentes en España,2022M02,3164177,2022,Febrero,España
Residentes en España,2022M01,2342492,2022,Enero,España
Residentes en España,2021M12,3164988,2021,Diciembre,España
Residentes en España,2021M11,3218059,2021,Noviembre,España
Residentes en España,2021M10,4590112,2021,Octubre,España
Residentes en España,2021M09,4952050,2021,Septiembre,España
Residentes en España,2021M08,6935006,2021,Agosto,España
Residentes en España,2021M07,5772248,2021,Julio,España
Residentes en España,2021M06,4179628,2021,Junio,España
Residentes en España,2021M05,2580060,2021,Mayo,España
Residentes en España,2021M04,1559023,2021,Abril,España
Residentes en España,2021M03,1456708,2021,Marzo,España
Residentes en España,2021M02,975226,2021,Febrero,España
Residentes en España,2021M01,889575,2021,Enero,España
Residentes en el Extranjero,2022M12,2487423,2022,Diciembre,El Extranjero
Residentes en el Extranjero,2022M11,2743589,2022,Noviembre,El Extranjero
Residentes en el Extranjero,2022M10,5085510,2022,Octubre,El Extranjero
Residentes en el Extranjero,2022M09,5872047,2022,Septiembre,El Extranjero
Residentes en el Extranjero,2022M08,6363409,2022,Agosto,El Extranjero
Residentes en el Extranjero,2022M07,6217875,2022,Julio,El Extranjero
Residentes en el Extranjero,2022M06,5567582,2022,Junio,El Extranjero
Residentes en el Extranjero,2022M05,5248435,2022,Mayo,El Extranjero
Residentes en el Extranjero,2022M04,3955846,2022,Abril,El Extranjero
Residentes en el Extranjero,2022M03,2628498,2022,Marzo,El Extranjero
Residentes en el Extranjero,2022M02,1969784,2022,Febrero,El Extranjero
Residentes en el Extranjero,2022M01,1428086,2022,Enero,El Extranjero
