id,age,job,marital,education,default,balance,housing,loan,contact,day,month,date_2025,month_num,weekday,duration,campaign,pdays,previous,poutcome,deposit
1,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,05/05/2025,5,Monday,1042,1,-1,0,unknown,yes
2,56,admin.,married,secondary,no,45,no,no,unknown,5,may,05/05/2025,5,Monday,1467,1,-1,0,unknown,yes
3,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,05/05/2025,5,Monday,1389,1,-1,0,unknown,yes
4,55,services,married,secondary,no,2476,yes,no,unknown,5,may,05/05/2025,5,Monday,579,1,-1,0,unknown,yes
5,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,05/05/2025,5,Monday,673,2,-1,0,unknown,yes
6,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,05/05/2025,5,Monday,562,2,-1,0,unknown,yes
7,56,management,married,tertiary,no,830,yes,yes,unknown,6,may,06/05/2025,5,Tuesday,1201,1,-1,0,unknown,yes
8,60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,06/05/2025,5,Tuesday,1030,1,-1,0,unknown,yes
9,37,technician,married,secondary,no,1,yes,no,unknown,6,may,06/05/2025,5,Tuesday,608,1,-1,0,unknown,yes
10,28,services,single,secondary,no,5090,yes,no,unknown,6,may,06/05/2025,5,Tuesday,1297,3,-1,0,unknown,yes
11,38,admin.,single,secondary,no,100,yes,no,unknown,7,may,07/05/2025,5,Wednesday,786,1,-1,0,unknown,yes
12,30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,07/05/2025,5,Wednesday,1574,2,-1,0,unknown,yes
13,29,management,married,tertiary,no,199,yes,yes,unknown,7,may,07/05/2025,5,Wednesday,1689,4,-1,0,unknown,yes
14,46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,07/05/2025,5,Wednesday,1102,2,-1,0,unknown,yes
15,31,technician,single,tertiary,no,703,yes,no,unknown,8,may,08/05/2025,5,Thursday,943,2,-1,0,unknown,yes
16,35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,08/05/2025,5,Thursday,1084,1,-1,0,unknown,yes
17,32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,08/05/2025,5,Thursday,541,3,-1,0,unknown,yes
18,49,services,married,secondary,no,-8,yes,no,unknown,8,may,08/05/2025,5,Thursday,1119,1,-1,0,unknown,yes
19,41,admin.,married,secondary,no,55,yes,no,unknown,8,may,08/05/2025,5,Thursday,1120,2,-1,0,unknown,yes
20,49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,08/05/2025,5,Thursday,513,1,-1,0,unknown,yes
21,28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,08/05/2025,5,Thursday,442,2,-1,0,unknown,yes
22,43,management,single,tertiary,no,2067,yes,no,unknown,8,may,08/05/2025,5,Thursday,756,1,-1,0,unknown,yes
23,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,08/05/2025,5,Thursday,2087,2,-1,0,unknown,yes
24,43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,08/05/2025,5,Thursday,1120,2,-1,0,unknown,yes
25,37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,08/05/2025,5,Thursday,985,2,-1,0,unknown,yes
26,35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,09/05/2025,5,Friday,617,4,-1,0,unknown,yes
27,31,technician,single,tertiary,no,22,yes,no,unknown,9,may,09/05/2025,5,Friday,483,3,-1,0,unknown,yes
28,43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,09/05/2025,5,Friday,929,3,-1,0,unknown,yes
29,31,admin.,married,secondary,no,307,yes,no,unknown,9,may,09/05/2025,5,Friday,538,1,-1,0,unknown,yes
30,28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,09/05/2025,5,Friday,710,1,-1,0,unknown,yes
31,32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,09/05/2025,5,Friday,653,1,-1,0,unknown,yes
32,60,technician,married,primary,no,65,yes,no,unknown,9,may,09/05/2025,5,Friday,1028,2,-1,0,unknown,yes
33,26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,09/05/2025,5,Friday,654,1,-1,0,unknown,yes
34,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,09/05/2025,5,Friday,1692,2,-1,0,unknown,yes
35,33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,09/05/2025,5,Friday,665,2,-1,0,unknown,yes
36,32,management,single,tertiary,no,311,no,no,unknown,12,may,12/05/2025,5,Monday,757,2,-1,0,unknown,yes
37,35,blue-collar,married,primary,no,414,no,no,unknown,13,may,13/05/2025,5,Tuesday,504,4,-1,0,unknown,yes
38,33,management,divorced,secondary,no,5,yes,no,unknown,13,may,13/05/2025,5,Tuesday,1346,1,-1,0,unknown,yes
39,38,management,married,tertiary,no,119,yes,no,unknown,13,may,13/05/2025,5,Tuesday,568,4,-1,0,unknown,yes
40,23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,13/05/2025,5,Tuesday,395,2,-1,0,unknown,yes
