Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
01 Andalucía;Residentes en España;Enero;997.507
01 Andalucía;Residentes en España;Febrero;1.272.306
01 Andalucía;Residentes en España;Marzo;1.860.174
01 Andalucía;Residentes en España;Abril;1.907.120
01 Andalucía;Residentes en España;Mayo;1.804.934
01 Andalucía;Residentes en España;Junio;2.266.790
01 Andalucía;Residentes en España;Julio;3.417.508
01 Andalucía;Residentes en España;Agosto;4.103.634
01 Andalucía;Residentes en España;Septiembre;2.402.556
01 Andalucía;Residentes en España;Octubre;1.741.524
01 Andalucía;Residentes en España;Noviembre;1.306.500
01 Andalucía;Residentes en España;Diciembre;1.288.169
01 Andalucía;Alemania;Enero;113.352
01 Andalucía;Alemania;Febrero;142.213
01 Andalucía;Alemania;Marzo;288.857
01 Andalucía;Alemania;Abril;412.482
01 Andalucía;Alemania;Mayo;536.089
01 Andalucía;Alemania;Junio;500.856
01 Andalucía;Alemania;Julio;387.500
01 Andalucía;Alemania;Agosto;330.826
01 Andalucía;Alemania;Septiembre;600.543
01 Andalucía;Alemania;Octubre;573.200
01 Andalucía;Alemania;Noviembre;149.512
01 Andalucía;Alemania;Diciembre;86.937
01 Andalucía;Austria;Enero;8.461
01 Andalucía;Austria;Febrero;10.101
01 Andalucía;Austria;Marzo;17.491
01 Andalucía;Austria;Abril;15.774
01 Andalucía;Austria;Mayo;21.266
01 Andalucía;Austria;Junio;19.336
01 Andalucía;Austria;Julio;26.562
01 Andalucía;Austria;Agosto;23.025
01 Andalucía;Austria;Septiembre;23.888
01 Andalucía;Austria;Octubre;22.993
01 Andalucía;Austria;Noviembre;11.615
01 Andalucía;Austria;Diciembre;7.659
01 Andalucía;Bélgica;Enero;49.940
01 Andalucía;Bélgica;Febrero;68.102
01 Andalucía;Bélgica;Marzo;72.083
01 Andalucía;Bélgica;Abril;114.974
01 Andalucía;Bélgica;Mayo;121.446
01 Andalucía;Bélgica;Junio;116.418
01 Andalucía;Bélgica;Julio;149.545
01 Andalucía;Bélgica;Agosto;115.769
01 Andalucía;Bélgica;Septiembre;140.719
01 Andalucía;Bélgica;Octubre;124.337
01 Andalucía;Bélgica;Noviembre;57.472
01 Andalucía;Bélgica;Diciembre;44.170
01 Andalucía;Dinamarca;Enero;29.055
01 Andalucía;Dinamarca;Febrero;40.912
01 Andalucía;Dinamarca;Marzo;65.389
01 Andalucía;Dinamarca;Abril;55.803
01 Andalucía;Dinamarca;Mayo;44.540
01 Andalucía;Dinamarca;Junio;44.246
01 Andalucía;Dinamarca;Julio;75.461
01 Andalucía;Dinamarca;Agosto;37.481
01 Andalucía;Dinamarca;Septiembre;55.227
01 Andalucía;Dinamarca;Octubre;53.812
01 Andalucía;Dinamarca;Noviembre;36.114
01 Andalucía;Dinamarca;Diciembre;15.867
01 Andalucía;Finlandia;Enero;17.913
01 Andalucía;Finlandia;Febrero;22.206
01 Andalucía;Finlandia;Marzo;38.703
01 Andalucía;Finlandia;Abril;47.014
01 Andalucía;Finlandia;Mayo;32.764
01 Andalucía;Finlandia;Junio;26.971
01 Andalucía;Finlandia;Julio;26.478
01 Andalucía;Finlandia;Agosto;15.016
01 Andalucía;Finlandia;Septiembre;25.454
01 Andalucía;Finlandia;Octubre;59.763
01 Andalucía;Finlandia;Noviembre;55.233
01 Andalucía;Finlandia;Diciembre;32.684
01 Andalucía;Francia;Enero;69.794
01 Andalucía;Francia;Febrero;83.857
01 Andalucía;Francia;Marzo;109.046
01 Andalucía;Francia;Abril;257.735
01 Andalucía;Francia;Mayo;353.956
01 Andalucía;Francia;Junio;269.881
01 Andalucía;Francia;Julio;281.539
01 Andalucía;Francia;Agosto;415.740
01 Andalucía;Francia;Septiembre;317.868
01 Andalucía;Francia;Octubre;284.798
01 Andalucía;Francia;Noviembre;79.174
01 Andalucía;Francia;Diciembre;81.307
01 Andalucía;Grecia;Enero;1.959
01 Andalucía;Grecia;Febrero;1.797
01 Andalucía;Grecia;Marzo;3.471
01 Andalucía;Grecia;Abril;4.108
01 Andalucía;Grecia;Mayo;5.636
01 Andalucía;Grecia;Junio;5.316
01 Andalucía;Grecia;Julio;3.823
01 Andalucía;Grecia;Agosto;5.732
01 Andalucía;Grecia;Septiembre;2.404
01 Andalucía;Grecia;Octubre;3.052
01 Andalucía;Grecia;Noviembre;9.789
01 Andalucía;Grecia;Diciembre;3.139
01 Andalucía;Irlanda;Enero;27.055
01 Andalucía;Irlanda;Febrero;30.816
01 Andalucía;Irlanda;Marzo;48.148
