Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
01 Andalucía;Residentes en España;Enero;511.537
01 Andalucía;Residentes en España;Febrero;657.824
01 Andalucía;Residentes en España;Marzo;782.158
01 Andalucía;Residentes en España;Abril;795.272
01 Andalucía;Residentes en España;Mayo;818.631
01 Andalucía;Residentes en España;Junio;956.832
01 Andalucía;Residentes en España;Julio;1.089.393
01 Andalucía;Residentes en España;Agosto;1.270.277
01 Andalucía;Residentes en España;Septiembre;924.040
01 Andalucía;Residentes en España;Octubre;797.481
01 Andalucía;Residentes en España;Noviembre;656.171
01 Andalucía;Residentes en España;Diciembre;646.940
01 Andalucía;Alemania;Enero;26.100
01 Andalucía;Alemania;Febrero;34.209
01 Andalucía;Alemania;Marzo;75.606
01 Andalucía;Alemania;Abril;101.482
01 Andalucía;Alemania;Mayo;116.027
01 Andalucía;Alemania;Junio;87.993
01 Andalucía;Alemania;Julio;65.681
01 Andalucía;Alemania;Agosto;68.829
01 Andalucía;Alemania;Septiembre;117.847
01 Andalucía;Alemania;Octubre;115.316
01 Andalucía;Alemania;Noviembre;39.333
01 Andalucía;Alemania;Diciembre;22.808
01 Andalucía;Austria;Enero;2.065
01 Andalucía;Austria;Febrero;2.918
01 Andalucía;Austria;Marzo;5.529
01 Andalucía;Austria;Abril;5.994
01 Andalucía;Austria;Mayo;7.466
01 Andalucía;Austria;Junio;5.713
01 Andalucía;Austria;Julio;6.277
01 Andalucía;Austria;Agosto;5.874
01 Andalucía;Austria;Septiembre;6.967
01 Andalucía;Austria;Octubre;7.629
01 Andalucía;Austria;Noviembre;3.779
01 Andalucía;Austria;Diciembre;2.768
01 Andalucía;Bélgica;Enero;11.340
01 Andalucía;Bélgica;Febrero;14.673
01 Andalucía;Bélgica;Marzo;18.402
01 Andalucía;Bélgica;Abril;29.854
01 Andalucía;Bélgica;Mayo;29.596
01 Andalucía;Bélgica;Junio;24.950
01 Andalucía;Bélgica;Julio;34.078
01 Andalucía;Bélgica;Agosto;30.445
01 Andalucía;Bélgica;Septiembre;30.961
01 Andalucía;Bélgica;Octubre;28.909
01 Andalucía;Bélgica;Noviembre;13.038
01 Andalucía;Bélgica;Diciembre;11.634
01 Andalucía;Dinamarca;Enero;6.957
01 Andalucía;Dinamarca;Febrero;8.831
01 Andalucía;Dinamarca;Marzo;12.031
01 Andalucía;Dinamarca;Abril;14.023
01 Andalucía;Dinamarca;Mayo;12.292
01 Andalucía;Dinamarca;Junio;9.776
01 Andalucía;Dinamarca;Julio;18.502
01 Andalucía;Dinamarca;Agosto;8.670
01 Andalucía;Dinamarca;Septiembre;15.097
01 Andalucía;Dinamarca;Octubre;12.272
01 Andalucía;Dinamarca;Noviembre;7.012
01 Andalucía;Dinamarca;Diciembre;4.086
01 Andalucía;Finlandia;Enero;4.690
01 Andalucía;Finlandia;Febrero;5.332
01 Andalucía;Finlandia;Marzo;8.805
01 Andalucía;Finlandia;Abril;10.063
01 Andalucía;Finlandia;Mayo;7.010
01 Andalucía;Finlandia;Junio;7.171
01 Andalucía;Finlandia;Julio;6.474
01 Andalucía;Finlandia;Agosto;3.894
01 Andalucía;Finlandia;Septiembre;6.379
01 Andalucía;Finlandia;Octubre;11.538
01 Andalucía;Finlandia;Noviembre;7.898
01 Andalucía;Finlandia;Diciembre;6.091
01 Andalucía;Francia;Enero;27.054
01 Andalucía;Francia;Febrero;35.459
01 Andalucía;Francia;Marzo;44.650
01 Andalucía;Francia;Abril;101.393
01 Andalucía;Francia;Mayo;124.814
01 Andalucía;Francia;Junio;89.815
01 Andalucía;Francia;Julio;79.572
01 Andalucía;Francia;Agosto;120.419
01 Andalucía;Francia;Septiembre;107.927
01 Andalucía;Francia;Octubre;102.753
01 Andalucía;Francia;Noviembre;33.373
01 Andalucía;Francia;Diciembre;33.135
01 Andalucía;Grecia;Enero;717
01 Andalucía;Grecia;Febrero;804
01 Andalucía;Grecia;Marzo;1.698
01 Andalucía;Grecia;Abril;2.328
01 Andalucía;Grecia;Mayo;2.060
01 Andalucía;Grecia;Junio;2.912
01 Andalucía;Grecia;Julio;1.760
01 Andalucía;Grecia;Agosto;2.726
01 Andalucía;Grecia;Septiembre;1.157
01 Andalucía;Grecia;Octubre;1.398
01 Andalucía;Grecia;Noviembre;3.607
01 Andalucía;Grecia;Diciembre;1.493
01 Andalucía;Irlanda;Enero;7.889
01 Andalucía;Irlanda;Febrero;8.590
01 Andalucía;Irlanda;Marzo;12.092
01 Andalucía;Irlanda;Abril;17.597
01 Andalucía;Irlanda;Mayo;28.105
01 Andalucía;Irlanda;Junio;26.357
