tipo,origen,totales territoriales,ccaa,periodo,total,year,month,date
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M01,435583,2015,1,2015-01-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M02,592854,2015,2,2015-02-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M03,671180,2015,3,2015-03-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M04,769073,2015,4,2015-04-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M05,812986,2015,5,2015-05-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M06,962824,2015,6,2015-06-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M07,1067848,2015,7,2015-07-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M08,1191856,2015,8,2015-08-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M09,890234,2015,9,2015-09-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M10,752123,2015,10,2015-10-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M11,572878,2015,11,2015-11-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2015M12,612938,2015,12,2015-12-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M01,480886,2016,1,2016-01-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M02,677674,2016,2,2016-02-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M03,803054,2016,3,2016-03-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M04,763886,2016,4,2016-04-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M05,826824,2016,5,2016-05-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M06,971751,2016,6,2016-06-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M07,1089296,2016,7,2016-07-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M08,1176004,2016,8,2016-08-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M09,879774,2016,9,2016-09-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M10,805382,2016,10,2016-10-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M11,574512,2016,11,2016-11-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2016M12,595675,2016,12,2016-12-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M01,496846,2017,1,2017-01-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M02,622114,2017,2,2017-02-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M03,705705,2017,3,2017-03-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M04,875700,2017,4,2017-04-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M05,803315,2017,5,2017-05-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M06,945831,2017,6,2017-06-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M07,1055694,2017,7,2017-07-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M08,1119329,2017,8,2017-08-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M09,878892,2017,9,2017-09-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M10,786722,2017,10,2017-10-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M11,606132,2017,11,2017-11-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2017M12,647986,2017,12,2017-12-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M01,511537,2018,1,2018-01-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M02,657824,2018,2,2018-02-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M03,782158,2018,3,2018-03-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M04,795272,2018,4,2018-04-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M05,818631,2018,5,2018-05-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M06,956832,2018,6,2018-06-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M07,1089393,2018,7,2018-07-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M08,1270277,2018,8,2018-08-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M09,924040,2018,9,2018-09-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M10,797481,2018,10,2018-10-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M11,656171,2018,11,2018-11-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2018M12,646940,2018,12,2018-12-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M01,522098,2019,1,2019-01-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M02,695868,2019,2,2019-02-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M03,807372,2019,3,2019-03-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M04,863405,2019,4,2019-04-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M05,940680,2019,5,2019-05-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M06,1051680,2019,6,2019-06-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M07,1198072,2019,7,2019-07-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M08,1346828,2019,8,2019-08-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M09,969409,2019,9,2019-09-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M10,790448,2019,10,2019-10-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M11,660806,2019,11,2019-11-01
Viajero,Residentes en España,Total Nacional,01 Andalucía,2019M12,685364,2019,12,2019-12-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M01,21058,2015,1,2015-01-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M02,48484,2015,2,2015-02-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M03,64934,2015,3,2015-03-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M04,107273,2015,4,2015-04-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M05,123634,2015,5,2015-05-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M06,162349,2015,6,2015-06-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M07,172086,2015,7,2015-07-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M08,191128,2015,8,2015-08-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M09,123596,2015,9,2015-09-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M10,112180,2015,10,2015-10-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M11,33896,2015,11,2015-11-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2015M12,22473,2015,12,2015-12-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M01,24905,2016,1,2016-01-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M02,44401,2016,2,2016-02-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M03,81822,2016,3,2016-03-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M04,98946,2016,4,2016-04-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M05,113396,2016,5,2016-05-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M06,163743,2016,6,2016-06-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M07,173446,2016,7,2016-07-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M08,173893,2016,8,2016-08-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M09,132777,2016,9,2016-09-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M10,128255,2016,10,2016-10-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M11,38552,2016,11,2016-11-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2016M12,26521,2016,12,2016-12-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M01,23268,2017,1,2017-01-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M02,54662,2017,2,2017-02-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M03,81237,2017,3,2017-03-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M04,107073,2017,4,2017-04-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M05,143630,2017,5,2017-05-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M06,178385,2017,6,2017-06-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M07,190036,2017,7,2017-07-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M08,201011,2017,8,2017-08-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M09,151182,2017,9,2017-09-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M10,134237,2017,10,2017-10-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M11,46724,2017,11,2017-11-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2017M12,33277,2017,12,2017-12-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M01,27144,2018,1,2018-01-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M02,64600,2018,2,2018-02-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M03,89468,2018,3,2018-03-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M04,94236,2018,4,2018-04-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M05,159954,2018,5,2018-05-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M06,172865,2018,6,2018-06-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M07,176438,2018,7,2018-07-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M08,188843,2018,8,2018-08-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M09,151240,2018,9,2018-09-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M10,142964,2018,10,2018-10-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M11,45450,2018,11,2018-11-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2018M12,30396,2018,12,2018-12-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M01,26306,2019,1,2019-01-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M02,51587,2019,2,2019-02-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M03,73394,2019,3,2019-03-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M04,112304,2019,4,2019-04-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M05,168744,2019,5,2019-05-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M06,187072,2019,6,2019-06-01
Viajero,Residentes en España,Total Nacional,"04 Balears, Illes",2019M07,198977,2019,7,2019-07-01
