ccaa,pais_origen,mes,qty_viajeros,año
Andalucia,Residentes en España,Enero,435583.0,2015
Andalucia,Residentes en España,Febrero,592854.0,2015
Andalucia,Residentes en España,Marzo,671180.0,2015
Andalucia,Residentes en España,Abril,769073.0,2015
Andalucia,Residentes en España,Mayo,812986.0,2015
Andalucia,Residentes en España,Junio,962824.0,2015
Andalucia,Residentes en España,Julio,1067848.0,2015
Andalucia,Residentes en España,Agosto,1191856.0,2015
Andalucia,Residentes en España,Septiembre,890234.0,2015
Andalucia,Residentes en España,Octubre,752123.0,2015
Andalucia,Residentes en España,Noviembre,572878.0,2015
Andalucia,Residentes en España,Diciembre,612938.0,2015
Andalucia,Alemania,Enero,19258.0,2015
Andalucia,Alemania,Febrero,31973.0,2015
Andalucia,Alemania,Marzo,63329.0,2015
Andalucia,Alemania,Abril,88672.0,2015
Andalucia,Alemania,Mayo,109948.0,2015
Andalucia,Alemania,Junio,78104.0,2015
Andalucia,Alemania,Julio,60558.0,2015
Andalucia,Alemania,Agosto,72954.0,2015
Andalucia,Alemania,Septiembre,116219.0,2015
Andalucia,Alemania,Octubre,108714.0,2015
Andalucia,Alemania,Noviembre,35120.0,2015
Andalucia,Alemania,Diciembre,19087.0,2015
Andalucia,Austria,Enero,1706.0,2015
Andalucia,Austria,Febrero,3064.0,2015
Andalucia,Austria,Marzo,4783.0,2015
Andalucia,Austria,Abril,6328.0,2015
Andalucia,Austria,Mayo,9177.0,2015
Andalucia,Austria,Junio,5076.0,2015
Andalucia,Austria,Julio,5822.0,2015
Andalucia,Austria,Agosto,5678.0,2015
Andalucia,Austria,Septiembre,7942.0,2015
Andalucia,Austria,Octubre,5717.0,2015
Andalucia,Austria,Noviembre,2944.0,2015
Andalucia,Austria,Diciembre,1800.0,2015
Andalucia,Bélgica,Enero,7841.0,2015
Andalucia,Bélgica,Febrero,11355.0,2015
Andalucia,Bélgica,Marzo,14185.0,2015
Andalucia,Bélgica,Abril,24543.0,2015
Andalucia,Bélgica,Mayo,26362.0,2015
Andalucia,Bélgica,Junio,22973.0,2015
Andalucia,Bélgica,Julio,30320.0,2015
Andalucia,Bélgica,Agosto,24737.0,2015
Andalucia,Bélgica,Septiembre,29765.0,2015
Andalucia,Bélgica,Octubre,21120.0,2015
Andalucia,Bélgica,Noviembre,14303.0,2015
Andalucia,Bélgica,Diciembre,9649.0,2015
Andalucia,Dinamarca,Enero,3780.0,2015
Andalucia,Dinamarca,Febrero,5822.0,2015
Andalucia,Dinamarca,Marzo,11267.0,2015
Andalucia,Dinamarca,Abril,8694.0,2015
Andalucia,Dinamarca,Mayo,6580.0,2015
Andalucia,Dinamarca,Junio,5785.0,2015
Andalucia,Dinamarca,Julio,9798.0,2015
Andalucia,Dinamarca,Agosto,4692.0,2015
Andalucia,Dinamarca,Septiembre,8556.0,2015
Andalucia,Dinamarca,Octubre,10658.0,2015
Andalucia,Dinamarca,Noviembre,4815.0,2015
Andalucia,Dinamarca,Diciembre,3172.0,2015
Andalucia,Finlandia,Enero,3261.0,2015
Andalucia,Finlandia,Febrero,4138.0,2015
Andalucia,Finlandia,Marzo,6146.0,2015
Andalucia,Finlandia,Abril,6956.0,2015
Andalucia,Finlandia,Mayo,6536.0,2015
Andalucia,Finlandia,Junio,4860.0,2015
Andalucia,Finlandia,Julio,5083.0,2015
Andalucia,Finlandia,Agosto,3777.0,2015
Andalucia,Finlandia,Septiembre,5149.0,2015
Andalucia,Finlandia,Octubre,6802.0,2015
Andalucia,Finlandia,Noviembre,4163.0,2015
Andalucia,Finlandia,Diciembre,3908.0,2015
Andalucia,Francia,Enero,20077.0,2015
Andalucia,Francia,Febrero,32739.0,2015
Andalucia,Francia,Marzo,34601.0,2015
Andalucia,Francia,Abril,93212.0,2015
Andalucia,Francia,Mayo,117945.0,2015
Andalucia,Francia,Junio,78451.0,2015
Andalucia,Francia,Julio,76933.0,2015
Andalucia,Francia,Agosto,119915.0,2015
Andalucia,Francia,Septiembre,92815.0,2015
Andalucia,Francia,Octubre,86148.0,2015
Andalucia,Francia,Noviembre,29394.0,2015
Andalucia,Francia,Diciembre,26320.0,2015
Andalucia,Grecia,Enero,481.0,2015
