Viajeros y pernoctaciones;RESIDENCIA/ORIGEN;Países;Periodo;Total
Viajero;Total;;2015M01;4.251.906
Viajero;Total;;2015M02;4.937.718
Viajero;Total;;2015M03;6.146.078
Viajero;Total;;2015M04;7.668.482
Viajero;Total;;2015M05;9.087.139
Viajero;Total;;2015M06;9.481.768
Viajero;Total;;2015M07;10.616.662
Viajero;Total;;2015M08;11.747.649
Viajero;Total;;2015M09;9.766.395
Viajero;Total;;2015M10;8.685.869
Viajero;Total;;2015M11;5.509.265
Viajero;Total;;2015M12;5.318.037
Viajero;Total;;2016M01;4.689.264
Viajero;Total;;2016M02;5.561.906
Viajero;Total;;2016M03;7.221.796
Viajero;Total;;2016M04;7.735.455
Viajero;Total;;2016M05;9.569.945
Viajero;Total;;2016M06;10.180.427
Viajero;Total;;2016M07;11.605.320
Viajero;Total;;2016M08;12.187.504
Viajero;Total;;2016M09;10.486.719
Viajero;Total;;2016M10;9.274.924
Viajero;Total;;2016M11;5.786.675
Viajero;Total;;2016M12;5.540.097
Viajero;Total;;2017M01;4.984.634
Viajero;Total;;2017M02;5.689.624
Viajero;Total;;2017M03;6.921.086
Viajero;Total;;2017M04;9.209.286
Viajero;Total;;2017M05;9.844.007
Viajero;Total;;2017M06;10.640.606
Viajero;Total;;2017M07;11.910.574
Viajero;Total;;2017M08;12.338.502
Viajero;Total;;2017M09;10.933.324
Viajero;Total;;2017M10;9.458.368
Viajero;Total;;2017M11;6.068.289
Viajero;Total;;2017M12;5.805.767
Viajero;Total;;2018M01;5.133.729
Viajero;Total;;2018M02;5.826.145
Viajero;Total;;2018M03;7.532.288
Viajero;Total;;2018M04;8.499.926
Viajero;Total;;2018M05;10.040.281
Viajero;Total;;2018M06;10.846.347
Viajero;Total;;2018M07;11.707.840
Viajero;Total;;2018M08;12.500.596
Viajero;Total;;2018M09;11.000.902
Viajero;Total;;2018M10;9.666.570
Viajero;Total;;2018M11;6.485.702
Viajero;Total;;2018M12;6.071.139
Viajero;Total;;2019M01;5.251.558
Viajero;Total;;2019M02;6.011.298
Viajero;Total;;2019M03;7.534.311
Viajero;Total;;2019M04;9.138.989
Viajero;Total;;2019M05;10.509.949
Viajero;Total;;2019M06;11.371.775
Viajero;Total;;2019M07;12.124.664
Viajero;Total;;2019M08;13.028.096
Viajero;Total;;2019M09;11.038.778
Viajero;Total;;2019M10;9.772.631
Viajero;Total;;2019M11;6.693.210
Viajero;Total;;2019M12;6.240.788
Viajero;Total;Residentes en España;2015M01;2.393.392
Viajero;Total;Residentes en España;2015M02;2.878.965
Viajero;Total;Residentes en España;2015M03;3.490.443
Viajero;Total;Residentes en España;2015M04;4.031.142
Viajero;Total;Residentes en España;2015M05;4.102.767
Viajero;Total;Residentes en España;2015M06;4.587.906
Viajero;Total;Residentes en España;2015M07;5.175.659
Viajero;Total;Residentes en España;2015M08;5.945.162
Viajero;Total;Residentes en España;2015M09;4.504.038
Viajero;Total;Residentes en España;2015M10;4.137.843
Viajero;Total;Residentes en España;2015M11;3.055.877
Viajero;Total;Residentes en España;2015M12;3.220.404
Viajero;Total;Residentes en España;2016M01;2.618.022
Viajero;Total;Residentes en España;2016M02;3.191.750
Viajero;Total;Residentes en España;2016M03;4.110.169
Viajero;Total;Residentes en España;2016M04;3.755.761
Viajero;Total;Residentes en España;2016M05;4.197.064
Viajero;Total;Residentes en España;2016M06;4.723.090
Viajero;Total;Residentes en España;2016M07;5.504.356
Viajero;Total;Residentes en España;2016M08;5.993.466
Viajero;Total;Residentes en España;2016M09;4.672.782
Viajero;Total;Residentes en España;2016M10;4.358.634
Viajero;Total;Residentes en España;2016M11;3.186.298
Viajero;Total;Residentes en España;2016M12;3.231.853
Viajero;Total;Residentes en España;2017M01;2.655.015
Viajero;Total;Residentes en España;2017M02;3.157.734
Viajero;Total;Residentes en España;2017M03;3.706.176
Viajero;Total;Residentes en España;2017M04;4.688.384
Viajero;Total;Residentes en España;2017M05;4.177.945
Viajero;Total;Residentes en España;2017M06;4.785.681
Viajero;Total;Residentes en España;2017M07;5.453.609
Viajero;Total;Residentes en España;2017M08;5.970.747
Viajero;Total;Residentes en España;2017M09;4.762.659
Viajero;Total;Residentes en España;2017M10;4.302.582
Viajero;Total;Residentes en España;2017M11;3.340.928
Viajero;Total;Residentes en España;2017M12;3.461.708
Viajero;Total;Residentes en España;2018M01;2.743.159
Viajero;Total;Residentes en España;2018M02;3.208.522
Viajero;Total;Residentes en España;2018M03;4.136.756
Viajero;Total;Residentes en España;2018M04;4.154.873
Viajero;Total;Residentes en España;2018M05;4.250.360
Viajero;Total;Residentes en España;2018M06;4.868.754
Viajero;Total;Residentes en España;2018M07;5.380.698
Viajero;Total;Residentes en España;2018M08;6.181.557
Viajero;Total;Residentes en España;2018M09;4.840.570
Viajero;Total;Residentes en España;2018M10;4.354.922
Viajero;Total;Residentes en España;2018M11;3.551.431
Viajero;Total;Residentes en España;2018M12;3.494.108
Viajero;Total;Residentes en España;2019M01;2.755.656
Viajero;Total;Residentes en España;2019M02;3.315.368
Viajero;Total;Residentes en España;2019M03;4.033.782
Viajero;Total;Residentes en España;2019M04;4.470.668
Viajero;Total;Residentes en España;2019M05;4.578.814
Viajero;Total;Residentes en España;2019M06;5.183.371
Viajero;Total;Residentes en España;2019M07;5.669.457
Viajero;Total;Residentes en España;2019M08;6.432.729
Viajero;Total;Residentes en España;2019M09;4.809.515
Viajero;Total;Residentes en España;2019M10;4.321.124
Viajero;Total;Residentes en España;2019M11;3.585.911
Viajero;Total;Residentes en España;2019M12;3.577.792
Viajero;Total;Residentes en el Extranjero;2015M01;1.858.514
Viajero;Total;Residentes en el Extranjero;2015M02;2.058.753
Viajero;Total;Residentes en el Extranjero;2015M03;2.655.636
Viajero;Total;Residentes en el Extranjero;2015M04;3.637.340
Viajero;Total;Residentes en el Extranjero;2015M05;4.984.371
Viajero;Total;Residentes en el Extranjero;2015M06;4.893.862
Viajero;Total;Residentes en el Extranjero;2015M07;5.441.003
Viajero;Total;Residentes en el Extranjero;2015M08;5.802.487
Viajero;Total;Residentes en el Extranjero;2015M09;5.262.357
Viajero;Total;Residentes en el Extranjero;2015M10;4.548.026
Viajero;Total;Residentes en el Extranjero;2015M11;2.453.388
Viajero;Total;Residentes en el Extranjero;2015M12;2.097.633
Viajero;Total;Residentes en el Extranjero;2016M01;2.071.241
Viajero;Total;Residentes en el Extranjero;2016M02;2.370.156
Viajero;Total;Residentes en el Extranjero;2016M03;3.111.627
Viajero;Total;Residentes en el Extranjero;2016M04;3.979.694
Viajero;Total;Residentes en el Extranjero;2016M05;5.372.881
Viajero;Total;Residentes en el Extranjero;2016M06;5.457.337
Viajero;Total;Residentes en el Extranjero;2016M07;6.100.964
Viajero;Total;Residentes en el Extranjero;2016M08;6.194.038
Viajero;Total;Residentes en el Extranjero;2016M09;5.813.937
Viajero;Total;Residentes en el Extranjero;2016M10;4.916.290
Viajero;Total;Residentes en el Extranjero;2016M11;2.600.378
Viajero;Total;Residentes en el Extranjero;2016M12;2.308.244
Viajero;Total;Residentes en el Extranjero;2017M01;2.329.619
Viajero;Total;Residentes en el Extranjero;2017M02;2.531.890
Viajero;Total;Residentes en el Extranjero;2017M03;3.214.910
Viajero;Total;Residentes en el Extranjero;2017M04;4.520.901
Viajero;Total;Residentes en el Extranjero;2017M05;5.666.062
Viajero;Total;Residentes en el Extranjero;2017M06;5.854.925
Viajero;Total;Residentes en el Extranjero;2017M07;6.456.965
Viajero;Total;Residentes en el Extranjero;2017M08;6.367.755
Viajero;Total;Residentes en el Extranjero;2017M09;6.170.665
Viajero;Total;Residentes en el Extranjero;2017M10;5.155.786
Viajero;Total;Residentes en el Extranjero;2017M11;2.727.362
Viajero;Total;Residentes en el Extranjero;2017M12;2.344.059
Viajero;Total;Residentes en el Extranjero;2018M01;2.390.570
Viajero;Total;Residentes en el Extranjero;2018M02;2.617.623
Viajero;Total;Residentes en el Extranjero;2018M03;3.395.532
Viajero;Total;Residentes en el Extranjero;2018M04;4.345.053
Viajero;Total;Residentes en el Extranjero;2018M05;5.789.920
Viajero;Total;Residentes en el Extranjero;2018M06;5.977.593
Viajero;Total;Residentes en el Extranjero;2018M07;6.327.142
Viajero;Total;Residentes en el Extranjero;2018M08;6.319.039
Viajero;Total;Residentes en el Extranjero;2018M09;6.160.333
Viajero;Total;Residentes en el Extranjero;2018M10;5.311.648
Viajero;Total;Residentes en el Extranjero;2018M11;2.934.271
Viajero;Total;Residentes en el Extranjero;2018M12;2.577.031
Viajero;Total;Residentes en el Extranjero;2019M01;2.495.901
Viajero;Total;Residentes en el Extranjero;2019M02;2.695.930
Viajero;Total;Residentes en el Extranjero;2019M03;3.500.530
Viajero;Total;Residentes en el Extranjero;2019M04;4.668.321
