Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M01;435.583
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M02;592.854
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M03;671.180
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M04;769.073
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M05;812.986
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M06;962.824
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M07;1.067.848
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M08;1.191.856
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M09;890.234
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M10;752.123
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M11;572.878
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2015M12;612.938
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M01;480.886
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M02;677.674
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M03;803.054
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M04;763.886
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M05;826.824
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M06;971.751
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M07;1.089.296
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M08;1.176.004
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M09;879.774
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M10;805.382
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M11;574.512
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2016M12;595.675
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M01;496.846
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M02;622.114
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M03;705.705
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M04;875.700
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M05;803.315
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M06;945.831
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M07;1.055.694
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M08;1.119.329
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M09;878.892
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M10;786.722
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M11;606.132
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2017M12;647.986
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M01;511.537
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M02;657.824
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M03;782.158
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M04;795.272
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M05;818.631
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M06;956.832
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M07;1.089.393
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M08;1.270.277
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M09;924.040
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M10;797.481
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M11;656.171
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2018M12;646.940
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M01;522.098
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M02;695.868
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M03;807.372
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M04;863.405
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M05;940.680
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M06;1.051.680
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M07;1.198.072
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M08;1.346.828
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M09;969.409
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M10;790.448
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M11;660.806
Viajero;Total;Residentes en España;Total Nacional;01 Andalucía;;2019M12;685.364
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M01;21.058
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M02;48.484
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M03;64.934
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M04;107.273
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M05;123.634
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M06;162.349
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M07;172.086
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M08;191.128
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M09;123.596
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M10;112.180
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M11;33.896
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M12;22.473
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M01;24.905
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M02;44.401
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M03;81.822
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M04;98.946
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M05;113.396
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M06;163.743
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M07;173.446
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M08;173.893
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M09;132.777
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M10;128.255
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M11;38.552
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M12;26.521
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M01;23.268
