Totales Territoriales;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;01 Andalucía;Total;Total;11.407.827
Total Nacional;01 Andalucía;Total;Enero;657.796
Total Nacional;01 Andalucía;Total;Febrero;721.541
Total Nacional;01 Andalucía;Total;Marzo;797.336
Total Nacional;01 Andalucía;Total;Abril;848.900
Total Nacional;01 Andalucía;Total;Mayo;972.868
Total Nacional;01 Andalucía;Total;Junio;1.075.860
Total Nacional;01 Andalucía;Total;Julio;1.396.635
Total Nacional;01 Andalucía;Total;Agosto;1.733.941
Total Nacional;01 Andalucía;Total;Septiembre;1.086.783
Total Nacional;01 Andalucía;Total;Octubre;873.413
Total Nacional;01 Andalucía;Total;Noviembre;634.346
Total Nacional;01 Andalucía;Total;Diciembre;608.409
Total Nacional;01 Andalucía;Españoles;Total;4.634.834
Total Nacional;01 Andalucía;Españoles;Enero;242.571
Total Nacional;01 Andalucía;Españoles;Febrero;249.795
Total Nacional;01 Andalucía;Españoles;Marzo;311.375
Total Nacional;01 Andalucía;Españoles;Abril;273.214
Total Nacional;01 Andalucía;Españoles;Mayo;335.422
Total Nacional;01 Andalucía;Españoles;Junio;455.692
Total Nacional;01 Andalucía;Españoles;Julio;671.884
Total Nacional;01 Andalucía;Españoles;Agosto;908.225
Total Nacional;01 Andalucía;Españoles;Septiembre;483.830
Total Nacional;01 Andalucía;Españoles;Octubre;233.006
Total Nacional;01 Andalucía;Españoles;Noviembre;200.014
Total Nacional;01 Andalucía;Españoles;Diciembre;269.805
Total Nacional;01 Andalucía;Extranjeros;Total;6.772.992
Total Nacional;01 Andalucía;Extranjeros;Enero;415.225
Total Nacional;01 Andalucía;Extranjeros;Febrero;471.745
Total Nacional;01 Andalucía;Extranjeros;Marzo;485.961
Total Nacional;01 Andalucía;Extranjeros;Abril;575.686
Total Nacional;01 Andalucía;Extranjeros;Mayo;637.446
Total Nacional;01 Andalucía;Extranjeros;Junio;620.168
Total Nacional;01 Andalucía;Extranjeros;Julio;724.751
Total Nacional;01 Andalucía;Extranjeros;Agosto;825.716
Total Nacional;01 Andalucía;Extranjeros;Septiembre;602.953
Total Nacional;01 Andalucía;Extranjeros;Octubre;640.406
Total Nacional;01 Andalucía;Extranjeros;Noviembre;434.332
Total Nacional;01 Andalucía;Extranjeros;Diciembre;338.603
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Total;3.792.080
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Enero;242.065
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Febrero;263.130
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Marzo;257.269
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Abril;315.082
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Mayo;343.814
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Junio;326.361
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Julio;440.678
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Agosto;473.609
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Septiembre;335.749
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Octubre;354.032
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Noviembre;249.821
Total Nacional;01 Andalucía;Unión Europea27 (sin España);Diciembre;190.471
Total Nacional;01 Andalucía;Alemania;Total;481.656
Total Nacional;01 Andalucía;Alemania;Enero;42.118
Total Nacional;01 Andalucía;Alemania;Febrero;41.264
Total Nacional;01 Andalucía;Alemania;Marzo;41.367
Total Nacional;01 Andalucía;Alemania;Abril;39.639
Total Nacional;01 Andalucía;Alemania;Mayo;43.536
Total Nacional;01 Andalucía;Alemania;Junio;31.463
Total Nacional;01 Andalucía;Alemania;Julio;29.142
Total Nacional;01 Andalucía;Alemania;Agosto;37.715
Total Nacional;01 Andalucía;Alemania;Septiembre;44.473
Total Nacional;01 Andalucía;Alemania;Octubre;60.055
Total Nacional;01 Andalucía;Alemania;Noviembre;43.769
Total Nacional;01 Andalucía;Alemania;Diciembre;27.114
Total Nacional;01 Andalucía;Austria;Total;52.932
Total Nacional;01 Andalucía;Austria;Enero;1.976
Total Nacional;01 Andalucía;Austria;Febrero;4.136
Total Nacional;01 Andalucía;Austria;Marzo;3.506
Total Nacional;01 Andalucía;Austria;Abril;2.259
Total Nacional;01 Andalucía;Austria;Mayo;3.529
Total Nacional;01 Andalucía;Austria;Junio;3.527
Total Nacional;01 Andalucía;Austria;Julio;11.701
Total Nacional;01 Andalucía;Austria;Agosto;5.217
Total Nacional;01 Andalucía;Austria;Septiembre;4.540
Total Nacional;01 Andalucía;Austria;Octubre;6.135
Total Nacional;01 Andalucía;Austria;Noviembre;2.890
Total Nacional;01 Andalucía;Austria;Diciembre;3.517
Total Nacional;01 Andalucía;Bélgica;Total;154.919
Total Nacional;01 Andalucía;Bélgica;Enero;7.963
Total Nacional;01 Andalucía;Bélgica;Febrero;12.532
Total Nacional;01 Andalucía;Bélgica;Marzo;7.988
Total Nacional;01 Andalucía;Bélgica;Abril;13.162
Total Nacional;01 Andalucía;Bélgica;Mayo;13.111
Total Nacional;01 Andalucía;Bélgica;Junio;14.725
Total Nacional;01 Andalucía;Bélgica;Julio;22.440
Total Nacional;01 Andalucía;Bélgica;Agosto;15.647
Total Nacional;01 Andalucía;Bélgica;Septiembre;15.460
Total Nacional;01 Andalucía;Bélgica;Octubre;12.638
Total Nacional;01 Andalucía;Bélgica;Noviembre;11.765
Total Nacional;01 Andalucía;Bélgica;Diciembre;7.486
Total Nacional;01 Andalucía;Dinamarca;Total;121.100
Total Nacional;01 Andalucía;Dinamarca;Enero;9.582
Total Nacional;01 Andalucía;Dinamarca;Febrero;17.306
Total Nacional;01 Andalucía;Dinamarca;Marzo;19.231
Total Nacional;01 Andalucía;Dinamarca;Abril;7.515
Total Nacional;01 Andalucía;Dinamarca;Mayo;7.911
Total Nacional;01 Andalucía;Dinamarca;Junio;4.182
Total Nacional;01 Andalucía;Dinamarca;Julio;14.024
Total Nacional;01 Andalucía;Dinamarca;Agosto;4.288
Total Nacional;01 Andalucía;Dinamarca;Septiembre;9.462
Total Nacional;01 Andalucía;Dinamarca;Octubre;14.405
Total Nacional;01 Andalucía;Dinamarca;Noviembre;9.662
Total Nacional;01 Andalucía;Dinamarca;Diciembre;3.533
Total Nacional;01 Andalucía;Finlandia;Total;112.784
Total Nacional;01 Andalucía;Finlandia;Enero;8.265
Total Nacional;01 Andalucía;Finlandia;Febrero;8.512
Total Nacional;01 Andalucía;Finlandia;Marzo;11.045
Total Nacional;01 Andalucía;Finlandia;Abril;10.757
Total Nacional;01 Andalucía;Finlandia;Mayo;7.401
Total Nacional;01 Andalucía;Finlandia;Junio;7.718
Total Nacional;01 Andalucía;Finlandia;Julio;5.722
Total Nacional;01 Andalucía;Finlandia;Agosto;2.909
Total Nacional;01 Andalucía;Finlandia;Septiembre;7.396
Total Nacional;01 Andalucía;Finlandia;Octubre;15.363
Total Nacional;01 Andalucía;Finlandia;Noviembre;19.594
Total Nacional;01 Andalucía;Finlandia;Diciembre;8.103
Total Nacional;01 Andalucía;Francia;Total;454.745
Total Nacional;01 Andalucía;Francia;Enero;19.975
Total Nacional;01 Andalucía;Francia;Febrero;27.330
Total Nacional;01 Andalucía;Francia;Marzo;21.218
Total Nacional;01 Andalucía;Francia;Abril;46.106
Total Nacional;01 Andalucía;Francia;Mayo;37.856
Total Nacional;01 Andalucía;Francia;Junio;31.938
Total Nacional;01 Andalucía;Francia;Julio;61.369
Total Nacional;01 Andalucía;Francia;Agosto;96.656
Total Nacional;01 Andalucía;Francia;Septiembre;32.059
Total Nacional;01 Andalucía;Francia;Octubre;41.619
Total Nacional;01 Andalucía;Francia;Noviembre;19.843
Total Nacional;01 Andalucía;Francia;Diciembre;18.775
Total Nacional;01 Andalucía;Grecia;Total;11.142
Total Nacional;01 Andalucía;Grecia;Enero;285
Total Nacional;01 Andalucía;Grecia;Febrero;2.008
Total Nacional;01 Andalucía;Grecia;Marzo;909
Total Nacional;01 Andalucía;Grecia;Abril;585
Total Nacional;01 Andalucía;Grecia;Mayo;1.274
Total Nacional;01 Andalucía;Grecia;Junio;921
Total Nacional;01 Andalucía;Grecia;Julio;416
Total Nacional;01 Andalucía;Grecia;Agosto;776
Total Nacional;01 Andalucía;Grecia;Septiembre;734
Total Nacional;01 Andalucía;Grecia;Octubre;785
Total Nacional;01 Andalucía;Grecia;Noviembre;628
Total Nacional;01 Andalucía;Grecia;Diciembre;1.821
Total Nacional;01 Andalucía;Irlanda;Total;522.698
Total Nacional;01 Andalucía;Irlanda;Enero;15.166
Total Nacional;01 Andalucía;Irlanda;Febrero;22.958
Total Nacional;01 Andalucía;Irlanda;Marzo;29.487
Total Nacional;01 Andalucía;Irlanda;Abril;36.228
Total Nacional;01 Andalucía;Irlanda;Mayo;58.755
Total Nacional;01 Andalucía;Irlanda;Junio;71.969
Total Nacional;01 Andalucía;Irlanda;Julio;78.284
Total Nacional;01 Andalucía;Irlanda;Agosto;47.439
Total Nacional;01 Andalucía;Irlanda;Septiembre;70.329
Total Nacional;01 Andalucía;Irlanda;Octubre;55.145
Total Nacional;01 Andalucía;Irlanda;Noviembre;21.245
Total Nacional;01 Andalucía;Irlanda;Diciembre;15.694
Total Nacional;01 Andalucía;Italia;Total;386.895
Total Nacional;01 Andalucía;Italia;Enero;17.781
Total Nacional;01 Andalucía;Italia;Febrero;14.771
Total Nacional;01 Andalucía;Italia;Marzo;16.279
Total Nacional;01 Andalucía;Italia;Abril;29.749
Total Nacional;01 Andalucía;Italia;Mayo;28.554
Total Nacional;01 Andalucía;Italia;Junio;45.348
Total Nacional;01 Andalucía;Italia;Julio;56.403
Total Nacional;01 Andalucía;Italia;Agosto;69.877
Total Nacional;01 Andalucía;Italia;Septiembre;32.447
Total Nacional;01 Andalucía;Italia;Octubre;25.064
Total Nacional;01 Andalucía;Italia;Noviembre;24.534
Total Nacional;01 Andalucía;Italia;Diciembre;26.088
Total Nacional;01 Andalucía;Luxemburgo;Total;8.812
Total Nacional;01 Andalucía;Luxemburgo;Enero;547
Total Nacional;01 Andalucía;Luxemburgo;Febrero;605
Total Nacional;01 Andalucía;Luxemburgo;Marzo;328
Total Nacional;01 Andalucía;Luxemburgo;Abril;816
Total Nacional;01 Andalucía;Luxemburgo;Mayo;751
Total Nacional;01 Andalucía;Luxemburgo;Junio;442
Total Nacional;01 Andalucía;Luxemburgo;Julio;464
Total Nacional;01 Andalucía;Luxemburgo;Agosto;1.372
Total Nacional;01 Andalucía;Luxemburgo;Septiembre;433
Total Nacional;01 Andalucía;Luxemburgo;Octubre;488
Total Nacional;01 Andalucía;Luxemburgo;Noviembre;1.186
Total Nacional;01 Andalucía;Luxemburgo;Diciembre;1.379
Total Nacional;01 Andalucía;Países Bajos;Total;689.214
Total Nacional;01 Andalucía;Países Bajos;Enero;50.865
Total Nacional;01 Andalucía;Países Bajos;Febrero;47.871
Total Nacional;01 Andalucía;Países Bajos;Marzo;41.452
Total Nacional;01 Andalucía;Países Bajos;Abril;59.014
Total Nacional;01 Andalucía;Países Bajos;Mayo;84.009
Total Nacional;01 Andalucía;Países Bajos;Junio;51.119
Total Nacional;01 Andalucía;Países Bajos;Julio;81.011
Total Nacional;01 Andalucía;Países Bajos;Agosto;83.514
Total Nacional;01 Andalucía;Países Bajos;Septiembre;59.263
Total Nacional;01 Andalucía;Países Bajos;Octubre;58.127
Total Nacional;01 Andalucía;Países Bajos;Noviembre;38.406
Total Nacional;01 Andalucía;Países Bajos;Diciembre;34.564
Total Nacional;01 Andalucía;Polonia;Total;181.531
Total Nacional;01 Andalucía;Polonia;Enero;29.167
Total Nacional;01 Andalucía;Polonia;Febrero;18.780
Total Nacional;01 Andalucía;Polonia;Marzo;12.172
Total Nacional;01 Andalucía;Polonia;Abril;13.561
Total Nacional;01 Andalucía;Polonia;Mayo;16.311
Total Nacional;01 Andalucía;Polonia;Junio;13.428
Total Nacional;01 Andalucía;Polonia;Julio;12.423
Total Nacional;01 Andalucía;Polonia;Agosto;16.324
Total Nacional;01 Andalucía;Polonia;Septiembre;11.740
Total Nacional;01 Andalucía;Polonia;Octubre;15.472
Total Nacional;01 Andalucía;Polonia;Noviembre;14.353
Total Nacional;01 Andalucía;Polonia;Diciembre;7.799
Total Nacional;01 Andalucía;Portugal;Total;194.600
Total Nacional;01 Andalucía;Portugal;Enero;7.661
Total Nacional;01 Andalucía;Portugal;Febrero;7.429
Total Nacional;01 Andalucía;Portugal;Marzo;8.112
Total Nacional;01 Andalucía;Portugal;Abril;15.705
Total Nacional;01 Andalucía;Portugal;Mayo;9.374
Total Nacional;01 Andalucía;Portugal;Junio;18.973
Total Nacional;01 Andalucía;Portugal;Julio;25.555
Total Nacional;01 Andalucía;Portugal;Agosto;58.674
Total Nacional;01 Andalucía;Portugal;Septiembre;24.381
Total Nacional;01 Andalucía;Portugal;Octubre;6.516
