apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+
11964,Private room,400.0,True,7,20,40,130,97,78,75,Malaga,2018-07-31,True
21853,Private room,170.0,True,0,0,0,162,92,33,52,Madrid,2020-01-10,True
32347,Entire home/apt,990.0,True,26,31,31,270,98,148,142,Sevilla,2019-07-29,True
35379,Private room,400.0,True,9,23,49,300,94,292,306,Barcelona,2020-01-10,True
35801,Private room,900.0,True,0,19,49,312,97,36,39,Girona,2019-02-19,True
48764,Entire home/apt,900.0,True,0,0,0,235,96,25,27,Girona,2019-02-19,True
58512,Entire home/apt,950.0,True,30,60,90,331,89,382,329,Barcelona,2020-10-12,True
71603,Entire home/apt,3900.0,False,28,55,85,360,94,33,42,Barcelona,2017-07-06,True
72150,Entire home/apt,790.0,True,29,59,89,179,91,108,91,Madrid,2020-11-06,True
73683,Entire home/apt,3000.0,True,8,12,23,296,92,120,14,Barcelona,2018-06-09,True
73692,Entire home/apt,1050.0,True,9,39,63,307,84,29,46,Barcelona,2017-10-07,True
79755,Entire home/apt,1100.0,True,9,10,10,10,98,189,234,Barcelona,2017-12-09,True
89756,Entire home/apt,2800.0,False,7,23,53,328,89,9,17,Barcelona,2017-04-08,True
89776,Entire home/apt,650.0,True,7,18,41,224,96,322,327,Barcelona,2019-12-10,True
89954,Entire home/apt,1030.0,True,27,48,49,61,97,181,202,Madrid,2018-11-07,True
96807,Private room,290.0,True,30,60,90,365,91,77,74,Madrid,2019-12-10,True
103386,Entire home/apt,840.0,True,17,38,64,229,93,13,13,Valencia,2019-10-31,True
107437,Entire home/apt,2200.0,True,12,41,59,250,93,34,38,Barcelona,2018-10-10,True
121210,Private room,510.0,True,13,38,68,68,89,154,184,Barcelona,2018-04-12,True
128463,Private room,300.0,True,3,16,28,264,97,184,235,Barcelona,2018-02-07,True
131987,Entire home/apt,690.0,True,30,60,90,163,98,235,235,Sevilla,2020-05-30,True
144471,Private room,470.0,True,22,52,82,357,87,32,42,Barcelona,2017-09-12,True
157327,Entire home/apt,5000.0,True,26,56,86,361,80,1,3,Girona,2018-08-30,True
158238,Entire home/apt,1200.0,True,24,54,84,359,89,97,116,Barcelona,2018-06-09,True
164621,Private room,330.0,True,10,39,69,344,95,44,45,Mallorca,2019-08-31,True
170750,Entire home/apt,900.0,True,11,11,11,17,90,189,218,Madrid,2018-12-10,True
176827,Private room,280.0,False,13,43,72,347,83,156,248,Madrid,2017-04-08,True
178456,Entire home/apt,900.0,True,30,60,90,365,88,33,37,Mallorca,2019-11-28,True
183346,Private room,300.0,True,0,0,0,137,83,12,24,Madrid,2018-01-17,True
186221,Private room,150.0,False,5,11,37,234,89,416,607,Barcelona,2017-04-08,True
193923,Private room,200.0,True,2,17,29,253,98,125,121,Barcelona,2020-02-16,True
206846,Entire home/apt,1280.0,True,5,7,25,205,92,77,81,Barcelona,2019-12-10,True
210156,Entire home/apt,580.0,True,26,44,49,102,97,90,97,Mallorca,2020-03-22,True
213296,Private room,250.0,False,8,14,25,224,89,168,292,Barcelona,2017-02-09,True
214970,Private room,330.0,True,1,1,1,1,93,144,139,Barcelona,2020-12-16,True
222753,Private room,310.0,True,30,60,90,365,86,172,156,Valencia,2020-11-10,True
255195,Entire home/apt,330.0,True,30,60,90,330,85,17,16,Barcelona,2020-11-06,True
265647,Entire home/apt,1750.0,True,17,41,71,333,95,8,13,Girona,2018-08-30,True
279439,Private room,250.0,True,1,4,13,13,91,102,134,Barcelona,2018-05-14,True
305213,Entire home/apt,1050.0,False,14,24,51,141,95,170,272,Barcelona,2017-08-06,True
314781,Private room,1000.0,False,30,60,90,365,93,13,31,Barcelona,2017-02-09,True
318826,Entire home/apt,900.0,True,23,53,83,358,98,11,13,Madrid,2019-02-06,True
323679,Entire home/apt,550.0,True,0,0,26,301,86,7,8,Girona,2019-06-30,True
326464,Private room,600.0,True,30,60,90,365,99,33,43,Barcelona,2021-02-09,True
330723,Private room,300.0,True,30,60,90,365,93,51,49,Barcelona,2021-02-09,True
336795,Private room,250.0,True,29,52,71,344,73,156,162,Madrid,2020-04-17,False
