apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,first_review_date,last_review_date,number_of_reviews,reviews_per_month,city,insert_date,price_missing,reviews 80+
11964,Private room,400.0,True,7,20,40,130,97,2010-01-02,2017-09-05,78,0.76,Malaga,2018-07-31,False,True
21853,Private room,170.0,True,0,0,0,162,92,2014-10-10,2018-07-15,33,0.52,Madrid,2020-01-10,False,True
32347,Entire home/apt,990.0,True,26,31,31,270,98,2011-01-05,2019-07-22,148,1.44,Sevilla,2019-07-29,False,True
35379,Private room,400.0,True,9,23,49,300,94,2012-03-13,2020-01-04,292,3.1,Barcelona,2020-01-10,False,True
35801,Private room,900.0,True,0,19,49,312,97,2011-07-08,2018-08-08,36,0.39,Girona,2019-02-19,False,True
48764,Entire home/apt,900.0,True,0,0,0,235,96,2011-06-04,2018-08-25,25,0.27,Girona,2019-02-19,False,True
58512,Entire home/apt,950.0,True,30,60,90,331,89,2011-04-08,2020-03-02,382,3.34,Barcelona,2020-10-12,False,True
71603,Entire home/apt,3900.0,False,28,55,85,360,94,2011-02-16,2017-06-05,33,0.43,Barcelona,2017-07-06,False,True
72150,Entire home/apt,790.0,True,29,59,89,179,91,2011-02-13,2020-07-31,108,0.92,Madrid,2020-11-06,False,True
73683,Entire home/apt,3000.0,True,8,12,23,296,92,2011-06-04,2018-05-20,120,1.42,Barcelona,2018-06-09,False,True
73692,Entire home/apt,1050.0,True,9,39,63,307,84,2012-08-01,2017-08-03,29,0.47,Barcelona,2017-10-07,False,True
79755,Entire home/apt,1100.0,True,9,10,10,10,98,2011-04-24,2016-10-01,189,2.37,Barcelona,2017-12-09,False,True
89756,Entire home/apt,2800.0,False,7,23,53,328,89,2012-11-02,2016-11-29,9,0.17,Barcelona,2017-04-08,False,True
89776,Entire home/apt,650.0,True,7,18,41,224,96,2011-11-10,2019-12-01,322,3.32,Barcelona,2019-12-10,False,True
89954,Entire home/apt,1030.0,True,27,48,49,61,97,2011-07-01,2018-11-01,181,2.05,Madrid,2018-11-07,False,True
96807,Private room,290.0,True,30,60,90,365,91,2011-06-08,2019-07-07,77,0.75,Madrid,2019-12-10,False,True
