tipo,origen,pais,periodo,total,level,year,month,date,pais_final
Viajero,Total,Residentes en España,2015M01,2393392.0,country,2015,1,2015-01-01,españa
Viajero,Total,Residentes en España,2015M02,2878965.0,country,2015,2,2015-02-01,españa
Viajero,Total,Residentes en España,2015M03,3490443.0,country,2015,3,2015-03-01,españa
Viajero,Total,Residentes en España,2015M04,4031142.0,country,2015,4,2015-04-01,españa
Viajero,Total,Residentes en España,2015M05,4102767.0,country,2015,5,2015-05-01,españa
Viajero,Total,Residentes en España,2015M06,4587906.0,country,2015,6,2015-06-01,españa
Viajero,Total,Residentes en España,2015M07,5175659.0,country,2015,7,2015-07-01,españa
Viajero,Total,Residentes en España,2015M08,5945162.0,country,2015,8,2015-08-01,españa
Viajero,Total,Residentes en España,2015M09,4504038.0,country,2015,9,2015-09-01,españa
Viajero,Total,Residentes en España,2015M10,4137843.0,country,2015,10,2015-10-01,españa
Viajero,Total,Residentes en España,2015M11,3055877.0,country,2015,11,2015-11-01,españa
Viajero,Total,Residentes en España,2015M12,3220404.0,country,2015,12,2015-12-01,españa
Viajero,Total,Residentes en España,2016M01,2618022.0,country,2016,1,2016-01-01,españa
Viajero,Total,Residentes en España,2016M02,3191750.0,country,2016,2,2016-02-01,españa
Viajero,Total,Residentes en España,2016M03,4110169.0,country,2016,3,2016-03-01,españa
Viajero,Total,Residentes en España,2016M04,3755761.0,country,2016,4,2016-04-01,españa
Viajero,Total,Residentes en España,2016M05,4197064.0,country,2016,5,2016-05-01,españa
Viajero,Total,Residentes en España,2016M06,4723090.0,country,2016,6,2016-06-01,españa
Viajero,Total,Residentes en España,2016M07,5504356.0,country,2016,7,2016-07-01,españa
Viajero,Total,Residentes en España,2016M08,5993466.0,country,2016,8,2016-08-01,españa
Viajero,Total,Residentes en España,2016M09,4672782.0,country,2016,9,2016-09-01,españa
Viajero,Total,Residentes en España,2016M10,4358634.0,country,2016,10,2016-10-01,españa
Viajero,Total,Residentes en España,2016M11,3186298.0,country,2016,11,2016-11-01,españa
Viajero,Total,Residentes en España,2016M12,3231853.0,country,2016,12,2016-12-01,españa
Viajero,Total,Residentes en España,2017M01,2655015.0,country,2017,1,2017-01-01,españa
Viajero,Total,Residentes en España,2017M02,3157734.0,country,2017,2,2017-02-01,españa
Viajero,Total,Residentes en España,2017M03,3706176.0,country,2017,3,2017-03-01,españa
Viajero,Total,Residentes en España,2017M04,4688384.0,country,2017,4,2017-04-01,españa
Viajero,Total,Residentes en España,2017M05,4177945.0,country,2017,5,2017-05-01,españa
Viajero,Total,Residentes en España,2017M06,4785681.0,country,2017,6,2017-06-01,españa
Viajero,Total,Residentes en España,2017M07,5453609.0,country,2017,7,2017-07-01,españa
Viajero,Total,Residentes en España,2017M08,5970747.0,country,2017,8,2017-08-01,españa
Viajero,Total,Residentes en España,2017M09,4762659.0,country,2017,9,2017-09-01,españa
Viajero,Total,Residentes en España,2017M10,4302582.0,country,2017,10,2017-10-01,españa
Viajero,Total,Residentes en España,2017M11,3340928.0,country,2017,11,2017-11-01,españa
Viajero,Total,Residentes en España,2017M12,3461708.0,country,2017,12,2017-12-01,españa
Viajero,Total,Residentes en España,2018M01,2743159.0,country,2018,1,2018-01-01,españa
Viajero,Total,Residentes en España,2018M02,3208522.0,country,2018,2,2018-02-01,españa
Viajero,Total,Residentes en España,2018M03,4136756.0,country,2018,3,2018-03-01,españa
Viajero,Total,Residentes en España,2018M04,4154873.0,country,2018,4,2018-04-01,españa
Viajero,Total,Residentes en España,2018M05,4250360.0,country,2018,5,2018-05-01,españa
Viajero,Total,Residentes en España,2018M06,4868754.0,country,2018,6,2018-06-01,españa
Viajero,Total,Residentes en España,2018M07,5380698.0,country,2018,7,2018-07-01,españa
Viajero,Total,Residentes en España,2018M08,6181557.0,country,2018,8,2018-08-01,españa
Viajero,Total,Residentes en España,2018M09,4840570.0,country,2018,9,2018-09-01,españa
Viajero,Total,Residentes en España,2018M10,4354922.0,country,2018,10,2018-10-01,españa
Viajero,Total,Residentes en España,2018M11,3551431.0,country,2018,11,2018-11-01,españa
Viajero,Total,Residentes en España,2018M12,3494108.0,country,2018,12,2018-12-01,españa
Viajero,Total,Residentes en España,2019M01,2755656.0,country,2019,1,2019-01-01,españa
Viajero,Total,Residentes en España,2019M02,3315368.0,country,2019,2,2019-02-01,españa
Viajero,Total,Residentes en España,2019M03,4033782.0,country,2019,3,2019-03-01,españa
Viajero,Total,Residentes en España,2019M04,4470668.0,country,2019,4,2019-04-01,españa
Viajero,Total,Residentes en España,2019M05,4578814.0,country,2019,5,2019-05-01,españa
Viajero,Total,Residentes en España,2019M06,5183371.0,country,2019,6,2019-06-01,españa
Viajero,Total,Residentes en España,2019M07,5669457.0,country,2019,7,2019-07-01,españa
Viajero,Total,Residentes en España,2019M08,6432729.0,country,2019,8,2019-08-01,españa
Viajero,Total,Residentes en España,2019M09,4809515.0,country,2019,9,2019-09-01,españa
Viajero,Total,Residentes en España,2019M10,4321124.0,country,2019,10,2019-10-01,españa
Viajero,Total,Residentes en España,2019M11,3585911.0,country,2019,11,2019-11-01,españa
Viajero,Total,Residentes en España,2019M12,3577792.0,country,2019,12,2019-12-01,españa
Viajero,Total,Alemania,2015M01,258742.0,country,2015,1,2015-01-01,alemania
