ccaa,pais_origen,mes,qty_viajeros,año
Andalucia,Residentes en España,Enero,902311.0,2015
Andalucia,Residentes en España,Febrero,1255482.0,2015
Andalucia,Residentes en España,Marzo,1644221.0,2015
Andalucia,Residentes en España,Abril,1900705.0,2015
Andalucia,Residentes en España,Mayo,1711168.0,2015
Andalucia,Residentes en España,Junio,2324838.0,2015
Andalucia,Residentes en España,Julio,3443647.0,2015
Andalucia,Residentes en España,Agosto,4052150.0,2015
Andalucia,Residentes en España,Septiembre,2414331.0,2015
Andalucia,Residentes en España,Octubre,1548418.0,2015
Andalucia,Residentes en España,Noviembre,1066214.0,2015
Andalucia,Residentes en España,Diciembre,1219982.0,2015
Andalucia,Alemania,Enero,95202.0,2015
Andalucia,Alemania,Febrero,142620.0,2015
Andalucia,Alemania,Marzo,242666.0,2015
Andalucia,Alemania,Abril,351338.0,2015
Andalucia,Alemania,Mayo,468082.0,2015
Andalucia,Alemania,Junio,427707.0,2015
Andalucia,Alemania,Julio,346786.0,2015
Andalucia,Alemania,Agosto,388161.0,2015
Andalucia,Alemania,Septiembre,565613.0,2015
Andalucia,Alemania,Octubre,525152.0,2015
Andalucia,Alemania,Noviembre,153691.0,2015
Andalucia,Alemania,Diciembre,78863.0,2015
Andalucia,Austria,Enero,6305.0,2015
Andalucia,Austria,Febrero,9040.0,2015
Andalucia,Austria,Marzo,12101.0,2015
Andalucia,Austria,Abril,17869.0,2015
Andalucia,Austria,Mayo,25578.0,2015
Andalucia,Austria,Junio,20516.0,2015
Andalucia,Austria,Julio,27344.0,2015
Andalucia,Austria,Agosto,21162.0,2015
Andalucia,Austria,Septiembre,24937.0,2015
Andalucia,Austria,Octubre,17504.0,2015
Andalucia,Austria,Noviembre,10946.0,2015
Andalucia,Austria,Diciembre,9965.0,2015
Andalucia,Bélgica,Enero,41488.0,2015
Andalucia,Bélgica,Febrero,53025.0,2015
Andalucia,Bélgica,Marzo,55111.0,2015
Andalucia,Bélgica,Abril,92387.0,2015
Andalucia,Bélgica,Mayo,109900.0,2015
Andalucia,Bélgica,Junio,109902.0,2015
Andalucia,Bélgica,Julio,141382.0,2015
Andalucia,Bélgica,Agosto,114569.0,2015
Andalucia,Bélgica,Septiembre,140064.0,2015
Andalucia,Bélgica,Octubre,98796.0,2015
Andalucia,Bélgica,Noviembre,63589.0,2015
Andalucia,Bélgica,Diciembre,37547.0,2015
Andalucia,Dinamarca,Enero,14152.0,2015
Andalucia,Dinamarca,Febrero,21706.0,2015
Andalucia,Dinamarca,Marzo,45010.0,2015
Andalucia,Dinamarca,Abril,33025.0,2015
