apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+,fully_booked,occ_month,occ_2month,occ_3month,occ_year
11964,Private room,400.0,True,7,20,40,130,97.0,78,75.0,Malaga,2018-07-31,True,False,0.7666666666666667,0.6666666666666666,0.5555555555555556,0.6438356164383562
21853,Private room,170.0,True,0,0,0,162,92.0,33,52.0,Madrid,2020-01-10,True,False,1.0,1.0,1.0,0.5561643835616439
32347,Entire home/apt,990.0,True,26,31,31,270,98.0,148,142.0,Sevilla,2019-07-29,True,False,0.13333333333333333,0.48333333333333334,0.6555555555555556,0.2602739726027397
35379,Private room,400.0,True,9,23,49,300,94.0,292,306.0,Barcelona,2020-01-10,True,False,0.7,0.6166666666666667,0.45555555555555555,0.1780821917808219
35801,Private room,900.0,True,0,19,49,312,97.0,36,39.0,Girona,2019-02-19,True,False,1.0,0.6833333333333333,0.45555555555555555,0.14520547945205478
48764,Entire home/apt,900.0,True,0,0,0,235,96.0,25,27.0,Girona,2019-02-19,True,False,1.0,1.0,1.0,0.3561643835616438
58512,Entire home/apt,950.0,True,30,60,90,331,89.0,382,329.0,Barcelona,2020-10-12,True,False,0.0,0.0,0.0,0.09315068493150686
71603,Entire home/apt,3900.0,False,28,55,85,360,94.0,33,42.0,Barcelona,2017-07-06,True,False,0.06666666666666667,0.08333333333333333,0.05555555555555555,0.0136986301369863
72150,Entire home/apt,790.0,True,29,59,89,179,91.0,108,91.0,Madrid,2020-11-06,True,False,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.5095890410958904
73683,Entire home/apt,3000.0,True,8,12,23,296,92.0,120,14.0,Barcelona,2018-06-09,True,False,0.7333333333333333,0.8,0.7444444444444445,0.18904109589041096
73692,Entire home/apt,1050.0,True,9,39,63,307,84.0,29,46.0,Barcelona,2017-10-07,True,False,0.7,0.35,0.3,0.1589041095890411
79755,Entire home/apt,1100.0,True,9,10,10,10,98.0,189,234.0,Barcelona,2017-12-09,True,False,0.7,0.8333333333333334,0.8888888888888888,0.9726027397260274
89756,Entire home/apt,2800.0,False,7,23,53,328,89.0,9,17.0,Barcelona,2017-04-08,True,False,0.7666666666666667,0.6166666666666667,0.4111111111111111,0.10136986301369863
89776,Entire home/apt,650.0,True,7,18,41,224,96.0,322,327.0,Barcelona,2019-12-10,True,False,0.7666666666666667,0.7,0.5444444444444444,0.3863013698630137
89954,Entire home/apt,1030.0,True,27,48,49,61,97.0,181,202.0,Madrid,2018-11-07,True,False,0.1,0.2,0.45555555555555555,0.8328767123287671
96807,Private room,290.0,True,30,60,90,365,91.0,77,74.0,Madrid,2019-12-10,True,False,0.0,0.0,0.0,0.0
103386,Entire home/apt,840.0,True,17,38,64,229,93.0,13,13.0,Valencia,2019-10-31,True,False,0.43333333333333335,0.36666666666666664,0.28888888888888886,0.3726027397260274
107437,Entire home/apt,2200.0,True,12,41,59,250,93.0,34,38.0,Barcelona,2018-10-10,True,False,0.6,0.31666666666666665,0.34444444444444444,0.3150684931506849
121210,Private room,510.0,True,13,38,68,68,89.0,154,184.0,Barcelona,2018-04-12,True,False,0.5666666666666667,0.36666666666666664,0.24444444444444444,0.8136986301369863
128463,Private room,300.0,True,3,16,28,264,97.0,184,235.0,Barcelona,2018-02-07,True,False,0.9,0.7333333333333333,0.6888888888888889,0.27671232876712326
131987,Entire home/apt,690.0,True,30,60,90,163,98.0,235,235.0,Sevilla,2020-05-30,True,False,0.0,0.0,0.0,0.5534246575342465
