Total Nacional;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;;Total;Total;116.166.159
Total Nacional;;Total;Enero;5.660.859
Total Nacional;;Total;Febrero;6.512.168
Total Nacional;;Total;Marzo;8.433.226
Total Nacional;;Total;Abril;9.386.103
Total Nacional;;Total;Mayo;11.768.411
Total Nacional;;Total;Junio;11.865.112
Total Nacional;;Total;Julio;12.692.328
Total Nacional;;Total;Agosto;13.622.908
Total Nacional;;Total;Septiembre;11.753.507
Total Nacional;;Total;Octubre;10.757.739
Total Nacional;;Total;Noviembre;7.152.418
Total Nacional;;Total;Diciembre;6.561.380
Total Nacional;;Residentes en España;Total;54.319.372
Total Nacional;;Residentes en España;Enero;2.919.329
Total Nacional;;Residentes en España;Febrero;3.422.317
Total Nacional;;Residentes en España;Marzo;4.412.670
Total Nacional;;Residentes en España;Abril;4.181.084
Total Nacional;;Residentes en España;Mayo;4.928.517
Total Nacional;;Residentes en España;Junio;5.419.681
Total Nacional;;Residentes en España;Julio;5.756.518
Total Nacional;;Residentes en España;Agosto;6.363.350
Total Nacional;;Residentes en España;Septiembre;4.991.258
Total Nacional;;Residentes en España;Octubre;4.523.969
Total Nacional;;Residentes en España;Noviembre;3.755.355
Total Nacional;;Residentes en España;Diciembre;3.645.324
Total Nacional;;No residentes en España;Total;61.846.787
Total Nacional;;No residentes en España;Enero;2.741.530
Total Nacional;;No residentes en España;Febrero;3.089.851
Total Nacional;;No residentes en España;Marzo;4.020.556
Total Nacional;;No residentes en España;Abril;5.205.019
Total Nacional;;No residentes en España;Mayo;6.839.894
Total Nacional;;No residentes en España;Junio;6.445.432
Total Nacional;;No residentes en España;Julio;6.935.810
Total Nacional;;No residentes en España;Agosto;7.259.558
Total Nacional;;No residentes en España;Septiembre;6.762.248
Total Nacional;;No residentes en España;Octubre;6.233.770
Total Nacional;;No residentes en España;Noviembre;3.397.063
Total Nacional;;No residentes en España;Diciembre;2.916.057
Total Nacional;;Unión Europea 27 (sin España);Total;31.815.932
Total Nacional;;Unión Europea 27 (sin España);Enero;1.363.225
