Totales Territoriales	Comunidades y Ciudades Autónomas	País de residencia	Meses	Total
Total Nacional	01 Andalucía	Residentes en España	Enero	511.537
Total Nacional	01 Andalucía	Residentes en España	Febrero	657.824
Total Nacional	01 Andalucía	Residentes en España	Marzo	782.158
Total Nacional	01 Andalucía	Residentes en España	Abril	795.272
Total Nacional	01 Andalucía	Residentes en España	Mayo	818.631
Total Nacional	01 Andalucía	Residentes en España	Junio	956.832
Total Nacional	01 Andalucía	Residentes en España	Julio	1.089.393
Total Nacional	01 Andalucía	Residentes en España	Agosto	1.270.277
Total Nacional	01 Andalucía	Residentes en España	Septiembre	924.040
Total Nacional	01 Andalucía	Residentes en España	Octubre	797.481
Total Nacional	01 Andalucía	Residentes en España	Noviembre	656.171
Total Nacional	01 Andalucía	Residentes en España	Diciembre	646.940
Total Nacional	01 Andalucía	No residentes en España	Enero	401.303
Total Nacional	01 Andalucía	No residentes en España	Febrero	456.137
Total Nacional	01 Andalucía	No residentes en España	Marzo	613.758
Total Nacional	01 Andalucía	No residentes en España	Abril	863.922
Total Nacional	01 Andalucía	No residentes en España	Mayo	1.006.793
Total Nacional	01 Andalucía	No residentes en España	Junio	938.731
Total Nacional	01 Andalucía	No residentes en España	Julio	865.237
Total Nacional	01 Andalucía	No residentes en España	Agosto	901.047
Total Nacional	01 Andalucía	No residentes en España	Septiembre	1.016.072
Total Nacional	01 Andalucía	No residentes en España	Octubre	946.684
Total Nacional	01 Andalucía	No residentes en España	Noviembre	498.889
Total Nacional	01 Andalucía	No residentes en España	Diciembre	423.278
Total Nacional	01 Andalucía	Unión Europea (sin España)	Enero	221.510
Total Nacional	01 Andalucía	Unión Europea (sin España)	Febrero	265.625
Total Nacional	01 Andalucía	Unión Europea (sin España)	Marzo	394.638
Total Nacional	01 Andalucía	Unión Europea (sin España)	Abril	586.585
Total Nacional	01 Andalucía	Unión Europea (sin España)	Mayo	681.882
Total Nacional	01 Andalucía	Unión Europea (sin España)	Junio	616.454
Total Nacional	01 Andalucía	Unión Europea (sin España)	Julio	561.203
Total Nacional	01 Andalucía	Unión Europea (sin España)	Agosto	629.154
Total Nacional	01 Andalucía	Unión Europea (sin España)	Septiembre	697.493
Total Nacional	01 Andalucía	Unión Europea (sin España)	Octubre	625.284
Total Nacional	01 Andalucía	Unión Europea (sin España)	Noviembre	286.342
Total Nacional	01 Andalucía	Unión Europea (sin España)	Diciembre	233.909
Total Nacional	01 Andalucía	Alemania	Enero	26.100
Total Nacional	01 Andalucía	Alemania	Febrero	34.209
Total Nacional	01 Andalucía	Alemania	Marzo	75.606
Total Nacional	01 Andalucía	Alemania	Abril	101.482
Total Nacional	01 Andalucía	Alemania	Mayo	116.027
Total Nacional	01 Andalucía	Alemania	Junio	87.993
Total Nacional	01 Andalucía	Alemania	Julio	65.681
Total Nacional	01 Andalucía	Alemania	Agosto	68.829
Total Nacional	01 Andalucía	Alemania	Septiembre	117.847
Total Nacional	01 Andalucía	Alemania	Octubre	115.316
Total Nacional	01 Andalucía	Alemania	Noviembre	39.333
Total Nacional	01 Andalucía	Alemania	Diciembre	22.808
Total Nacional	01 Andalucía	Austria	Enero	2.065
Total Nacional	01 Andalucía	Austria	Febrero	2.918
Total Nacional	01 Andalucía	Austria	Marzo	5.529
Total Nacional	01 Andalucía	Austria	Abril	5.994
Total Nacional	01 Andalucía	Austria	Mayo	7.466
Total Nacional	01 Andalucía	Austria	Junio	5.713
Total Nacional	01 Andalucía	Austria	Julio	6.277
Total Nacional	01 Andalucía	Austria	Agosto	5.874
Total Nacional	01 Andalucía	Austria	Septiembre	6.967
Total Nacional	01 Andalucía	Austria	Octubre	7.629
Total Nacional	01 Andalucía	Austria	Noviembre	3.779
Total Nacional	01 Andalucía	Austria	Diciembre	2.768
Total Nacional	01 Andalucía	Bélgica	Enero	11.340
Total Nacional	01 Andalucía	Bélgica	Febrero	14.673
Total Nacional	01 Andalucía	Bélgica	Marzo	18.402
Total Nacional	01 Andalucía	Bélgica	Abril	29.854
Total Nacional	01 Andalucía	Bélgica	Mayo	29.596
Total Nacional	01 Andalucía	Bélgica	Junio	24.950
Total Nacional	01 Andalucía	Bélgica	Julio	34.078
Total Nacional	01 Andalucía	Bélgica	Agosto	30.445
Total Nacional	01 Andalucía	Bélgica	Septiembre	30.961
Total Nacional	01 Andalucía	Bélgica	Octubre	28.909
Total Nacional	01 Andalucía	Bélgica	Noviembre	13.038
Total Nacional	01 Andalucía	Bélgica	Diciembre	11.634
Total Nacional	01 Andalucía	Dinamarca	Enero	6.957
Total Nacional	01 Andalucía	Dinamarca	Febrero	8.831
Total Nacional	01 Andalucía	Dinamarca	Marzo	12.031
Total Nacional	01 Andalucía	Dinamarca	Abril	14.023
Total Nacional	01 Andalucía	Dinamarca	Mayo	12.292
Total Nacional	01 Andalucía	Dinamarca	Junio	9.776
Total Nacional	01 Andalucía	Dinamarca	Julio	18.502
Total Nacional	01 Andalucía	Dinamarca	Agosto	8.670
Total Nacional	01 Andalucía	Dinamarca	Septiembre	15.097
Total Nacional	01 Andalucía	Dinamarca	Octubre	12.272
Total Nacional	01 Andalucía	Dinamarca	Noviembre	7.012
Total Nacional	01 Andalucía	Dinamarca	Diciembre	4.086
Total Nacional	01 Andalucía	Finlandia	Enero	4.690
Total Nacional	01 Andalucía	Finlandia	Febrero	5.332
Total Nacional	01 Andalucía	Finlandia	Marzo	8.805
Total Nacional	01 Andalucía	Finlandia	Abril	10.063
Total Nacional	01 Andalucía	Finlandia	Mayo	7.010
Total Nacional	01 Andalucía	Finlandia	Junio	7.171
Total Nacional	01 Andalucía	Finlandia	Julio	6.474
Total Nacional	01 Andalucía	Finlandia	Agosto	3.894
