Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,,2026M03,2.59,Total comunidad autónoma,2026-03-01
Andalucía,,2026M02,2.42,Total comunidad autónoma,2026-02-01
Andalucía,,2026M01,2.42,Total comunidad autónoma,2026-01-01
Andalucía,,2025M12,2.25,Total comunidad autónoma,2025-12-01
Andalucía,,2025M11,2.41,Total comunidad autónoma,2025-11-01
Andalucía,,2025M10,2.76,Total comunidad autónoma,2025-10-01
Andalucía,,2025M09,3.0,Total comunidad autónoma,2025-09-01
Andalucía,,2025M08,3.32,Total comunidad autónoma,2025-08-01
Andalucía,,2025M07,3.24,Total comunidad autónoma,2025-07-01
Andalucía,,2025M06,2.93,Total comunidad autónoma,2025-06-01
Andalucía,,2025M05,2.76,Total comunidad autónoma,2025-05-01
Andalucía,,2025M04,2.71,Total comunidad autónoma,2025-04-01
Andalucía,,2025M03,2.64,Total comunidad autónoma,2025-03-01
Andalucía,,2025M02,2.43,Total comunidad autónoma,2025-02-01
Andalucía,,2025M01,2.31,Total comunidad autónoma,2025-01-01
Andalucía,,2024M12,2.27,Total comunidad autónoma,2024-12-01
Andalucía,,2024M11,2.42,Total comunidad autónoma,2024-11-01
Andalucía,,2024M10,2.8,Total comunidad autónoma,2024-10-01
Andalucía,,2024M09,3.02,Total comunidad autónoma,2024-09-01
Andalucía,,2024M08,3.34,Total comunidad autónoma,2024-08-01
Andalucía,,2024M07,3.28,Total comunidad autónoma,2024-07-01
Andalucía,,2024M06,2.89,Total comunidad autónoma,2024-06-01
Andalucía,,2024M05,2.71,Total comunidad autónoma,2024-05-01
Andalucía,,2024M04,2.6,Total comunidad autónoma,2024-04-01
Andalucía,,2024M03,2.64,Total comunidad autónoma,2024-03-01
Andalucía,,2024M02,2.38,Total comunidad autónoma,2024-02-01
Andalucía,,2024M01,2.23,Total comunidad autónoma,2024-01-01
Andalucía,,2023M12,2.25,Total comunidad autónoma,2023-12-01
Andalucía,,2023M11,2.37,Total comunidad autónoma,2023-11-01
Andalucía,,2023M10,2.72,Total comunidad autónoma,2023-10-01
Andalucía,,2023M09,2.96,Total comunidad autónoma,2023-09-01
Andalucía,,2023M08,3.27,Total comunidad autónoma,2023-08-01
Andalucía,,2023M07,3.12,Total comunidad autónoma,2023-07-01
Andalucía,,2023M06,2.86,Total comunidad autónoma,2023-06-01
Andalucía,,2023M05,2.7,Total comunidad autónoma,2023-05-01
Andalucía,,2023M04,2.6,Total comunidad autónoma,2023-04-01
Andalucía,,2023M03,2.37,Total comunidad autónoma,2023-03-01
Andalucía,,2023M02,2.27,Total comunidad autónoma,2023-02-01
Andalucía,,2023M01,2.19,Total comunidad autónoma,2023-01-01
Andalucía,,2022M12,2.2,Total comunidad autónoma,2022-12-01
Andalucía,,2022M11,2.37,Total comunidad autónoma,2022-11-01
Andalucía,,2022M10,2.72,Total comunidad autónoma,2022-10-01
Andalucía,,2022M09,2.89,Total comunidad autónoma,2022-09-01
Andalucía,,2022M08,3.35,Total comunidad autónoma,2022-08-01
Andalucía,,2022M07,3.14,Total comunidad autónoma,2022-07-01
Andalucía,,2022M06,2.81,Total comunidad autónoma,2022-06-01
Andalucía,,2022M05,2.69,Total comunidad autónoma,2022-05-01
Andalucía,,2022M04,2.64,Total comunidad autónoma,2022-04-01
Andalucía,,2022M03,2.47,Total comunidad autónoma,2022-03-01
