Comunidades y Ciudades Autónomas,Provincia limpia,Residencia,Periodo,Periodo fecha,Pernoctaciones,Viajeros
Andalucía,Almería,Residentes en España,2022M01,2022-01-01,40808.0,22290.0
Andalucía,Almería,Residentes en España,2022M02,2022-02-01,69288.0,39146.0
Andalucía,Almería,Residentes en España,2022M03,2022-03-01,124044.0,42511.0
Andalucía,Almería,Residentes en España,2022M04,2022-04-01,205526.0,70416.0
Andalucía,Almería,Residentes en España,2022M05,2022-05-01,261272.0,90422.0
Andalucía,Almería,Residentes en España,2022M06,2022-06-01,419902.0,153172.0
Andalucía,Almería,Residentes en España,2022M07,2022-07-01,732355.0,189343.0
Andalucía,Almería,Residentes en España,2022M08,2022-08-01,827319.0,206936.0
Andalucía,Almería,Residentes en España,2022M09,2022-09-01,485307.0,142904.0
Andalucía,Almería,Residentes en España,2022M10,2022-10-01,166322.0,71229.0
Andalucía,Almería,Residentes en España,2022M11,2022-11-01,83630.0,38622.0
Andalucía,Almería,Residentes en España,2022M12,2022-12-01,75710.0,33013.0
Andalucía,Almería,Residentes en España,2023M01,2023-01-01,60237.0,29075.0
Andalucía,Almería,Residentes en España,2023M02,2023-02-01,99001.0,41385.0
Andalucía,Almería,Residentes en España,2023M03,2023-03-01,132235.0,49825.0
Andalucía,Almería,Residentes en España,2023M04,2023-04-01,217863.0,80703.0
Andalucía,Almería,Residentes en España,2023M05,2023-05-01,275524.0,90751.0
Andalucía,Almería,Residentes en España,2023M06,2023-06-01,454346.0,148413.0
Andalucía,Almería,Residentes en España,2023M07,2023-07-01,734087.0,190092.0
Andalucía,Almería,Residentes en España,2023M08,2023-08-01,817519.0,204593.0
Andalucía,Almería,Residentes en España,2023M09,2023-09-01,470365.0,138121.0
Andalucía,Almería,Residentes en España,2023M10,2023-10-01,183488.0,72821.0
Andalucía,Almería,Residentes en España,2023M11,2023-11-01,70365.0,35432.0
Andalucía,Almería,Residentes en España,2023M12,2023-12-01,83742.0,36400.0
Andalucía,Almería,Residentes en España,2024M01,2024-01-01,52048.0,25206.0
Andalucía,Almería,Residentes en España,2024M02,2024-02-01,127376.0,47205.0
Andalucía,Almería,Residentes en España,2024M03,2024-03-01,221719.0,69043.0
Andalucía,Almería,Residentes en España,2024M04,2024-04-01,275849.0,79097.0
Andalucía,Almería,Residentes en España,2024M05,2024-05-01,353356.0,110382.0
Andalucía,Almería,Residentes en España,2024M06,2024-06-01,464034.0,150095.0
Andalucía,Almería,Residentes en España,2024M07,2024-07-01,692901.0,180572.0
Andalucía,Almería,Residentes en España,2024M08,2024-08-01,800807.0,201399.0
Andalucía,Almería,Residentes en España,2024M09,2024-09-01,463225.0,138578.0
Andalucía,Almería,Residentes en España,2024M10,2024-10-01,174965.0,70109.0
Andalucía,Almería,Residentes en España,2024M11,2024-11-01,76730.0,34901.0
Andalucía,Almería,Residentes en España,2024M12,2024-12-01,85850.0,37013.0
Andalucía,Almería,Residentes en España,2025M01,2025-01-01,57276.0,26043.0
Andalucía,Almería,Residentes en España,2025M02,2025-02-01,142891.0,51104.0
Andalucía,Almería,Residentes en España,2025M03,2025-03-01,191016.0,54452.0
Andalucía,Almería,Residentes en España,2025M04,2025-04-01,273876.0,85455.0
Andalucía,Almería,Residentes en España,2025M05,2025-05-01,351956.0,115078.0
Andalucía,Almería,Residentes en España,2025M06,2025-06-01,521661.0,175501.0
Andalucía,Almería,Residentes en España,2025M07,2025-07-01,741323.0,194704.0
Andalucía,Almería,Residentes en España,2025M08,2025-08-01,808303.0,230759.0
Andalucía,Almería,Residentes en España,2025M09,2025-09-01,497553.0,146143.0
Andalucía,Almería,Residentes en España,2025M10,2025-10-01,184681.0,81044.0
Andalucía,Almería,Residentes en España,2025M11,2025-11-01,84812.0,42064.0
Andalucía,Almería,Residentes en España,2025M12,2025-12-01,80823.0,38528.0
Andalucía,Almería,Residentes en España,2026M01,2026-01-01,54013.0,25026.0
Andalucía,Almería,Residentes en España,2026M02,2026-02-01,122739.0,45809.0
Andalucía,Almería,Residentes en España,2026M03,2026-03-01,246903.0,67487.0
Andalucía,Almería,Residentes en el Extranjero,2022M01,2022-01-01,25143.0,9007.0
Andalucía,Almería,Residentes en el Extranjero,2022M02,2022-02-01,34320.0,10284.0
Andalucía,Almería,Residentes en el Extranjero,2022M03,2022-03-01,44210.0,13274.0
Andalucía,Almería,Residentes en el Extranjero,2022M04,2022-04-01,59012.0,19025.0
Andalucía,Almería,Residentes en el Extranjero,2022M05,2022-05-01,110734.0,28431.0
Andalucía,Almería,Residentes en el Extranjero,2022M06,2022-06-01,159526.0,32084.0
Andalucía,Almería,Residentes en el Extranjero,2022M07,2022-07-01,169646.0,39566.0
Andalucía,Almería,Residentes en el Extranjero,2022M08,2022-08-01,203902.0,41392.0
Andalucía,Almería,Residentes en el Extranjero,2022M09,2022-09-01,171135.0,34974.0
Andalucía,Almería,Residentes en el Extranjero,2022M10,2022-10-01,130192.0,26150.0
Andalucía,Almería,Residentes en el Extranjero,2022M11,2022-11-01,46391.0,12693.0
Andalucía,Almería,Residentes en el Extranjero,2022M12,2022-12-01,31548.0,10226.0
Andalucía,Almería,Residentes en el Extranjero,2023M01,2023-01-01,33166.0,11329.0
Andalucía,Almería,Residentes en el Extranjero,2023M02,2023-02-01,41627.0,11510.0
Andalucía,Almería,Residentes en el Extranjero,2023M03,2023-03-01,54195.0,14950.0
Andalucía,Almería,Residentes en el Extranjero,2023M04,2023-04-01,70071.0,20799.0
Andalucía,Almería,Residentes en el Extranjero,2023M05,2023-05-01,132818.0,30830.0
Andalucía,Almería,Residentes en el Extranjero,2023M06,2023-06-01,161835.0,32878.0
Andalucía,Almería,Residentes en el Extranjero,2023M07,2023-07-01,187415.0,42142.0
Andalucía,Almería,Residentes en el Extranjero,2023M08,2023-08-01,203358.0,42708.0
