Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;;2026M03;2,59
Total Nacional;01 Andalucía;;2026M02;2,42
Total Nacional;01 Andalucía;;2026M01;2,42
Total Nacional;01 Andalucía;;2025M12;2,25
Total Nacional;01 Andalucía;;2025M11;2,41
Total Nacional;01 Andalucía;;2025M10;2,76
Total Nacional;01 Andalucía;;2025M09;3,00
Total Nacional;01 Andalucía;;2025M08;3,32
Total Nacional;01 Andalucía;;2025M07;3,24
Total Nacional;01 Andalucía;;2025M06;2,93
Total Nacional;01 Andalucía;;2025M05;2,76
Total Nacional;01 Andalucía;;2025M04;2,71
Total Nacional;01 Andalucía;;2025M03;2,64
Total Nacional;01 Andalucía;;2025M02;2,43
Total Nacional;01 Andalucía;;2025M01;2,31
Total Nacional;01 Andalucía;;2024M12;2,27
Total Nacional;01 Andalucía;;2024M11;2,42
Total Nacional;01 Andalucía;;2024M10;2,80
Total Nacional;01 Andalucía;;2024M09;3,02
Total Nacional;01 Andalucía;;2024M08;3,34
Total Nacional;01 Andalucía;;2024M07;3,28
Total Nacional;01 Andalucía;;2024M06;2,89
Total Nacional;01 Andalucía;;2024M05;2,71
Total Nacional;01 Andalucía;;2024M04;2,60
Total Nacional;01 Andalucía;;2024M03;2,64
Total Nacional;01 Andalucía;;2024M02;2,38
Total Nacional;01 Andalucía;;2024M01;2,23
Total Nacional;01 Andalucía;;2023M12;2,25
Total Nacional;01 Andalucía;;2023M11;2,37
Total Nacional;01 Andalucía;;2023M10;2,72
Total Nacional;01 Andalucía;;2023M09;2,96
Total Nacional;01 Andalucía;;2023M08;3,27
Total Nacional;01 Andalucía;;2023M07;3,12
Total Nacional;01 Andalucía;;2023M06;2,86
Total Nacional;01 Andalucía;;2023M05;2,70
Total Nacional;01 Andalucía;;2023M04;2,60
Total Nacional;01 Andalucía;;2023M03;2,37
Total Nacional;01 Andalucía;;2023M02;2,27
Total Nacional;01 Andalucía;;2023M01;2,19
Total Nacional;01 Andalucía;;2022M12;2,20
Total Nacional;01 Andalucía;;2022M11;2,37
Total Nacional;01 Andalucía;;2022M10;2,72
Total Nacional;01 Andalucía;;2022M09;2,89
Total Nacional;01 Andalucía;;2022M08;3,35
Total Nacional;01 Andalucía;;2022M07;3,14
Total Nacional;01 Andalucía;;2022M06;2,81
Total Nacional;01 Andalucía;;2022M05;2,69
Total Nacional;01 Andalucía;;2022M04;2,64
Total Nacional;01 Andalucía;;2022M03;2,47
Total Nacional;01 Andalucía;;2022M02;2,17
Total Nacional;01 Andalucía;;2022M01;2,11
Total Nacional;01 Andalucía;04 Almería;2026M03;3,70
Total Nacional;01 Andalucía;04 Almería;2026M02;2,80
Total Nacional;01 Andalucía;04 Almería;2026M01;2,40
Total Nacional;01 Andalucía;04 Almería;2025M12;2,24
Total Nacional;01 Andalucía;04 Almería;2025M11;2,47
Total Nacional;01 Andalucía;04 Almería;2025M10;2,77
Total Nacional;01 Andalucía;04 Almería;2025M09;3,66
Total Nacional;01 Andalucía;04 Almería;2025M08;3,71
Total Nacional;01 Andalucía;04 Almería;2025M07;3,91
Total Nacional;01 Andalucía;04 Almería;2025M06;3,29
Total Nacional;01 Andalucía;04 Almería;2025M05;3,24
Total Nacional;01 Andalucía;04 Almería;2025M04;3,40
Total Nacional;01 Andalucía;04 Almería;2025M03;3,54
Total Nacional;01 Andalucía;04 Almería;2025M02;2,92
Total Nacional;01 Andalucía;04 Almería;2025M01;2,47
Total Nacional;01 Andalucía;04 Almería;2024M12;2,37
Total Nacional;01 Andalucía;04 Almería;2024M11;2,53
Total Nacional;01 Andalucía;04 Almería;2024M10;3,11
Total Nacional;01 Andalucía;04 Almería;2024M09;3,64
Total Nacional;01 Andalucía;04 Almería;2024M08;4,11
Total Nacional;01 Andalucía;04 Almería;2024M07;3,89
Total Nacional;01 Andalucía;04 Almería;2024M06;3,43
Total Nacional;01 Andalucía;04 Almería;2024M05;3,34
Total Nacional;01 Andalucía;04 Almería;2024M04;3,40
Total Nacional;01 Andalucía;04 Almería;2024M03;3,24
Total Nacional;01 Andalucía;04 Almería;2024M02;2,81
Total Nacional;01 Andalucía;04 Almería;2024M01;2,31
Total Nacional;01 Andalucía;04 Almería;2023M12;2,40
Total Nacional;01 Andalucía;04 Almería;2023M11;2,31
Total Nacional;01 Andalucía;04 Almería;2023M10;3,23
Total Nacional;01 Andalucía;04 Almería;2023M09;3,75
Total Nacional;01 Andalucía;04 Almería;2023M08;4,13
Total Nacional;01 Andalucía;04 Almería;2023M07;3,97
Total Nacional;01 Andalucía;04 Almería;2023M06;3,40
Total Nacional;01 Andalucía;04 Almería;2023M05;3,36
Total Nacional;01 Andalucía;04 Almería;2023M04;2,84
Total Nacional;01 Andalucía;04 Almería;2023M03;2,88
Total Nacional;01 Andalucía;04 Almería;2023M02;2,66
Total Nacional;01 Andalucía;04 Almería;2023M01;2,31
Total Nacional;01 Andalucía;04 Almería;2022M12;2,48
Total Nacional;01 Andalucía;04 Almería;2022M11;2,53
Total Nacional;01 Andalucía;04 Almería;2022M10;3,04
Total Nacional;01 Andalucía;04 Almería;2022M09;3,69
Total Nacional;01 Andalucía;04 Almería;2022M08;4,15
Total Nacional;01 Andalucía;04 Almería;2022M07;3,94
Total Nacional;01 Andalucía;04 Almería;2022M06;3,13
Total Nacional;01 Andalucía;04 Almería;2022M05;3,13
Total Nacional;01 Andalucía;04 Almería;2022M04;2,96
Total Nacional;01 Andalucía;04 Almería;2022M03;3,02
Total Nacional;01 Andalucía;04 Almería;2022M02;2,10
Total Nacional;01 Andalucía;04 Almería;2022M01;2,11
Total Nacional;01 Andalucía;11 Cádiz;2026M03;2,53
Total Nacional;01 Andalucía;11 Cádiz;2026M02;2,24
Total Nacional;01 Andalucía;11 Cádiz;2026M01;2,40
Total Nacional;01 Andalucía;11 Cádiz;2025M12;2,10
Total Nacional;01 Andalucía;11 Cádiz;2025M11;2,40
Total Nacional;01 Andalucía;11 Cádiz;2025M10;2,95
Total Nacional;01 Andalucía;11 Cádiz;2025M09;3,36
Total Nacional;01 Andalucía;11 Cádiz;2025M08;3,66
Total Nacional;01 Andalucía;11 Cádiz;2025M07;3,46
