Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;;Pernoctaciones;Total;;2026M03;23.606.982
Total Nacional;;;Pernoctaciones;Total;;2026M02;18.564.904
Total Nacional;;;Pernoctaciones;Total;;2026M01;17.395.903
Total Nacional;;;Pernoctaciones;Total;;2025M12;18.546.462
Total Nacional;;;Pernoctaciones;Total;;2025M11;20.301.411
Total Nacional;;;Pernoctaciones;Total;;2025M10;34.281.206
Total Nacional;;;Pernoctaciones;Total;;2025M09;39.420.118
Total Nacional;;;Pernoctaciones;Total;;2025M08;48.181.913
Total Nacional;;;Pernoctaciones;Total;;2025M07;44.691.923
Total Nacional;;;Pernoctaciones;Total;;2025M06;38.982.683
Total Nacional;;;Pernoctaciones;Total;;2025M05;35.565.862
Total Nacional;;;Pernoctaciones;Total;;2025M04;29.070.077
Total Nacional;;;Pernoctaciones;Total;;2025M03;22.393.743
Total Nacional;;;Pernoctaciones;Total;;2025M02;18.373.966
Total Nacional;;;Pernoctaciones;Total;;2025M01;16.830.947
Total Nacional;;;Pernoctaciones;Total;;2024M12;18.025.526
Total Nacional;;;Pernoctaciones;Total;;2024M11;19.978.052
Total Nacional;;;Pernoctaciones;Total;;2024M10;33.836.772
Total Nacional;;;Pernoctaciones;Total;;2024M09;38.965.938
Total Nacional;;;Pernoctaciones;Total;;2024M08;47.760.600
Total Nacional;;;Pernoctaciones;Total;;2024M07;43.918.939
Total Nacional;;;Pernoctaciones;Total;;2024M06;38.185.201
Total Nacional;;;Pernoctaciones;Total;;2024M05;35.701.080
Total Nacional;;;Pernoctaciones;Total;;2024M04;27.099.375
Total Nacional;;;Pernoctaciones;Total;;2024M03;24.520.234
Total Nacional;;;Pernoctaciones;Total;;2024M02;18.581.766
Total Nacional;;;Pernoctaciones;Total;;2024M01;16.491.597
Total Nacional;;;Pernoctaciones;Total;;2023M12;17.913.857
Total Nacional;;;Pernoctaciones;Total;;2023M11;19.023.828
Total Nacional;;;Pernoctaciones;Total;;2023M10;32.415.687
Total Nacional;;;Pernoctaciones;Total;;2023M09;37.980.229
Total Nacional;;;Pernoctaciones;Total;;2023M08;46.695.607
Total Nacional;;;Pernoctaciones;Total;;2023M07;43.109.417
Total Nacional;;;Pernoctaciones;Total;;2023M06;36.255.025
Total Nacional;;;Pernoctaciones;Total;;2023M05;32.187.667
Total Nacional;;;Pernoctaciones;Total;;2023M04;28.046.754
Total Nacional;;;Pernoctaciones;Total;;2023M03;20.597.741
Total Nacional;;;Pernoctaciones;Total;;2023M02;16.816.547
Total Nacional;;;Pernoctaciones;Total;;2023M01;15.472.477
Total Nacional;;;Pernoctaciones;Total;;2022M12;16.627.833
Total Nacional;;;Pernoctaciones;Total;;2022M11;17.661.676
Total Nacional;;;Pernoctaciones;Total;;2022M10;29.865.924
Total Nacional;;;Pernoctaciones;Total;;2022M09;35.999.861
Total Nacional;;;Pernoctaciones;Total;;2022M08;46.140.100
Total Nacional;;;Pernoctaciones;Total;;2022M07;42.121.775
Total Nacional;;;Pernoctaciones;Total;;2022M06;35.111.326
Total Nacional;;;Pernoctaciones;Total;;2022M05;29.785.395
Total Nacional;;;Pernoctaciones;Total;;2022M04;25.197.638
Total Nacional;;;Pernoctaciones;Total;;2022M03;17.632.648
Total Nacional;;;Pernoctaciones;Total;;2022M02;13.623.546
Total Nacional;;;Pernoctaciones;Total;;2022M01;10.598.385
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M03;4.036.015
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M02;2.833.842
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2026M01;2.485.158
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M12;2.693.046
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M11;3.145.703
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M10;5.250.858
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M09;6.176.273
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M08;7.586.225
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M07;6.857.986
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M06;6.009.338
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M05;5.582.983
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M04;5.004.057
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M03;3.689.956
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M02;2.887.855
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M01;2.298.453
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M12;2.515.502
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M11;3.068.171
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M10;5.141.230
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M09;6.077.011
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M08;7.371.761
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M07;6.596.411
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M06;5.821.636
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M05;5.654.996
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M04;4.820.554
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M03;4.211.220
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M02;2.998.691
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M01;2.326.205
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M12;2.634.889
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M11;2.939.322
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M10;5.094.430
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M09;5.995.077
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M08;7.427.401
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M07;6.589.030
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M06;5.606.917
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M05;5.089.138
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M04;4.825.981
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M03;3.361.190
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M02;2.551.524
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M01;2.093.794
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M12;2.217.856
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M11;2.568.134
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M10;4.588.507
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M09;5.716.205
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M08;7.285.972
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M07;6.515.807
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M06;5.465.281
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M05;4.929.904
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M04;4.411.625
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M03;2.835.322
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M02;2.149.204
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2022M01;1.463.661
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2026M03;1.598.828
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2026M02;585.975
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2026M01;261.879
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M12;323.934
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M11;435.053
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M10;6.967.344
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M09;9.615.358
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M08;11.388.816
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M07;10.987.630
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M06;9.726.358
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M05;8.134.372
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M04;3.736.772
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M03;1.396.206
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M02;627.006
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2025M01;238.985
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M12;311.450
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M11;407.673
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M10;7.041.981
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M09;9.364.391
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M08;11.414.856
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M07;10.920.167
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M06;9.474.122
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M05;8.199.175
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M04;3.417.164
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M03;1.677.443
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M02;585.313
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2024M01;226.867
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M12;270.138
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M11;413.377
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M10;6.381.337
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M09;9.058.858
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M08;11.054.556
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M07;10.613.015
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M06;8.993.003
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M05;7.258.921
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M04;3.350.022
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M03;944.911
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M02;466.420
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M01;237.815
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M12;248.269
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M11;398.085
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M10;5.604.472
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M09;8.678.063
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M08;10.779.452
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M07;10.386.341
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M06;8.956.158
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M05;6.377.225
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M04;2.816.016
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M03;817.111
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M02;310.405
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M01;127.429
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2026M03;3.508.364
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2026M02;2.767.651
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2026M01;2.569.074
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M12;2.660.441
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M11;2.792.751
